FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
Sirpa,D630045J12Rik,Slc25a14,Cdcp1,9930104L06Rik,Plppr1,3425401B19Rik,Slc4a3,Nupr1,,H2-Ab1,Prkg1,C1rl,Gpx4,Rnf145,Pphln1,,8030423F21Rik
Cyp2b13,Irs2,Dancr,Ctse,Slc7a8,Sh3kbp1,Gzmm,Card14,Zfp428,,Fastkd3,Tk2,Prodh2,Gpr182,Ppil4,Hlcs,,Clrn1
Serpina1e,Cep85,4833418N02Rik,Bloc1s4,Lrp2,Irag1,Dusp27,Lrrc15,Snora62,,Krba1,Plcl1,Mrpl49,Ubl4a,Ifngr2,Mcts1,,Mkx
Prg4,Nr0b2,Slc25a24,Casp1,Cyren,Tmod4,Wnt9a,Tyro3,Aspn,,Poglut2,Tmem144,Cltb,Trp53inp2,Saa2,Asap1,,Adam1a
Smad9,Hmgn5,Snora3,Olfr63,Adam19,Rbm38,Lrrc2,Car15,Plppr3,,Adcy7,Zfp976,Fads6,Tor1a,Depdc5,Xrn2,,Apba1
Tspan4,Lgr5,Tc2n,Zfp697,Arid3b,Hnf4aos,Wfdc12,Zfp185,Ptgis,,Fzd6,Vmac,Chchd10,Pmm2,Cmas,Csgalnact2,,1700128F08Rik
C730036E19Rik,Gatm,Nlrp1c-ps,Naaa,Sh3bp1,Speg,Spata33,Cercam,Fut2,,Zfp560,Scaf4,Kdm4a,Mrps5,Skil,Wasf2,,4930526L06Rik
Srgap3,Sult2a2,Zfp995,Etv1,Snx32,Pirb,Hebp2,Mup6,Slc2a6,,Rpa3,Gyg,Cenpb,Pdia5,Dusp3,Acp6,,Ncaph
Stap1,H4c8,Gm10845,Cdkn2c,Lmo2,Hand2,Mpz,Wt1,4933409K07Rik,,Snapc1,Slc25a33,Stk11,Lztr1,Ankle2,Lig3,,Cd4
Hopx,Rpl27,Cenpw,Lrit2,Cnr2,Slc22a29,Fbp2,Egflam,Olfr876,,Sfswap,Tada2a,Aup1,S100a1,Ncoa3,Lrch3,,Grik4
Vldlr,Slc13a3,Proser3,Rps23rg1,Cd248,Snai2,Tmem40,Dsg1a,Cel,,Tap1,Amigo2,Mrpl12,Mapk14,Plbd1,Uspl1,,Olfr95
Idi1,Dbp,Brms1l,Gm5113,Fxyd5,Gm16793,Esrp1,ENSMUSG00000042306,Adap1,,Cep83,Fbf1,Tmem120a,Egln2,Nemf,Them4,,Klhl32
Acmsd,Serpinb1a,H3c14,Lrfn3,Mansc1,Maff,Tnni1,Col8a2,Mybpc2,,Lyplal1,Zfp39,Actg1,Rnf123,Chst15,Cd38,,Crb1
Mug-ps1,Rarres1,Dtwd2,Olfr624,Wnt2,Vmn1r213,Nlrp10,Sox8,Lrrc46,,Map3k21,Zfp750,Dhrs1,Hmbs,Fkbp1a,Calcrl,,Gm16576
A1bg,Snord15b,Sema5a,H4c12,Cyb5r1,Hmces,Mab21l4,Pcdhb11,Adcy10,,Klhl20,Fkbp14,Zfand3,Syvn1,Kdm6a,Polr3f,,Tafa5
Churc1,Syt1,Gm10516,Apobec3,Fmnl1,Rd3,Apobec2,Atp6v1c2,Tcap,,Trappc4,Sntg2,Idnk,Mul1,Luc7l3,Zfp946,,Pcdhga5
Sucnr1,Abhd1,Cd209c,Rab6b,Was,Msh5,Myot,Neurl1a,Txlnb,,Tefm,Cmtm3,Selenow,Pop5,Tomm22,Carnmt1,,Cpt1c
Fmo4,Pik3c2g,Myct1,Crppa,Knstrn,Cyp2g1,Mrgprf,Large2,Nbl1,,Atg4c,Slc25a36,Tuba4a,Ephx1,Zmym4,Armc8,,A4galt
Lsm7,Smlr1,A730017L22Rik,Derl3,4933431E20Rik,F13a1,Gm16063,Cd209b,Il36g,,Dgkh,Poc5,Slc35e1,0610040J01Rik,Thyn1,Prkci,,Gata3
Cops9,Hba-a1,H2bc13,H4c17,Synpo2,Olfr646,Sh3bgr,Nipal4,4930568G15Rik,,Anp32e,Ror1,Pcdh1,Ints3,Arhgef26,Mtr,,Pram1
Rdh16f2,Mif,Cacna2d1,Mtnr1a,Col8a1,Gtpbp6,Duox1,1700084E18Rik,Cyp2s1,,Prdm15,Prkx,Ecsit,Pxmp2,Seh1l,Pcsk9,,Rapgefl1
Nt5e,Prlr,Cebpd,Rfc4,Vstm4,2810021J22Rik,Klk8,Rspo1,Cela3b,,Mtres1,Zfp791,Fam234a,Pmvk,Rbpms2,Wrn,,Efcab12
Akr1c19,Slc22a7,Naip6,Olfr90,Slc1a4,Ppard,ENSMUSG00000037129,Slc29a2,Kcne3,,Zfp846,Fcgr3,Tbc1d2b,Txnrd2,Pdcd6,Snx2,,Vmn1r75
Abcd2,Rplp2,H2bc15,Cyp4a12a,Cdh3,Pde5a,Cavin4,Aloxe3,BC021767,,Rhobtb3,Itfg2,Col4a1,Abhd4,Marveld1,Dip2b,,Pou2af1
Dynlt1b,Cdh1,Bcl6b,Bmf,Rap1gap2,Ndn,Actc1,Plpp7,Zxda,,Zfp839,Cyp2j9,Ndufa8,D2hgdh,Tlk2,Baiap2l1,,Gzmb
Trp53inp1,Tut4,P2ry14,Tnfaip8,Pinx1,Ddit3,Cox8b,Cldn15,Kank4,,Zfp612,Miga1,Pepd,Tnpo2,Prepl,Ero1b,,Olfr64
Anp32b,Fkbp11,AI506816,Ap1s3,Olfml3,1110038F14Rik,Ly6g6c,Tgm3,Rnf227,,Usp28,Arhgef6,Tmem234,Xpnpep1,Naa15,Stam2,,Tns4
Cyp7b1,Lrtm1,Snora5c,Olfr344,H2bc21,Prom1,Jag2,Spata3,Ttc34,,Txndc16,Zfp938,Cib1,Dhx32,Cse1l,Rsu1,,Gm15760
H4c3,Myh11,E2f7,Med12l,Slc41a1,Nhsl2,Sectm1b,Clec3b,Vcan,,Pde7a,Cep152,Mlycd,Csnk1g2,Pou2f1,Lcorl,,Frat2
Snord104,Slc22a27,Pnpla1,Pdss1,E2f1,Slc37a1,Jph2,Tacr2,Tspan8,,Rnasel,Gm14295,Rela,Otub1,Fbxl5,Tgs1,,Olfr127
Mup15,Synj2,Zfp882,H2bc7,Sema5b,Ackr1,Chl1,Slc35e4,Epop,,Ncoa7,Commd10,Fgfrl1,Chmp7,Fbxo11,Cpped1,,Wasf1
Polr2i,Dio1,A530088E08Rik,Hspb1,Smn1,Abhd8,Kcnq4,Crip3,Fndc1,,Atp6v0d2,Katnbl1,Ttc39c,Aco2,Fam149b,8030462N17Rik,,2310034O05Rik
Snord17,Sult3a2,Pak1,Snora7a,S1pr3,Cd63,ENSMUSG00000030510,Spint1,Retn,,Spindoc,Fbxo4,Bag1,Afmid,Ifrd1,Snx1,,Gng7
Guk1,Hyi,AI662270,Disp2,Lamb3,Akr1b7,Dnm1,Snora52,BB123696,,Hat1,Col5a2,Cdc34,Trio,Nxf1,Trim56,,Gimap7
Etfbkmt,Apoa4,Gm1976,A530072M11Rik,Pfkp,Azin2,Myo18b,ENSMUSG00000059956,Synpo2l,,Afg1l,Camsap3,Polr2m,Timm17b,Zfp869,Ikbkb,,Vmn2r116
Slc35d2,Timm8b,Hyls1,B4galt6,Dagla,Ndufa4l2,Col11a2,Prr18,Mfap4,,Pip5k1a,L3mbtl3,Uqcr11,Bcl2l1,Gbp3,Snx9,,Zfp647
Mup10,Cyp2a22,Itgb3bp,Hspbap1,Nek8,Cables1,Hspa1a,Olfr16,Snord14d,,Prps2,Lpcat1,Ddrgk1,Il4ra,Tra2a,Hnrnpa0,,Olfr149
Slc66a1,Elovl6,Olfr907,Rps6ka5,Slc5a1,A730063M14Rik,Cbr2,,Ihh,,Itga4,Serf1,Arel1,Cox7a2l,Celf2,Ocln,,Gm17644
Gbp11,Rpl35,Vmn1r46,Ccdc122,Cyba,Smox,Lrrd1,,Dnai3,,Tomm34,Map2k6,Abcf3,Dnajb2,Rad17,Ifi27,,Vsig2
Tmsb4x,D630039A03Rik,Zfp59,Vmn1r13,Kdf1,Nova1,Casq1,,Map6,,Zfp467,Alkbh1,Lamc1,Eif3k,9930021J03Rik,Nostrin,,2900005J15Rik
Abcb1a,Ccnd1,Klhl4,Slc18a2,Ikbip,Lrrn4,Fndc9,,Lmod1,,Zfp873,Tmem267,Slc29a1,Ndufs7,Habp4,Clec14a,,Cd160
Alad,Gde1,Ccne2,Cd86,Rhbdf1,Crocc,ENSMUSG00000019359,,Musk,,Psmg4,Alkbh3,Pgd,Chtf8,Ptpn4,Slc12a6,,Bpifc
Acot1,Casp6,1700018L02Rik,Rad51b,Oas1a,Ccdc189,Aqp3,,Nkx6-1,,Nedd1,E130311K13Rik,Apeh,Bcr,Srek1,Dcaf17,,Sncaip
Bid,Gstp3,1810010H24Rik,Sft2d3,Gcnt7,Pcsk4,Fam83a,,Dnase1l2,,Zdhhc16,Tdg,Epn1,Trim26,1600012H06Rik,Git2,,Slc4a9
Zfp970,Rab11fip4,Prkab2,Thpo,Mpzl1,Thsd1,Asb11,,Snora47,,Homez,Bace2,Polr2l,Nudt9,Ccdc186,Stx12,,Cbln3
Eno1b,Ankrd55,Slc34a2,Gm16291,Zscan2,Tmem17,Lor,,Tnni2,,Coa4,Hapln4,Gps1,Zmiz1,Pias2,Mboat7,,Psat1
Snora74a,Rpl22l1,Gm16023,Rbl1,Wdr25,Moap1,Mas1,,Ak1,,Pkig,Camta1,Atf5,Txndc5,Trappc11,Prrc1,,Vmn1r227
Mt2,Cd163,Rgs1,Clec9a,Dok5,Tnfrsf12a,Muc15,,Sbsn,,Msh6,Exoc8,Eif3g,Sars,Prxl2a,Cobl,,1700030N03Rik
Rpl28,Prrg1,Lipt2,Prl8a1,Ssbp4,Mxra8,Gm15612,,Tchh,,Eogt,Sccpdh,Qprt,Atg4b,Gpc4,Arfip1,,Igf2bp2
Serpina11,Sel1l3,Ada,Nat8f7,Tcf19,Angptl7,ENSMUSG00000043430,,Krt19,,Rhob,Tsen15,Anapc2,Pdcd11,Abhd18,Vps4a,,Olfr1264
Cyp2d9,F830016B08Rik,Zbtb25,Pygm,Pira2,Phlda3,Whrn,,Pdlim3,,Caln1,Cep162,Tbc1d9b,Soat2,Esco1,Mto1,,Grin2b
H2-Q6,Tenm3,Tpm2,Syne4,Il10ra,Hmga1,Gm6614,,ENSMUSG00000044041,,Klhl13,Cacfd1,Suds3,Cyp4f13,Tbc1d15,Exoc2,,Defb42
Vnn1,Tsku,Crym,Olfr161,Gpatch3,Smyd3,Prss2,,Nol3,,Arl6ip6,Bicd1,Ormdl3,Imp4,Rmdn1,B230219D22Rik,,Nek2
Nfil3,Erbb4,Zc3h12d,Pdgfd,Gngt2,Dusp28,Car12,,Cavin3,,Rpp40,Ackr4,Zfp646,Pja1,Ar,Aatf,,Olfr628
