FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
,,Olfr46,,Atf3,,,,,,Pik3c2b,Pvr,Ap1b1,,Emc3,Cstf2,,
,,Dffb,,Trp53i13,,,,,,Pola2,Mars2,Cyc1,,Zfp36,Gpd2,,
,,Vmn2r115,,Bcdin3d,,,,,,Nedd9,Mr1,Tnks1bp1,,Rfc1,Sub1,,
,,Thbs1,,Prickle1,,,,,,Zfp810,Eef1akmt1,Plec,,Rnft1,Plekha3,,
,,Ccdc73,,Ctps,,,,,,Speer6-ps1,Prkn,Stim1,,Cmtm4,1110059E24Rik,,
,,A830082K12Rik,,Gm4285,,,,,,Eif2b3,Ctnnal1,Lrp5,,Wsb1,Fam199x,,
,,H4c6,,Hgh1,,,,,,Rfxap,Trmt5,Pi4kb,,Ndufb2,Angel2,,
,,Cenpf,,Mapk7,,,,,,Wdyhv1,Fyb,Atp6v0c,,Elf1,Gnpda1,,
,,Chrna2,,Grik5,,,,,,Cstf3,Plcb4,Mrps16,,Fam149a,Rbm4,,
,,Syt11,,Mcts2,,,,,,Lmo4,Rab23,Map1lc3b,,Vezf1,Utp14a,,
,,Fcgr4,,Cyp1b1,,,,,,Zfp58,E2f5,Ctbp1,,Pabpn1,Ufm1,,
,,Cdk1,,Klf16,,,,,,Suv39h1,Smyd1,Plbd2,,Apbb2,Stx16,,
,,Lratd1,,Bmp7,,,,,,Ccnyl1,Zfp974,Fbxo21,,Vps50,Vps26c,,
,,Snrpf,,Socs3,,,,,,Atg10,Aph1b,Vkorc1,,Dmtf1,Chd6,,
,,2900076A07Rik,,Gpx3,,,,,,Gls,Thap6,Ctsa,,Sdcbp,Cilk1,,
,,Fam222a,,Thy1,,,,,,Fam111a,Fmn1,Golga4,,Cmtm6,Mrpl16,,
,,Arhgap15,,Nol4l,,,,,,Cmpk2,2700097O09Rik,Idh2,,Ranbp1,Etl4,,
,,Rag2,,Hexim2,,,,,,Tmem9b,Enc1,Ptprf,,Ppfibp2,Ube2j2,,
,,4933439C10Rik,,N4bp3,,,,,,Mettl2,Stk17b,Notch2,,Ube2l6,Dpy30,,
,,Jrkl,,Marco,,,,,,Aldh3b1,Ntn4,Nectin1,,Bud31,Cecr2,,
,,Klrb1c,,Trim34b,,,,,,Mef2c,Igfbp5,Kansl3,,Ehbp1,Tgfbi,,
,,Map2,,Aldh3b3,,,,,,Akap7,Per3,Tusc2,,5033403H07Rik,Ccnd2,,
,,Slc22a3,,Strada,,,,,,Xaf1,Ino80e,Vps35l,,Il1r1,P2ry4,,
,,Junb,,Sell,,,,,,Amigo1,Ybey,Bgn,,Actr8,Atg4a,,
,,3110056K07Rik,,Ighmbp2,,,,,,Clca3a1,Il16,Tcn2,,Shtn1,Sec22a,,
,,Sinhcaf,,Dtx3,,,,,,Efna5,Lrp12,Clpx,,Pkd2,Frs2,,
,,Zfp939,,Tpgs1,,,,,,Phf21a,Meis2,Prdx2,,Ncoa1,Ufd1,,
,,E030018B13Rik,,Twf2,,,,,,Mak16,Syk,Efna1,,Crkl,Atp6v1e1,,
,,Rec8,,Pdzk1ip1,,,,,,Rnf41,Gab2,Syngr2,,Tfpi2,Zfp146,,
,,Sntg1,,Spry2,,,,,,Srp19,Spry1,Fdps,,Wdr59,Brd8,,
,,Raet1d,,Tmem252,,,,,,Abraxas1,Adamts9,Cap1,,Agfg2,Wbp4,,
,,Slc7a1,,H2-DMa,,,,,,Bco2,Flvcr2,Cfl1,,Spg11,Harbi1,,
,,Rgmb,,Bex3,,,,,,Inpp5e,Kctd2,Dnajb12,,Chkb,Dstyk,,
,,Fancf,,Fam187b,,,,,,Itpa,D030056L22Rik,Sgta,,Eml4,Galnt1,,
,,1110020A21Rik,,Gpr19,,,,,,Coq10a,Ndufaf5,Psmc1,,Dctn4,Klhl5,,
,,Dynlt1a,,Med31,,,,,,Zfp639,Zfp280b,Mrap,,Xpo6,Zfp715,,
,,Tmc4,,Chchd6,,,,,,Cep192,Cep95,Acy1,,Mrpl24,Rbsn,,
,,Olfr1129,,Tmem203,,,,,,Itga6,Morc4,Ndufa3,,Mgat2,Rnpep,,
,,Zfp420,,Adnp,,,,,,Zbtb1,Tango6,Snf8,,Lars,Cnih1,,
,,Pilra,,Slc41a3,,,,,,Urb2,Bcorl1,Swi5,,Tor1aip1,Slc41a2,,
,,1700086O06Rik,,Zswim1,,,,,,Ccdc174,Zmym1,Mydgf,,Lgalsl,Tsc1,,
,,Gen1,,Fam174b,,,,,,Zfp113,Spata5,Gart,,Rbfox2,Esyt2,,
,,Ier5,,Fut10,,,,,,Rnps1,Bend3,Hsd17b10,,Phc3,Fkbp3,,
,,Il18rap,,Cadm4,,,,,,Cerkl,Ccdc88a,Clec4f,,Wdfy2,Spg20,,
,,Slc15a2,,Ctf1,,,,,,Csf1,Cluap1,Msrb1,,Hlf,Rpain,,
,,Mgat4a,,Rac2,,,,,,Rtca,Hs1bp3,Psmb3,,Lta4h,Stx7,,
,,AA986860,,Adcy1,,,,,,Zfp2,Ppip5k1,Myo1e,,Sertad2,Orc4,,
,,Ankrd9,,Dnajc17,,,,,,Zfp933,P2ry2,Sec13,,Gtf3c2,Fnbp1l,,
,,Slc16a9,,Dennd6b,,,,,,Gpn3,Idua,Acads,,Rft1,Adal,,
,,Rsad1,,Slc37a2,,,,,,Cenpc1,Gbp4,Lpcat3,,Usp40,Vezt,,
,,Slc22a28,,Kctd15,,,,,,Cdk5rap1,Lonrf1,Fgfr3,,Cgrrf1,Ciao2a,,
,,Phf11b,,Cuedc1,,,,,,Slfn9,Vhl,Mtmr4,,Abhd13,Ercc6l2,,
,,Ly86,,Ltbp3,,,,,,Zfp623,Cc2d2a,Ndufs5,,2610002M06Rik,Uchl5,,
,,4930480G23Rik,,Arhgap4,,,,,,Fdxacb1,Mapre3,Hgfac,,Mrpl9,Mthfs,,
,,Spata6,,Pard6a,,,,,,Lcp2,Filip1l,Mafg,,Gabbr2,Gabarapl2,,
,,Serpina9,,Zfp618,,,,,,Rassf4,Clk2,Rpl10a,,Sfxn2,Slco2a1,,
,,Spata1,,Prkg2,,,,,,3110040N11Rik,Acot2,Bckdha,,Maco1,F2r,,
,,Anln,,Lrrc61,,,,,,Nufip1,Cers4,Mrpl11,,Acap2,Eya3,,
,,Hacd4,,Dph7,,,,,,Nsun4,Smoc2,Gne,,Gcnt2,Pros1,,
,,4930503L19Rik,,Rdh1,,,,,,Zfp759,Slf1,Ambra1,,Nfkbia,Med23,,
,,Gpr157,,Catsperd,,,,,,Cyrib,Entpd1,Rab1b,,Tbc1d24,Ndrg3,,
,,Erich1,,1700029I15Rik,,,,,,2510009E07Rik,Far1,Sec24c,,Rnf7,Parp16,,
,,Scand1,,Kirrel,,,,,,Ankmy2,Pdcd7,Csnk2b,,Dlat,Cox20,,
,,Isoc2b,,Mbp,,,,,,Dipk1a,Ccl6,Fars2,,Gpr155,Etv6,,
,,Dock11,,Adgrd1,,,,,,Myef2,Lix1l,Aph1a,,Zfp451,Slc12a2,,
,,Nipal2,,Bcam,,,,,,Podxl,Gtf3a,Chmp2a,,Bet1,R3hdm2,,
,,Hdgfl3,,Neu2,,,,,,Cbwd1,Ankrd16,Mlec,,Eif5b,Map7,,
,,Ska2,,9530082P21Rik,,,,,,Lsm3,Hcls1,Nlrp12,,Zfp280d,Zfp68,,
,,Gm10069,,Pfkfb4,,,,,,Sft2d1,Ly75,Pkp4,,Paip2b,Uchl3,,
,,Ifi207,,Lag3,,,,,,Aktip,4921524J17Rik,Myl12b,,Nus1,Rraga,,
,,Prelid2,,Cd300a,,,,,,Zfp800,Mtrf1l,Poldip2,,Mthfsl,Ccdc93,,
,,Ubash3b,,Gbp2b,,,,,,Tifa,Reck,Pfn1,,Nrp2,Ago1,,
,,Rsl1,,Epb41l1,,,,,,Ptbp2,Ppcs,Man2a2,,Sema6d,Wbp11,,
,,Mecom,,Heyl,,,,,,Camk1,Btg2,Mbl1,,Bnip2,Ss18l2,,
,,Spire1,,Sac3d1,,,,,,Timm22,Zbtb9,Shisa5,,Glod4,Atic,,
,,H2-Ea,,Patz1,,,,,,Gng10,Anxa1,Pglyrp2,,Nfx1,H2-Aa,,
,,Zfp9,,Gdf15,,,,,,Alg13,Olfr1372-ps1,Gldc,,Slc39a8,Ostm1,,
,,Zfp992,,Fry,,,,,,Pola1,Rasa2,Ndufa1,,Zeb2,Pan2,,
,,B430306N03Rik,,Ptgr1,,,,,,Prkcd,Lhfpl2,Eif3b,,Ankrd13c,Dock9,,
,,Cd48,,Rab2b,,,,,,Zfp963,Caap1,Adar,,Tppp,Taf15,,
,,9330159M07Rik,,Ptgfrn,,,,,,Smc4,Slc35e3,Suox,,Zbtb8os,Klhl12,,
,,Neto2,,Peli3,,,,,,Senp1,Zfp516,Gucd1,,Eif2ak2,Xpo4,,
,,Cd207,,Limk1,,,,,,Rab11fip1,Leprot,Srrt,,Rictor,Plk3,,
,,Sytl4,,Gm15545,,,,,,Tmem241,Scd2,Inppl1,,Dip2c,Vps13a,,
,,Tro,,Aldh18a1,,,,,,Myo19,Nrg4,Zfp236,,Zfp266,Chfr,,
,,C730002L08Rik,,Nfatc2ip,,,,,,Pced1a,Ddx55,Gfer,,Tec,Ppp1r10,,
,,Olfr1033,,Lrrn3,,,,,,Rnf138,Stxbp6,Ppa1,,Nmt2,Phlda1,,
,,Vmn1r76,,Slc7a7,,,,,,Zdhhc13,Hps4,Hsbp1,,Sptlc1,Slc17a1,,
,,Dus4l,,Gfra2,,,,,,Pdcl3,Maml2,Nfic,,Trim2,Dennd5a,,
,,Zfp128,,Eva1c,,,,,,Plekhm3,Hhip,Ndufb3,,Kdm3b,Znrf3,,
,,Zfp78,,Dpep1,,,,,,Itpripl2,Rel,Fcgrt,,Kctd12,Pkp2,,
,,H2aw,,Tnfsfm13,,,,,,Thap1,Gm10658,Psmb1,,Otud6b,Uba6,,
,,Zfp667,,Gm3336,,,,,,Tmem263,Nsmce1,Pla2g12b,,Arl4a,Fastkd1,,
,,Nsun6,,Zbtb42,,,,,,Rsbn1,Ubox5,Ube2l3,,Sec24b,Cnot4,,
,,Asns,,Zfp458,,,,,,Dpt,Hypk,Trim28,,Rsl24d1,Ap4b1,,
,,Dnai1,,Csf3r,,,,,,Mphosph9,Phf11d,Clint1,,Srbd1,Ets2,,
,,Evc,,Tlr6,,,,,,Carf,Cttnbp2nl,Vps33a,,Zbtb11,Gtpbp8,,
,,A630089N07Rik,,Zfp593,,,,,,Dph5,Pus3,Celsr1,,Hsd17b7,Rbbp5,,
,,Gon7,,Impa2,,,,,,Fundc1,Fbxo32,Mrps18a,,Ppid,Bace1,,
,,Cxcl11,,Arhgap25,,,,,,Fam120c,Atg16l2,Slc46a1,,Spcs1,Add3,,
,,Lin9,,Dhrs13,,,,,,Slc29a3,Socs5,Gatb,,Fitm2,Zfp317,,
,,Rslcan18,,Gm38431,,,,,,Tada1,Ccr5,Srp68,,Smarcad1,Rbm22,,
,,P2ry12,,Kctd5,,,,,,Zfp597,She,Slc12a7,,Cyb5r4,Rab9,,
,,Vmn2r79,,Selplg,,,,,,LTO1,Piga,Ppp1r37,,Neo1,Nek4,,
,,Itgb2l,,Dmrta1,,,,,,Stx3,Rcan2,Cct3,,Rapgef5,Pik3c3,,
,,Tmem181a,,Arhgap10,,,,,,Tbc1d4,Snhg12,Macroh2a1,,Sec61b,Glrx2,,
,,Ccr9,,Ncmap,,,,,,Nkrf,Golt1b,Urgcp,,Ddx52,Ralbp1,,
,,Eml6,,Akna,,,,,,Mettl21a,Grk3,Tubb5,,Ldah,C1d,,
,,Lilrb4b,,Zfp518b,,,,,,Tex10,Fam124a,Arfgap2,,Lss,Map3k1,,
,,H2-DMb1,,Tmem132a,,,,,,C2cd5,Zfp975,Pnpla2,,Pnpt1,Ppp1cc,,
,,Trp53rkb,,1810044D09Rik,,,,,,Tmem161b,Zfp830,Psmb8,,Nr2c2,Babam2,,
,,Gnai1,,Ptk7,,,,,,Gla,Flvcr1,Kif13b,,Siae,Gfm2,,
,,Mettl25,,Sptb,,,,,,Hip1,2810013P06Rik,Ephb4,,Bri3,Zkscan7,,
,,Ints6l,,H2-T10,,,,,,Arl3,Etaa1,Taok2,,Zfp568,Pik3r4,,
,,A2ml1,,Prr3,,,,,,E130307A14Rik,Lama1,Ndst1,,Zcrb1,Gpkow,,
,,Lad1,,Aard,,,,,,Gemin7,Ccl25,Atp7b,,Pet100,Clk3,,
,,Gm11837,,Tmsb15b1,,,,,,Zfp275,Carmil1,Inhbe,,Fchsd2,Mzt1,,
,,Atn1,,Islr,,,,,,Zfp280c,Prdm9,Hcfc1r1,,Zdhhc21,Elmod2,,
,,1700007F19Rik,,Sdk2,,,,,,Marveld2,Psmg2,Dynlrb1,,Hyal1,Hnrnpd,,
,,Pclaf,,Slc15a3,,,,,,Plscr4,Gmeb1,Tmem254,,Lactb,Dnajc8,,
,,Reep1,,Ehf,,,,,,Rbm43,Ophn1,Kmt2d,,Fem1b,Las1l,,
,,Gpr17,,Mvb12b,,,,,,Ocrl,Foxp2,Ptpa,,Eif4e,Cdk17,,
,,Ciita,,Leng9,,,,,,Jag1,Wdr35,Tprgl,,Pon2,Abcg5,,
,,H4c14,,Ammecr1,,,,,,Papss1,Dgat1,2810459M11Rik,,Fus,Rnd3,,
,,H2ac4,,Oas3,,,,,,Snrpb2,Lyrm1,Dcxr,,Arhgef5,Tstd2,,
,,Capn8,,Arl4c,,,,,,Impdh1,Maf1,Psma7,,Tubgcp4,Pa2g4,,
,,Trim12a,,Slc2a3,,,,,,Pithd1,Cpne8,Supt6,,Ank,Ermard,,
,,Ear2,,Armcx5,,,,,,Gpatch11,Plek,Timm23,,Pdcd10,Ston2,,
,,Npas2,,Hdc,,,,,,AW146154,Alg8,Gstt1,,Depdc7,Plscr2,,
,,Slc18a1,,Trmt44,,,,,,Rp2,Tgtp1,Ost4,,Aqr,Snx7,,
,,Bcl2a1b,,Gar1,,,,,,1700001C19Rik,Fam118b,Zzef1,,Ubr7,Ppp2cb,,
,,Btbd10,,Megf6,,,,,,Iqcb1,Zfp959,Slc36a1,,Mllt10,Htatsf1,,
,,Fanca,,Pmepa1,,,,,,Rpia,Stk39,Pnpla7,,Shroom2,Ift52,,
,,Cox7a1,,Zfp784,,,,,,Zfp595,Rfx3,Mrps21,,Mafb,Golga5,,
,,Zbtb7c,,Zbed3,,,,,,Tmem47,Arhgef15,Ltbr,,Napg,Nt5c3,,
,,Fam161a,,Gmip,,,,,,Kbtbd4,Ercc4,Stoml2,,Dcun1d4,Cnppd1,,
,,2200002D01Rik,,Cdr2,,,,,,Mapre2,Tlr4,Entr1,,Pxk,Hivep2,,
,,1810064F22Rik,,Lfng,,,,,,Tpcn2,Xkr8,Selenoo,,Macir,Dleu2,,
,,Zfp54,,Ajuba,,,,,,Ano6,Ankrd10,Slc37a4,,Ryk,Irf6,,
,,Gm12191,,Rab3a,,,,,,Ppp1r16b,Rrnad1,Nsfl1c,,Pex2,Rbm18,,
,,A830052D11Rik,,Pdgfa,,,,,,Mettl17,Orc6,Cdk5rap3,,Pno1,Rras2,,
,,F630028O10Rik,,Gpm6b,,,,,,Rabepk,Zfp235,Uqcrq,,Pitpnb,Phykpl,,
,,Bmper,,Sytl1,,,,,,1110019D14Rik,Csf2rb,Jup,,Hjv,Adamts1,,
,,Zfp456,,4931428L18Rik,,,,,,Otud1,Atrip,Pdzk1,,Plekha8,Tgfbr3,,
,,Ugt2b38,,Nudt6,,,,,,Fbn1,Sh2d4a,Gpt,,Dnajc5,Nom1,,
,,Tnfrsf22,,Vmn1r236,,,,,,Rnf144a,Ttc8,Snrnp200,,Tent5a,Prpf39,,
,,Eps8l1,,Relb,,,,,,Ttc27,Elmo2,Mvp,,Epc1,Otud5,,
,,Vav3,,Acot11,,,,,,Katna1,Ezh2,Rbm8a,,Stag1,Zfp518a,,
,,Fst,,Zfp454,,,,,,Mbtps2,Rad50,Extl3,,Tomm7,Fcf1,,
,,Vmn2r24,,Map3k14,,,,,,Ptpn2,Polr1b,Rad23a,,Ralgps2,Slc37a3,,
,,Csf2rb2,,Tcf21,,,,,,Mettl3,Rwdd3,Slc9a3r1,,Maf,Inpp4a,,
,,Top2a,,Dkk3,,,,,,Zfp965,Taco1,Gbf1,,Rnf146,Tsr1,,
,,Zfp472,,Zbtb32,,,,,,Pop4,Sp140,Sptbn2,,Ddhd1,Plxnc1,,
,,Zc2hc1a,,Cks1b,,,,,,Cyp3a59,Zscan12,Ppdpf,,Tmem123,Rnf169,,
,,Zfp764,,Fbxl8,,,,,,Cmtr2,Slc39a10,Actn4,,Garre1,Taf2,,
,,Stox2,,Ahi1,,,,,,Stard8,Tox,Tbc1d16,,Cep20,Polr3b,,
,,C1qtnf7,,Gmpr,,,,,,Pigx,Stk38l,H1f2,,Rbpj,Cdkal1,,
,,C920006O11Rik,,Nos3,,,,,,Cdkn2aip,Fxn,St3gal1,,Tmem184c,Timp3,,
,,Nat8f4,,Sfxn3,,,,,,2210408F21Rik,Aasdh,Flii,,Zzz3,Bivm,,
,,Zfp354b,,Golm1,,,,,,Osmr,Slx4ip,Bmp1,,Tmx1,Grb2,,
,,Fkbp7,,Rgs8,,,,,,Zmym3,Eps8,Mrpl10,,Tlcd1,Zwint,,
,,Kcnt2,,Tmem253,,,,,,Gmpr2,Pigv,Acin1,,Rbx1,Mysm1,,
,,Pim2,,H2-Q2,,,,,,Nicn1,Bach2,Blvrb,,Eva1a,Arhgap31,,
,,Spag1,,Lsm11,,,,,,Zbp1,Gm19619,Oplah,,Epb41l5,Mms19,,
,,Micu3,,Nexn,,,,,,Snapc5,Wipf1,Slc3a2,,Rsbn1l,Prdm2,,
,,Gm13544,,Il27ra,,,,,,Pwp1,Shroom3,Psmc3,,Fto,Plpbp,,
,,E330011O21Rik,,Evi5l,,,,,,Zxdb,Sh3yl1,Lmna,,Tead1,Pkhd1,,
,,Etohd2,,Trib3,,,,,,Serpinb8,Bud13,Cyth1,,Plekhb1,Phka2,,
,,Ptger2,,Hspa12a,,,,,,Vrk2,Ccdc181,Exoc7,,Fas,Mtmr3,,
,,Zfp937,,Ift122,,,,,,Tax1bp3,Lsm8,Hcfc1,,Prep,Rdh14,,
,,Ugt1a10,,Gm3435,,,,,,Vamp3,Tma16,Yif1a,,Ap3s2,Mrps22,,
,,Snora68,,Sh3tc2,,,,,,Stambp,Slc35a2,Gna12,,Nap1l4,Ip6k2,,
,,Gabbr1,,Mmp2,,,,,,Lama2,H2-Q1,Ppp5c,,Flt1,Rbbp7,,
,,Tfec,,Mpp4,,,,,,Tm4sf1,Snhg17,Edf1,,Ddx58,Dab2,,
,,Ly6a,,Rragd,,,,,,Cdan1,Glb1,Ptbp1,,Kpna6,Thap2,,
,,Fabp7,,Ptpn13,,,,,,Zkscan8,Tnfaip3,Dnmbp,,Pde8a,Bcas3,,
,,Myzap,,Them6,,,,,,Rpap3,Unkl,Pex5,,AI987944,Tpk1,,
,,Arhgap19,,Plod2,,,,,,Fign,Pprc1,Man2b2,,Ppp2r2a,Ido2,,
,,Tmc7,,Ulk3,,,,,,Plekha1,Parp11,Znfx1,,Smim15,Rab12,,
,,Nat1,,Arl10,,,,,,Zbtb5,Fzd8,Echdc2,,Khnyn,Ezh1,,
,,4732471J01Rik,,Hps6,,,,,,Cfap36,Mtmr7,Septin11,,Srxn1,Tmem127,,
,,Acta2,,Vsig10,,,,,,Fbxo42,Rrm2b,Notch1,,Crebl2,Invs,,
,,2810403D21Rik,,Afap1l1,,,,,,Ascc1,Dcbld2,Smoc1,,Galnt4,Wdr3,,
,,5830417I10Rik,,Nhej1,,,,,,Znhit6,Zfp81,Klf15,,Cyld,,,
,,2610507I01Rik,,Fam241b,,,,,,Armh3,Ccdc71l,Hipk2,,Mindy3,,,
,,Cklf,,Mapk12,,,,,,Cnot3,C630043F03Rik,Hyal2,,Dkc1,,,
,,Ciart,,F3,,,,,,Nudt16,Pop1,Nudc,,Map2k4,,,
,,Slc18b1,,Mmrn1,,,,,,Tbpl1,Kctd18,H2-T22,,Rhbdd1,,,
,,Gca,,Tspyl2,,,,,,Armcx4,Ppp4r1l-ps,Zswim8,,Hfe,,,
,,Vmn1r87,,Fendrr,,,,,,Rbm48,Vmn1r81,Reep6,,Mcoln1,,,
,,9430037G07Rik,,Rps6kl1,,,,,,2310057M21Rik,Sult1e1,Eif4e2,,Josd1,,,
,,Elmo1,,Zfp462,,,,,,Pbdc1,Sipa1l3,Trrap,,Rnf20,,,
,,Hilpda,,Ift22,,,,,,Mest,Hspa1b,Sphk2,,L3hypdh,,,
,,1110046J04Rik,,Pdlim7,,,,,,Tmtc2,Large1,Nfe2l1,,Ptpra,,,
,,Tnfsf13,,Zfp414,,,,,,Klhl28,Gm14288,Slc45a3,,Atpif1,,,
,,Rhoh,,Tbx2,,,,,,Zfp687,Borcs7,Tcea3,,Atf1,,,
,,Lama3,,Lrrc56,,,,,,Ift80,Dclre1c,Rnf44,,Dop1a,,,
,,Gvin-ps4,,Cep131,,,,,,Mapk1ip1,Piezo2,Mlf2,,Adss,,,
,,Snora28,,Map2k3os,,,,,,Arl15,5430416N02Rik,Cttn,,Asah1,,,
,,Cd59b,,Myo1g,,,,,,Ehd4,Mtbp,Impdh2,,Cul5,,,
,,Gm16973,,Lrrc29,,,,,,Scfd2,Bicc1,Aox1,,Rhot1,,,
,,Gm4956,,Otub2,,,,,,Lancl1,Gm16551,Yap1,,Stam,,,
,,Smpd3,,Adprh,,,,,,Fam47e,Il17rb,Lamtor2,,Cast,,,
,,H2ac18,,Siva1,,,,,,Hecw2,Znhit3,Ndufb11,,Ubl3,,,
,,Clec4a3,,Aif1,,,,,,Pfdn4,Thnsl1,Psmc2,,Synj1,,,
,,Mindy4,,Pcdh18,,,,,,Lcmt2,Nup37,Gcn1,,Antxr2,,,
,,Rpgrip1l,,Zfat,,,,,,Caml,Pim1,Usp4,,Psmd6,,,
,,4933438K21Rik,,Sema4c,,,,,,Zfp433,Fcer1g,Acbd4,,Gsap,,,
,,Ly9,,Nckap5,,,,,,Slc35a4,Anapc10,Aacs,,Kansl2,,,
,,Zfp940,,Cyp4x1,,,,,,Zfp954,Cebpb,Ehd3,,Rpa1,,,
,,Gm4841,,AI413582,,,,,,Cdkl2,Eif4e3,Ap3d1,,Tmem140,,,
,,Snora81,,Cep89,,,,,,Etv3,Fuca2,Taok3,,Fbxo34,,,
,,Rbm20,,Pheta1,,,,,,Rilpl2,Fbln5,Gltpd2,,Nek6,,,
,,Pcdh7,,Fbxw17,,,,,,Flrt1,Gm10778,Prpf19,,Scaf8,,,
,,Tnc,,Tfap4,,,,,,1110059G10Rik,Kctd21,Nit1,,Rgl1,,,
,,Ccdc17,,Gstcd,,,,,,G2e3,Sms,Adipor1,,Vps53,,,
,,Gm20604,,Ttc39a,,,,,,Lin54,Trnau1ap,Rps5,,Msrb3,,,
,,,,Lockd,,,,,,Terf2,Glt28d2,Rps15,,R3hdm1,,,
,,,,Magee1,,,,,,Gja1,Tgtp2,Gatad2a,,Bdp1,,,
,,,,Tmco6,,,,,,Hdac1,Qpctl,Hoga1,,Acer3,,,
,,,,Il17rd,,,,,,Stx8,Coa8,Ergic1,,Fnbp1,,,
,,,,Bbs4,,,,,,Shld1,D130020L05Rik,Tmem94,,Tet2,,,
,,,,Atp1a2,,,,,,Haus2,Gm12250,Pcbp1,,Trappc13,,,
,,,,Rftn1,,,,,,Sacs,Ube2d1,Mrpl51,,Ptar1,,,
,,,,H2bc8,,,,,,Postn,2210408I21Rik,U2af1,,Kdm1a,,,
,,,,Pou2f2,,,,,,Slc31a2,Zfp329,Psmd4,,Fam135a,,,
,,,,Prss23,,,,,,Wars2,Lrrc8c,Ewsr1,,Acot13,,,
,,,,Selenon,,,,,,Dimt1,Pigp,Ep400,,Atp6v1d,,,
,,,,Sash3,,,,,,Slx1b,Taf5,Hmox2,,Mrpl18,,,
,,,,Pmp22,,,,,,Ifit3b,Fam204a,Fem1a,,Zc3h12c,,,
,,,,Lrfn4,,,,,,Rsad2,Dennd2a,Rnf10,,Lamtor5,,,
,,,,Trpm4,,,,,,Rasgrp3,Cdk14,Leap2,,Sgk1,,,
,,,,Tcaf2,,,,,,Slc36a4,Golph3l,Mthfd1,,Kbtbd2,,,
,,,,Spsb4,,,,,,Stxbp4,Chmp4c,Dnajb11,,Pea15a,,,
,,,,Rad9b,,,,,,Cdk2,Fam185a,Wsb2,,Zfp26,,,
,,,,Ltb,,,,,,Armc7,Vangl1,Cox8a,,Tshz1,,,
,,,,Tnfrsf19,,,,,,Snhg1,Olfr1307,Snd1,,Nifk,,,
,,,,Zfp346,,,,,,Pde4d,Nphp3,Inhbc,,Myl12a,,,
,,,,Lime1,,,,,,Fahd2a,Vrk1,Limd1,,Lsm12,,,
,,,,Pgm5,,,,,,Rab33b,Mitf,Hars,,Zranb2,,,
,,,,Cit,,,,,,Wdr70,Tagap1,Twnk,,Setdb1,,,
,,,,Tonsl,,,,,,Pus7,Phtf1,Hexa,,Khdrbs1,,,
,,,,Clstn3,,,,,,Bloc1s6,Surf6,Ap2m1,,Rif1,,,
,,,,Ksr1,,,,,,Cybb,Stimate,Tmem147,,Cwf19l2,,,
,,,,Mcm3,,,,,,Gmeb2,Chsy1,C2,,Mrrf,,,
,,,,Smim1,,,,,,Lrrk2,Zfp111,Madd,,Mtpap,,,
,,,,Ttyh3,,,,,,Casp8ap2,Dcbld1,Septin9,,Arhgap32,,,
,,,,Med9,,,,,,Trim39,Gng11,Myl6,,Parp12,,,
,,,,Cdon,,,,,,Mpg,Ap4s1,Ehmt1,,Ppt1,,,
,,,,Gemin6,,,,,,Egln3,H2-Eb1,Mical3,,Jak2,,,
,,,,Igsf10,,,,,,Med20,2700062C07Rik,Eif4g3,,Tfrc,,,
,,,,Hap1,,,,,,Mtfmt,Mplkip,Ufc1,,Rybp,,,
,,,,9930014A18Rik,,,,,,Gorab,Abcg1,Creb3l3,,C330018D20Rik,,,
,,,,Cd320,,,,,,Bdh2,5730480H06Rik,Vipr1,,Thoc7,,,
,,,,Slc7a5,,,,,,Zrsr2,Ppm1d,Cpsf1,,Fbxo30,,,
,,,,Mustn1,,,,,,Tti2,Gas1,Mapkap1,,Stxbp5,,,
,,,,Odad3,,,,,,Mospd1,Lig4,Pkd1,,Nup153,,,
,,,,Wdpcp,,,,,,4632415L05Rik,Kbtbd8,Tmem150a,,Atp6v1g1,,,
,,,,Lrp11,,,,,,Cwc25,Loxl2,Aurkaip1,,Ppp3r1,,,
,,,,Gjc3,,,,,,Acer2,Tmem43,Ppp6r1,,Tbx3,,,
,,,,Maml3,,,,,,Tmem29,Ss18l1,Nacc2,,Chac2,,,
,,,,Tmem238,,,,,,Slc25a26,Cox11,Uba1,,Srsf2,,,
,,,,Nup107,,,,,,Cep135,Tmem177,Kank1,,Sap18,,,
,,,,Hirip3,,,,,,Tmem185b,Gnb4,Phb,,Cebpz,,,
,,,,S100a11,,,,,,Dgcr8,Epha7,Irak2,,Sec22b,,,
,,,,Cgref1,,,,,,Mterf4,Robo1,Atp6ap1,,Arhgef3,,,
,,,,Mfsd13a,,,,,,Chchd7,Nme7,Ubxn1,,Rspry1,,,
,,,,Htra1,,,,,,Atxn7l1,Rufy2,Ndufa5,,Tceal9,,,
,,,,Lmln,,,,,,Zfp385b,,Klc4,,Kansl1,,,
,,,,1110065P20Rik,,,,,,Arfrp1,,Vegfa,,Ifih1,,,
