module	feature	condition	score	h5_accession	mission	sex	strain	library_selection
FLT_cluster_3_mixed_stress	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep3_G3	GC	0.1263672113418579	OSD-137		Female	BALB/c	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep4_G5	GC	0.15117615461349487	OSD-137		Female	BALB/c	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep5_G6	GC	0.17934678494930267	OSD-137		Female	BALB/c	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep6_G7	GC	0.1641831248998642	OSD-137		Female	BALB/c	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-173_Mmus_C57-6CR_LVR_GC_Rep1_G40	GC	0.11094023287296295	OSD-173		Female	C57BL/6NCrl	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-173_Mmus_C57-6CR_LVR_GC_Rep2_G44	GC	0.11183485388755798	OSD-173		Female	C57BL/6NCrl	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	FLT	0.17003463208675385	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	FLT	0.1720973551273346	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	FLT	0.16785793006420135	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	FLT	0.13603626191616058	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	FLT	0.08930318057537079	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	FLT	0.179233580827713	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	FLT	0.1439918577671051	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	FLT	0.12307648360729218	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	FLT	0.189557284116745	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	FLT	0.1253606528043747	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	FLT	0.17684012651443481	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	FLT	0.11847319453954697	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	FLT	0.13943776488304138	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	FLT	0.13901057839393616	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	FLT	0.11903289705514908	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	FLT	0.1695992797613144	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	FLT	0.21554702520370483	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	FLT	0.1997489184141159	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	FLT	0.17309008538722992	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	FLT	0.22159671783447266	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	FLT	0.18663863837718964	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	FLT	0.1380382627248764	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	FLT	0.32585811614990234	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	FLT	0.19431020319461823	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	FLT	0.05909203737974167	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	FLT	0.08816733211278915	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	FLT	0.22223879396915436	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	FLT	0.26629430055618286	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	FLT	0.38112398982048035	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	FLT	0.173687145113945	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	FLT	0.21528571844100952	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	FLT	0.15286578238010406	OSD-245		Female	C57BL/6NTac	Ribo-depletion
