FLT14_all,FLT14_and_GC8,FLT14_not_GC8,GC8_all,GC8_not_FLT14
,,,Dtwd1,Ms4a6c
,,,Epb41l4aos,Fdxacb1
,,,Matn2,Lcp2
,,,Sec61a2,Rassf4
,,,Qtrt2,Il1a
,,,A1bg,Myef2
,,,Lipo3,Cbwd1
,,,Car2,Lsm3
,,,Glmn,Tifa
,,,Crcp,Plin4
,,,Brip1,Alg13
,,,Cep97,Zfp963
,,,Gbp5,Tmem241
,,,Nup35,Me2
,,,Sucnr1,Zdhhc13
,,,Clec12a,Plekhm3
,,,Haus8,Vmn2r63
,,,Efnb2,Itpripl2
,,,Tmem106a,Thap1
,,,Hmgn2,Dpt
,,,Adamts5,Mphosph9
,,,Rbm41,Dph5
,,,Lacc1,Tbc1d4
,,,C8b,Nkrf
,,,Dlgap1,Mettl21a
,,,Blm,Tex10
,,,Rdh16f2,Gnpda2
,,,Nt5e,C2cd5
,,,Rrm2,Pdgfc
,,,Nedd9,E130307A14Rik
,,,Zfp810,Zfp280c
,,,Wdyhv1,Plscr4
,,,Lmo4,Rbm43
,,,Zfp58,Ocrl
,,,Suv39h1,Tspo
,,,Ccnyl1,AW146154
,,,Atg10,Iqcb1
,,,Fam111a,Rpia
,,,Abcd2,Trps1
,,,Cmpk2,Zfp595
,,,Cep70,Plagl2
,,,Eps8l2,Tmem47
,,,Mef2c,1110019D14Rik
,,,Xaf1,Ugt2b37
,,,Efna5,Otud1
,,,Abraxas1,Rnf144a
,,,Lilrb4a,Zfp965
,,,Cep192,Pop4
,,,Itga6,Cyp3a59
,,,Trp53inp1,Cmtr2
,,,B4galt5,Snhg5
,,,Vaultrc5,Osmr
,,,Fitm1,Gvin1
,,,Zfp2,Zxdb
,,,Cenpc1,Rexo5
,,,Slfn9,Vrk2
,,,Ms4a6c,Stambp
,,,Fdxacb1,1110038B12Rik
,,,Lcp2,Lama2
,,,Rassf4,Slfn2
,,,Il1a,Il1rn
,,,Myef2,Znhit6
,,,Cbwd1,Nudt16
,,,Lsm3,Rbm48
,,,Tifa,2310057M21Rik
,,,Plin4,Mest
,,,Alg13,Ift80
,,,Zfp963,Scfd2
,,,H4c3,Trmt12
,,,Tmem241,Fam47e
,,,Snord104,Pfdn4
,,,Mup15,Rpl13a
,,,Me2,Zfp433
,,,Zdhhc13,Ssbp2
,,,Plekhm3,Zfp954
,,,Vmn2r63,Cdkl2
,,,Itpripl2,Rilpl2
,,,Thap1,Sh3pxd2b
,,,Dpt,Ldb2
,,,Mphosph9,Zfp607a
,,,Dph5,Gja1
,,,Guk1,Shld1
,,,Etfbkmt,Sacs
,,,Tbc1d4,Fam135a
,,,Nkrf,Dimt1
,,,Mettl21a,Gm6710
,,,Tex10,Ifit3b
,,,Gnpda2,Tspan3
,,,C2cd5,Stxbp4
,,,Pdgfc,Myl12a
,,,E130307A14Rik,Cdk2
,,,Zfp280c,Naf1
,,,Plscr4,Pde4d
,,,Rbm43,Gorab
,,,Mup10,Zrsr2
,,,Ocrl,Tti2
,,,Tspo,Ranbp3l
,,,AW146154,Sla
,,,Iqcb1,Msmo1
,,,Rpia,Cep135
,,,Tmsb4x,Tmem185b
,,,Trps1,Olfr539
,,,Zfp595,Grk4
,,,Plagl2,Stmn1
,,,Tmem47,Phf7
,,,1110019D14Rik,Mir99ahg
,,,Ugt2b37,Rnf24
,,,Otud1,Trappc2
,,,Rnf144a,Fabp5
,,,Zfp965,Kitl
,,,Acot1,Pms1
,,,Pop4,Tipin
,,,Cyp3a59,Gmnn
,,,Cmtr2,Ccdc77
,,,Snhg5,Ggh
,,,Osmr,Dubr
,,,Gvin1,Lmbr1
,,,Zxdb,Gucy1a2
,,,Bid,Mllt3
,,,Rexo5,Ccr2
,,,Vrk2,Gng2
