gene	gene_cluster
ENSMUSG00000026766	0
ENSMUSG00000012520	9
ENSMUSG00000101655	9
ENSMUSG00000001155	12
ENSMUSG00000023092	7
ENSMUSG00000030607	4
ENSMUSG00000025949	8
ENSMUSG00000024182	11
ENSMUSG00000042750	5
ENSMUSG00000033033	1
ENSMUSG00000047669	9
ENSMUSG00000031168	0
ENSMUSG00000111564	10
ENSMUSG00000096009	2
ENSMUSG00000045438	1
ENSMUSG00000030002	8
ENSMUSG00000032594	6
ENSMUSG00000033214	5
ENSMUSG00000075269	3
ENSMUSG00000097756	3
ENSMUSG00000041642	7
ENSMUSG00000112880	9
ENSMUSG00000056832	9
ENSMUSG00000031616	4
ENSMUSG00000090291	1
ENSMUSG00000027233	3
ENSMUSG00000106053	3
ENSMUSG00000029408	4
ENSMUSG00000037331	6
ENSMUSG00000043687	9
ENSMUSG00000033902	0
ENSMUSG00000041248	0
ENSMUSG00000115236	2
ENSMUSG00000046062	8
ENSMUSG00000054619	6
ENSMUSG00000024563	8
ENSMUSG00000021362	3
ENSMUSG00000054679	9
ENSMUSG00000045678	4
ENSMUSG00000061601	5
ENSMUSG00000086628	3
ENSMUSG00000027962	14
ENSMUSG00000022132	0
ENSMUSG00000103906	9
ENSMUSG00000071424	5
ENSMUSG00000015968	13
ENSMUSG00000078625	10
ENSMUSG00000050198	10
ENSMUSG00000075220	2
ENSMUSG00000000171	6
ENSMUSG00000030785	7
ENSMUSG00000049823	9
ENSMUSG00000026134	1
ENSMUSG00000075095	2
ENSMUSG00000015247	1
ENSMUSG00000009614	12
ENSMUSG00000020402	6
ENSMUSG00000026220	1
ENSMUSG00000002014	0
ENSMUSG00000061979	4
ENSMUSG00000035235	1
ENSMUSG00000027801	4
ENSMUSG00000001323	0
ENSMUSG00000084174	7
ENSMUSG00000085794	1
ENSMUSG00000024780	8
ENSMUSG00000030107	1
ENSMUSG00000046351	0
ENSMUSG00000002984	11
ENSMUSG00000034659	0
ENSMUSG00000077092	2
ENSMUSG00000050215	2
ENSMUSG00000092673	2
ENSMUSG00000029772	7
ENSMUSG00000030619	11
ENSMUSG00000045854	4
ENSMUSG00000040022	5
ENSMUSG00000038047	1
ENSMUSG00000068506	2
ENSMUSG00000067767	10
ENSMUSG00000029564	10
ENSMUSG00000055298	7
ENSMUSG00000046913	10
ENSMUSG00000087115	10
ENSMUSG00000038155	13
ENSMUSG00000045917	4
ENSMUSG00000040855	5
ENSMUSG00000009549	6
ENSMUSG00000027715	0
ENSMUSG00000047030	11
ENSMUSG00000026034	8
ENSMUSG00000090141	3
ENSMUSG00000020419	9
ENSMUSG00000041741	0
ENSMUSG00000038949	8
ENSMUSG00000026701	7
ENSMUSG00000037944	1
ENSMUSG00000030970	0
ENSMUSG00000059077	4
ENSMUSG00000025270	7
ENSMUSG00000096351	0
ENSMUSG00000092111	4
ENSMUSG00000087480	3
ENSMUSG00000033149	0
ENSMUSG00000086219	9
ENSMUSG00000027074	0
ENSMUSG00000078753	2
ENSMUSG00000068173	3
ENSMUSG00000018740	13
ENSMUSG00000044317	9
ENSMUSG00000003549	4
ENSMUSG00000022982	6
ENSMUSG00000028862	13
ENSMUSG00000066030	4
ENSMUSG00000054459	5
ENSMUSG00000015947	9
ENSMUSG00000035764	5
ENSMUSG00000102099	10
ENSMUSG00000027555	1
ENSMUSG00000068246	1
ENSMUSG00000031786	1
ENSMUSG00000091155	3
ENSMUSG00000047544	2
ENSMUSG00000070780	0
ENSMUSG00000046300	10
ENSMUSG00000021376	0
ENSMUSG00000099968	10
ENSMUSG00000020974	4
ENSMUSG00000068742	5
ENSMUSG00000051051	3
ENSMUSG00000027306	0
ENSMUSG00000065508	2
ENSMUSG00000000167	3
ENSMUSG00000078619	8
ENSMUSG00000112937	3
ENSMUSG00000002603	14
ENSMUSG00000030111	0
ENSMUSG00000032988	9
ENSMUSG00000000567	0
ENSMUSG00000020299	10
ENSMUSG00000086823	3
ENSMUSG00000032511	0
ENSMUSG00000024427	1
ENSMUSG00000011148	0
ENSMUSG00000033027	10
ENSMUSG00000029136	3
ENSMUSG00000073907	3
ENSMUSG00000002820	11
ENSMUSG00000044167	14
ENSMUSG00000041750	3
ENSMUSG00000116848	10
ENSMUSG00000042498	9
ENSMUSG00000028718	4
ENSMUSG00000035547	0
ENSMUSG00000062873	2
ENSMUSG00000021482	0
ENSMUSG00000030805	11
ENSMUSG00000037994	4
ENSMUSG00000037788	0
ENSMUSG00000047720	2
ENSMUSG00000050334	5
ENSMUSG00000096697	2
ENSMUSG00000031628	0
ENSMUSG00000090219	9
ENSMUSG00000077191	2
ENSMUSG00000078672	7
ENSMUSG00000045968	3
ENSMUSG00000033767	14
ENSMUSG00000039199	13
ENSMUSG00000104401	10
ENSMUSG00000070943	2
ENSMUSG00000020654	0
ENSMUSG00000021693	8
ENSMUSG00000048772	4
ENSMUSG00000072704	5
ENSMUSG00000049421	8
ENSMUSG00000032396	13
ENSMUSG00000022346	14
ENSMUSG00000095312	2
ENSMUSG00000062960	6
ENSMUSG00000021381	10
ENSMUSG00000022155	3
ENSMUSG00000058407	8
ENSMUSG00000025077	1
ENSMUSG00000044243	10
ENSMUSG00000026626	6
ENSMUSG00000051497	0
ENSMUSG00000052384	14
ENSMUSG00000057110	14
ENSMUSG00000025920	5
ENSMUSG00000036091	3
ENSMUSG00000038583	7
ENSMUSG00000033106	1
ENSMUSG00000019877	5
ENSMUSG00000058028	10
ENSMUSG00000055820	10
ENSMUSG00000074259	13
ENSMUSG00000029201	6
ENSMUSG00000021572	4
ENSMUSG00000021070	4
ENSMUSG00000110253	2
ENSMUSG00000073002	13
ENSMUSG00000050677	3
ENSMUSG00000033436	5
ENSMUSG00000031982	9
ENSMUSG00000115609	10
ENSMUSG00000021728	8
ENSMUSG00000040856	0
ENSMUSG00000064899	4
ENSMUSG00000108827	1
ENSMUSG00000060030	2
ENSMUSG00000032033	4
ENSMUSG00000006998	6
ENSMUSG00000029463	1
ENSMUSG00000043831	4
ENSMUSG00000021241	13
ENSMUSG00000039518	0
ENSMUSG00000055811	2
ENSMUSG00000060044	4
ENSMUSG00000005882	6
ENSMUSG00000022853	0
ENSMUSG00000031511	6
ENSMUSG00000066262	3
ENSMUSG00000044816	1
ENSMUSG00000109058	3
ENSMUSG00000019194	5
ENSMUSG00000056296	5
ENSMUSG00000032269	9
ENSMUSG00000019791	13
ENSMUSG00000004542	0
ENSMUSG00000091183	9
ENSMUSG00000022151	13
ENSMUSG00000080115	3
ENSMUSG00000105279	2
ENSMUSG00000020218	4
ENSMUSG00000118298	9
ENSMUSG00000053334	4
ENSMUSG00000019320	4
ENSMUSG00000056724	14
ENSMUSG00000088524	2
ENSMUSG00000029810	6
ENSMUSG00000063919	13
ENSMUSG00000006362	14
ENSMUSG00000042377	0
ENSMUSG00000055301	0
ENSMUSG00000024018	1
ENSMUSG00000057406	8
ENSMUSG00000030493	9
ENSMUSG00000099435	2
ENSMUSG00000115304	2
ENSMUSG00000028098	0
ENSMUSG00000074676	3
ENSMUSG00000033623	8
ENSMUSG00000078878	1
ENSMUSG00000020573	14
ENSMUSG00000118669	11
ENSMUSG00000024650	0
ENSMUSG00000020053	12
ENSMUSG00000036208	4
ENSMUSG00000005886	8
ENSMUSG00000097908	9
ENSMUSG00000046846	10
ENSMUSG00000053687	3
ENSMUSG00000042801	3
ENSMUSG00000037134	1
ENSMUSG00000008604	0
ENSMUSG00000020463	8
ENSMUSG00000028670	11
ENSMUSG00000021622	7
ENSMUSG00000041841	7
ENSMUSG00000019189	8
ENSMUSG00000059301	4
ENSMUSG00000020477	1
ENSMUSG00000015757	8
ENSMUSG00000025004	12
ENSMUSG00000047888	7
ENSMUSG00000020628	11
ENSMUSG00000022965	6
ENSMUSG00000027203	0
ENSMUSG00000057465	7
ENSMUSG00000037426	11
ENSMUSG00000097652	1
ENSMUSG00000030282	6
ENSMUSG00000019464	4
ENSMUSG00000026356	8
ENSMUSG00000065570	2
ENSMUSG00000052180	3
ENSMUSG00000053178	3
ENSMUSG00000053388	3
ENSMUSG00000033053	3
ENSMUSG00000027481	10
ENSMUSG00000041415	8
ENSMUSG00000117146	10
ENSMUSG00000110281	10
ENSMUSG00000025207	0
ENSMUSG00000007216	9
ENSMUSG00000022503	1
ENSMUSG00000027246	4
ENSMUSG00000027660	8
ENSMUSG00000020682	4
ENSMUSG00000003518	6
ENSMUSG00000025329	4
ENSMUSG00000087152	2
ENSMUSG00000032259	1
ENSMUSG00000105196	2
ENSMUSG00000039716	5
ENSMUSG00000074555	2
ENSMUSG00000065432	2
ENSMUSG00000005267	4
ENSMUSG00000021997	10
ENSMUSG00000023066	0
ENSMUSG00000074250	10
ENSMUSG00000054827	12
ENSMUSG00000061353	6
ENSMUSG00000073897	10
ENSMUSG00000061815	3
ENSMUSG00000022199	5
ENSMUSG00000038777	4
ENSMUSG00000029501	8
ENSMUSG00000117328	10
ENSMUSG00000024225	0
ENSMUSG00000079055	5
ENSMUSG00000075272	2
ENSMUSG00000027678	8
ENSMUSG00000024812	0
ENSMUSG00000027857	3
ENSMUSG00000021876	7
ENSMUSG00000078520	2
ENSMUSG00000061306	6
ENSMUSG00000059263	6
ENSMUSG00000027808	6
ENSMUSG00000030214	14
ENSMUSG00000076432	5
ENSMUSG00000085972	3
ENSMUSG00000058628	2
ENSMUSG00000077192	3
ENSMUSG00000029445	7
ENSMUSG00000020982	8
ENSMUSG00000063240	3
ENSMUSG00000062101	9
ENSMUSG00000030930	14
ENSMUSG00000022218	13
ENSMUSG00000041959	6
ENSMUSG00000099139	10
ENSMUSG00000033498	3
ENSMUSG00000094985	9
ENSMUSG00000019254	11
ENSMUSG00000024026	6
ENSMUSG00000046589	4
ENSMUSG00000054690	0
ENSMUSG00000028907	1
ENSMUSG00000049300	4
ENSMUSG00000096965	3
ENSMUSG00000033845	0
ENSMUSG00000054435	14
ENSMUSG00000032966	0
ENSMUSG00000096537	2
ENSMUSG00000049482	1
ENSMUSG00000086843	3
ENSMUSG00000069072	5
ENSMUSG00000087264	2
ENSMUSG00000090958	4
ENSMUSG00000029646	0
ENSMUSG00000025762	0
ENSMUSG00000024270	11
ENSMUSG00000028360	9
ENSMUSG00000054191	4
ENSMUSG00000036928	1
ENSMUSG00000091435	2
ENSMUSG00000031681	0
ENSMUSG00000030954	13
ENSMUSG00000026504	13
ENSMUSG00000024622	11
ENSMUSG00000094898	9
ENSMUSG00000023094	4
ENSMUSG00000034271	4
ENSMUSG00000035027	11
ENSMUSG00000091490	3
ENSMUSG00000050567	11
ENSMUSG00000075133	3
ENSMUSG00000098134	4
ENSMUSG00000039153	4
ENSMUSG00000028430	11
