gene_cluster	tissue_inferred	n_paired_strata	mean_log2_flight_ground_ratio	median_log2_flight_ground_ratio	mean_flight_minus_ground	positive_strata	negative_strata	wilcoxon_p_value	sign_test_p_value	wilcoxon_fdr_bh	sign_test_fdr_bh
10	eye	2	-0.0013999715447425842	-0.0013999715447425842	-0.2394728660583496	1	1				
10	heart	2	0.36847125296480954	0.36847125296480954	1.0676862001419067	2	0				
10	hippocampus	2	0.233039241284132	0.233039241284132	1.596379280090332	2	0				
10	kidney	5	-0.1028204906731844	0.02865663170814514	-1.3972901105880737	3	2	0.8125	1.0	1.0	1.0
10	liver	10	0.031481987331062555	-0.01998172653838992	0.42493686079978943	5	5	0.921875	1.0	1.0	1.0
10	lung	3	0.0012329208354155223	0.011483889073133469	-0.09235159307718277	2	1	1.0	1.0	1.0	1.0
10	mammary_gland	1	0.016692349687218666	0.016692349687218666	0.09927845001220703	1	0				
10	retina	1	0.11661381274461746	0.11661381274461746	1.4953632354736328	1	0				
10	skeletal_muscle	10	0.075470419973135	0.03563115559518337	0.4401688575744629	7	3	0.083984375	0.34375	0.8998325892857143	1.0
10	skin	6	-0.008200579206459224	0.011331384885124862	-0.06430593878030777	4	2	0.6875	0.6875	1.0	1.0
10	spleen	5	-0.02326498497277498	-0.030195442959666252	0.06838886439800262	2	3	0.625	1.0	1.0	1.0
10	thymus	4	-0.009020688943564892	0.003655368462204933	1.1818656921386719	2	2	1.0	1.0	1.0	1.0
11	adrenal_gland	3	0.031454787900050483	-0.04060008004307747	52.02473831176758	1	2	1.0	1.0	1.0	1.0
11	brain	3	-0.15923288216193518	-0.0967140719294548	-158.5454864501953	1	2	0.75	1.0	1.0	1.0
11	cecum	1	1.0546140670776367	1.0546140670776367	349.6455383300781	1	0				
11	cerebellum	3	0.10584862530231476	0.06313418596982956	69.81219482421875	2	1	0.75	1.0	1.0	1.0
11	colon	2	0.05342388013377786	0.05342388013377786	59.16033935546875	1	1				
11	eye	2	-0.026068121194839478	-0.026068121194839478	-69.36083984375	1	1				
11	heart	2	0.40058047603815794	0.40058047603815794	409.4031982421875	1	1				
11	hippocampus	2	0.49277716130018234	0.49277716130018234	446.3275451660156	2	0				
11	kidney	5	0.10574432313442231	0.04313511401414871	130.21214294433594	4	1	0.1875	0.375	0.9375	1.0
11	liver	10	-0.11379322968423367	-0.10578710958361626	-56.98974609375	3	7	0.10546875	0.34375	0.9375	1.0
11	lung	3	-0.04401427383224169	-0.033238984644412994	-62.94755172729492	0	3	0.25	0.25	0.9375	1.0
11	mammary_gland	1	0.366281658411026	0.366281658411026	424.5709228515625	1	0				
11	retina	1	-0.06604151427745819	-0.06604151427745819	-143.59326171875	0	1				
11	skeletal_muscle	10	-0.03698046635836363	-0.0315341092646122	-41.603843688964844	4	6	0.6953125	0.75390625	1.0	1.0
11	skin	6	-0.04581388831138611	-0.04155980236828327	-49.40919876098633	2	4	0.5625	0.6875	1.0	1.0
11	spleen	5	0.04412476876750589	-0.004143934231251478	60.20380401611328	2	3	0.8125	1.0	1.0	1.0
11	thymus	4	-0.6708533652126789	-0.47000163048505783	-289.5914306640625	1	3	0.375	0.625	1.0	1.0
12	adrenal_gland	3	-0.03494058921933174	-0.03195851668715477	197.5988311767578	1	2	0.75	1.0	1.0	1.0
12	brain	3	-0.15033539881308874	-0.11131378263235092	-35.92843246459961	1	2	0.75	1.0	1.0	1.0
12	cecum	1	1.1977453231811523	1.1977453231811523	153.29942321777344	1	0				
12	cerebellum	3	0.06963783130049706	0.042109716683626175	9.184391975402832	2	1	0.75	1.0	1.0	1.0
12	colon	2	0.05684526637196541	0.05684526637196541	9.066116333007812	1	1				
12	eye	2	0.16588311921805143	0.16588311921805143	107.70681762695312	1	1				
12	heart	2	0.4228740865364671	0.4228740865364671	98.52496337890625	1	1				
12	hippocampus	2	0.394163403660059	0.394163403660059	101.4151611328125	2	0				
12	kidney	5	0.08872238453477621	0.08743920922279358	91.77315521240234	5	0	0.0625	0.0625	0.7436899038461539	1.0
12	liver	10	-0.10530663654208183	-0.06366852857172489	-1595.621826171875	2	8	0.10546875	0.109375	0.9375	1.0
12	lung	3	0.019105518857638042	0.07062772661447525	14.786030769348145	2	1	1.0	1.0	1.0	1.0
12	mammary_gland	1	0.49370864033699036	0.49370864033699036	338.32318115234375	1	0				
12	retina	1	-0.08374539017677307	-0.08374539017677307	-23.945098876953125	0	1				
12	skeletal_muscle	10	0.08408992215991021	0.056394023820757866	19.685916900634766	7	3	0.064453125	0.34375	0.7436899038461539	1.0
12	skin	6	-0.012071194282422463	-0.027429974172264338	-0.7715962529182434	2	4	0.84375	0.6875	1.0	1.0
12	spleen	5	0.035104713216423986	-0.020735135301947594	10.094175338745117	2	3	0.8125	1.0	1.0	1.0
12	thymus	4	0.20572085678577423	0.3481728136539459	218.67758178710938	3	1	0.625	0.625	1.0	1.0
13	adrenal_gland	3	0.03263286625345548	-0.025338947772979736	19.37410545349121	1	2	1.0	1.0	1.0	1.0
13	brain	3	-0.18831798185904822	-0.09684520214796066	-100.1585693359375	1	2	0.75	1.0	1.0	1.0
13	cecum	1	1.0678437948226929	1.0678437948226929	180.4400634765625	1	0				
13	cerebellum	3	0.1071736713250478	0.07029213011264801	40.3303337097168	2	1	0.5	1.0	1.0	1.0
13	colon	2	0.047700476832687855	0.047700476832687855	23.231353759765625	1	1				
13	eye	2	0.008536698296666145	0.008536698296666145	-4.33905029296875	1	1				
13	heart	2	0.40155334025621414	0.40155334025621414	249.39834594726562	1	1				
13	hippocampus	2	0.406865730881691	0.406865730881691	200.6580810546875	2	0				
13	kidney	5	0.08221169374883175	0.05455679073929787	57.927452087402344	5	0	0.0625	0.0625	0.7436899038461539	1.0
13	liver	10	-0.09495255765505135	-0.05993152596056461	-37.1309928894043	1	9	0.02734375	0.021484375	0.7436899038461539	0.8056640625
13	lung	3	-0.03703443302462498	-0.043877437710762024	-34.232421875	0	3	0.25	0.25	0.9375	1.0
13	mammary_gland	1	0.41349661350250244	0.41349661350250244	275.81903076171875	1	0				
13	retina	1	-0.0937347337603569	-0.0937347337603569	-93.348388671875	0	1				
13	skeletal_muscle	10	-0.021974171930924057	-0.010932289296761155	-14.001428604125977	5	5	0.76953125	1.0	1.0	1.0
13	skin	6	-0.02434140567978223	-0.04263478145003319	-15.394673347473145	2	4	0.5625	0.6875	1.0	1.0
13	spleen	5	0.019461657479405405	-0.019174976274371147	16.858844757080078	2	3	1.0	1.0	1.0	1.0
13	thymus	4	-0.48634279519319534	-0.2745373547077179	-49.240257263183594	1	3	0.625	0.625	1.0	1.0
14	adrenal_gland	3	-0.048880428075790405	-0.10702063143253326	-72.31502532958984	1	2	0.75	1.0	1.0	1.0
14	brain	3	-0.12450503557920456	-0.0950302854180336	-52.51271438598633	1	2	0.75	1.0	1.0	1.0
14	cecum	1	0.48292598128318787	0.48292598128318787	158.23486328125	1	0				
14	cerebellum	3	0.09581304776171844	0.0381607785820961	25.923370361328125	2	1	0.5	1.0	1.0	1.0
14	colon	2	-0.041369931772351265	-0.041369931772351265	-52.30291748046875	1	1				
14	eye	2	-0.023297686129808426	-0.023297686129808426	-39.204864501953125	1	1				
14	heart	2	0.3766473028808832	0.3766473028808832	205.15090942382812	1	1				
14	hippocampus	2	0.4423392713069916	0.4423392713069916	171.6343994140625	2	0				
14	kidney	5	0.10599430408328772	0.06524535268545151	74.11189270019531	5	0	0.0625	0.0625	0.7436899038461539	1.0
14	liver	10	-0.20808483771979808	-0.18366911262273788	-82.09857177734375	1	9	0.013671875	0.021484375	0.7436899038461539	0.8056640625
14	lung	3	-0.1084502711892128	-0.0752192959189415	-188.9541778564453	0	3	0.25	0.25	0.9375	1.0
14	mammary_gland	1	0.30286145210266113	0.30286145210266113	397.6051025390625	1	0				
14	retina	1	-0.02645966224372387	-0.02645966224372387	-20.45556640625	0	1				
14	skeletal_muscle	10	-0.01752305617555976	-0.017134992871433496	-10.703068733215332	4	6	0.76953125	0.75390625	1.0	1.0
14	skin	6	0.021880770102143288	0.007334088906645775	21.13201904296875	3	3	0.6875	1.0	1.0	1.0
14	spleen	5	-0.0370231845008675	-0.03988517448306084	-18.02838134765625	1	4	0.3125	0.375	1.0	1.0
14	thymus	4	-0.46310561895370483	-0.33611154556274414	-209.82369995117188	2	2	0.625	1.0	1.0	1.0
