gene_cluster	n_genes	id.accession	tissue_inferred	flight	ground_control	n_flight_samples	n_ground_samples	flight_minus_ground	log2_flight_ground_ratio
2	1954	OSD-240	skin	1.137001	1.1661719	10	10	-0.02917087	-0.019560194
2	1954	OSD-241	skin	1.1642785	1.2684749	9	10	-0.10419643	-0.06783662
2	1954	OSD-242	liver	0.34370524	0.42553735	5	4	-0.08183211	-0.08528924
2	1954	OSD-243	skin	1.4189128	1.4324462	18	19	-0.013533473	-0.008049101
2	1954	OSD-244	thymus	1.593654	1.4631795	19	19	0.13047457	0.07446424
2	1954	OSD-245	liver	0.72927326	0.6359694	20	19	0.09330386	0.080020174
2	1954	OSD-246	spleen	2.107199	1.6672211	15	16	0.43997788	0.2202772
2	1954	OSD-247	colon	1.0852772	1.031188	19	17	0.05408919	0.037915383
2	1954	OSD-248	lung	1.591172	1.4745193	20	19	0.11665273	0.06645648
2	1954	OSD-253	kidney	0.6744115	0.63052845	20	19	0.043883026	0.03831453
2	1954	OSD-254	skin	1.2222109	1.2185005	20	20	0.0037103891	0.0024107294
2	1954	OSD-270	heart	0.55680656	0.26612076	3	2	0.2906858	0.29817462
2	1954	OSD-288	spleen	0.31431252	0.34169224	6	3	-0.027379721	-0.029745486
2	1954	OSD-289	thymus	0.28036508	0.2830092	12	6	-0.0026441216	-0.0029762178
2	1954	OSD-352	brain	1.3125213	1.1903787	3	3	0.12214267	0.078286506
2	1954	OSD-379	liver	0.3868548	0.4210557	35	35	-0.034200907	-0.035146404
2	1954	OSD-419	skeletal_muscle	0.27725178	0.19466479	4	8	0.08258699	0.09643689
2	1954	OSD-420	spleen	0.1069089	0.12200614	10	10	-0.015097238	-0.019544069
2	1954	OSD-421	thymus	0.1383828	0.22175026	10	10	-0.08336745	-0.10196368
2	1954	OSD-463	liver	0.64559877	0.67871034	12	10	-0.033111572	-0.028740725
2	1954	OSD-464	lung	2.0727737	2.3532925	10	9	-0.28051877	-0.12603676
2	1954	OSD-47	liver	0.30951893	0.49249402	5	3	-0.18297508	-0.18868822
2	1954	OSD-48	liver	0.21808743	0.24104401	7	7	-0.02295658	-0.02693663
2	1954	OSD-506	spleen	1.9762311	1.8737462	9	10	0.10248494	0.05055398
2	1954	OSD-511	mammary_gland	0.7314227	0.6834527	10	15	0.047969997	0.040534716
2	1954	OSD-512	adrenal_gland	0.84913	0.89068574	10	10	-0.041555762	-0.032063052
2	1954	OSD-513	kidney	0.5906857	0.55634594	10	10	0.034339786	0.031486
2	1954	OSD-515	thymus	2.9786592	1.2307575	10	10	1.7479017	0.83474857
2	1954	OSD-525	cerebellum	1.134954	1.0550665	10	10	0.07988751	0.0550199
2	1954	OSD-561	cerebellum	0.83656234	0.82194644	14	12	0.014615893	0.011527397
2	1954	OSD-562	hippocampus	0.86240196	0.8336745	15	12	0.028727472	0.02242691
2	1954	OSD-563	cerebellum	1.5078813	1.3897645	5	5	0.11811674	0.069600545
2	1954	OSD-564	hippocampus	1.6839304	1.2631525	5	5	0.42077792	0.24601336
2	1954	OSD-576	skeletal_muscle	1.1486979	1.2221084	9	9	-0.07341051	-0.04846653
2	1954	OSD-580	heart	0.7148925	0.70759976	20	20	0.0072927475	0.006148331
2	1954	OSD-612	brain	1.3249744	1.6330605	4	5	-0.30808604	-0.17952573
2	1954	OSD-613	brain	1.6985102	1.5643694	9	9	0.13414073	0.07355894
2	1954	OSD-665	skeletal_muscle	1.4130502	1.4888946	10	10	-0.07584441	-0.044647098
2	1954	OSD-666	skeletal_muscle	1.1938076	1.3674514	10	10	-0.17364383	-0.10989783
2	1954	OSD-667	colon	1.1603549	1.2015865	9	10	-0.041231632	-0.027275203
2	1954	OSD-770	skeletal_muscle	2.9542477	2.4331117	10	10	0.52113605	0.20388654
2	1954	OSD-771	kidney	0.95081884	0.98354656	20	20	-0.03272772	-0.024002425
2	1954	OSD-899	cecum	1.3884339	0.82287616	10	10	0.5655578	0.38984832
2	1954	OSD-900	lung	1.4702661	1.4403788	10	10	0.029887319	0.01756149
2	1954	OSD-98	adrenal_gland	0.7761856	0.6851586	6	5	0.09102696	0.0758979
2	1954	OSD-99	skeletal_muscle	1.1331457	1.090754	6	6	0.042391658	0.028959237
3	1721	OSD-100	eye	68.335655	64.34244	6	6	3.9932175	0.08557717
3	1721	OSD-101	skeletal_muscle	100.50049	101.35502	6	6	-0.85453033	-0.012095193
3	1721	OSD-102	kidney	39.33043	37.489635	6	6	1.8407936	0.06739874
3	1721	OSD-103	skeletal_muscle	51.296535	48.812027	6	6	2.4845085	0.0702212
3	1721	OSD-104	skeletal_muscle	49.468815	57.119213	6	6	-7.6503983	-0.20362297
3	1721	OSD-105	skeletal_muscle	67.25722	64.695526	6	6	2.5616913	0.05518643
3	1721	OSD-137	liver	39.211407	47.006393	6	6	-7.7949867	-0.2556217
3	1721	OSD-161	adrenal_gland	59.333992	60.789772	5	5	-1.45578	-0.034397032
3	1721	OSD-162	eye	100.63335	105.74933	5	5	-5.115982	-0.07085313
3	1721	OSD-163	kidney	64.69272	81.14943	6	6	-16.45671	-0.32251713
3	1721	OSD-164	liver	12.802441	14.376526	1	3	-1.5740852	-0.15580618
3	1721	OSD-164	spleen	20.232424	19.280457	3	3	0.95196724	0.06617889
3	1721	OSD-168	liver	71.12804	57.402466	14	14	13.725571	0.30453083
3	1721	OSD-173	liver	23.022953	25.117374	2	2	-2.0944214	-0.12059633
3	1721	OSD-194	retina	97.854965	92.590065	5	4	5.2649	0.07895798
3	1721	OSD-238	skin	66.870766	68.098	12	6	-1.2272339	-0.025853626
3	1721	OSD-239	skin	71.34699	67.43928	11	6	3.9077148	0.08010852
3	1721	OSD-240	skin	69.90575	73.499245	10	10	-3.5934982	-0.07132323
3	1721	OSD-241	skin	70.62948	74.79378	9	10	-4.164299	-0.08152597
3	1721	OSD-242	liver	29.062174	32.79779	5	4	-3.7356167	-0.16897957
3	1721	OSD-243	skin	97.97114	96.135635	18	19	1.8355026	0.027007286
3	1721	OSD-244	thymus	83.55889	77.486595	19	19	6.072296	0.10751019
3	1721	OSD-245	liver	50.32522	45.696747	20	19	4.6284714	0.1363458
3	1721	OSD-246	spleen	93.432465	96.27132	15	16	-2.838852	-0.042731512
3	1721	OSD-247	colon	55.91428	56.40216	19	17	-0.4878807	-0.012314339
3	1721	OSD-248	lung	92.27801	86.35912	20	19	5.9188843	0.094578534
3	1721	OSD-253	kidney	39.134804	35.690144	20	19	3.4446602	0.12946132
3	1721	OSD-254	skin	80.978096	81.91212	20	20	-0.934021	-0.01634451
3	1721	OSD-270	heart	39.29595	21.569435	3	2	17.726517	0.8362646
3	1721	OSD-288	spleen	20.075247	21.831106	6	3	-1.7558594	-0.11545122
3	1721	OSD-289	thymus	14.245933	14.063141	12	6	0.18279171	0.017401773
3	1721	OSD-352	brain	36.965137	38.933956	3	3	-1.9688187	-0.07294076
3	1721	OSD-379	liver	28.785906	30.502964	35	35	-1.7170582	-0.08085771
3	1721	OSD-419	skeletal_muscle	12.542998	10.789584	4	8	1.7534142	0.20003441
3	1721	OSD-420	spleen	11.002266	11.822778	10	10	-0.8205118	-0.09540203
3	1721	OSD-421	thymus	5.87147	14.243174	10	10	-8.371704	-1.1494726
3	1721	OSD-463	liver	51.23935	51.05195	12	10	0.18740082	0.0051847207
3	1721	OSD-464	lung	110.62423	118.66105	10	9	-8.036819	-0.100303434
3	1721	OSD-47	liver	18.19535	22.854544	5	3	-4.659193	-0.31350717
3	1721	OSD-48	liver	18.78061	21.367725	7	7	-2.5871162	-0.17733173
3	1721	OSD-506	spleen	84.88302	74.76078	9	10	10.122238	0.18092167
3	1721	OSD-511	mammary_gland	49.19471	44.162617	10	15	5.032093	0.15240632
3	1721	OSD-512	adrenal_gland	45.752235	47.844685	10	10	-2.0924492	-0.06316619
3	1721	OSD-513	kidney	29.753632	31.062	10	10	-1.3083687	-0.060107697
3	1721	OSD-515	thymus	75.55253	61.04085	10	10	14.511677	0.30323157
3	1721	OSD-525	cerebellum	42.2552	41.161827	10	10	1.0933723	0.03693622
3	1721	OSD-561	cerebellum	24.926868	23.537962	14	12	1.3889065	0.07943253
3	1721	OSD-562	hippocampus	25.184078	23.92911	15	12	1.2549686	0.070858456
3	1721	OSD-563	cerebellum	43.444393	41.372227	5	5	2.0721664	0.06888256
3	1721	OSD-564	hippocampus	51.28739	35.630215	5	5	15.657177	0.5134289
3	1721	OSD-576	skeletal_muscle	63.878494	59.5143	9	9	4.364193	0.10046424
3	1721	OSD-580	heart	30.009647	30.968943	20	20	-0.9592953	-0.043953944
3	1721	OSD-612	brain	41.751453	53.064613	4	5	-11.31316	-0.33871117
3	1721	OSD-613	brain	56.70237	45.21906	9	9	11.483311	0.32014263
3	1721	OSD-665	skeletal_muscle	65.67931	66.25596	10	10	-0.5766449	-0.012422841
3	1721	OSD-666	skeletal_muscle	62.607147	60.83376	10	10	1.7733879	0.040794216
3	1721	OSD-667	colon	60.85028	65.06932	9	10	-4.21904	-0.0952004
3	1721	OSD-770	skeletal_muscle	74.68989	67.05939	10	10	7.630501	0.15330648
3	1721	OSD-771	kidney	44.950172	44.93309	20	20	0.017082214	0.0005364861
3	1721	OSD-899	cecum	32.11871	18.125101	10	10	13.993608	0.79217905
3	1721	OSD-900	lung	85.242935	86.87844	10	10	-1.6355057	-0.027103014
3	1721	OSD-98	adrenal_gland	38.210926	34.78989	6	5	3.4210358	0.1317036
3	1721	OSD-99	skeletal_muscle	66.42863	63.277454	6	6	3.1511726	0.06904849
4	2310	OSD-100	eye	472.964	441.92416	6	6	31.039825	0.09771775
4	2310	OSD-101	skeletal_muscle	295.3875	300.14804	6	6	-4.7605286	-0.022988198
4	2310	OSD-102	kidney	301.7171	291.87704	6	6	9.840057	0.047675107
4	2310	OSD-103	skeletal_muscle	268.11594	274.8583	6	6	-6.7423706	-0.03569959
4	2310	OSD-104	skeletal_muscle	279.1769	298.11334	6	6	-18.936432	-0.094354175
4	2310	OSD-105	skeletal_muscle	311.0101	297.90714	6	6	13.102966	0.06189539
4	2310	OSD-137	liver	252.16191	305.3519	6	6	-53.189987	-0.27512938
4	2310	OSD-161	adrenal_gland	641.9608	664.4818	5	5	-22.520996	-0.04966846
4	2310	OSD-162	eye	717.17126	768.6103	5	5	-51.439026	-0.09980012
4	2310	OSD-163	kidney	483.61972	454.19186	6	6	29.427856	0.09037834
4	2310	OSD-164	liver	115.114716	116.35238	1	3	-1.2376633	-0.015296281
4	2310	OSD-164	spleen	200.34169	196.43117	3	3	3.9105225	0.028296119
4	2310	OSD-168	liver	351.13058	360.28183	14	14	-9.151245	-0.03701418
4	2310	OSD-173	liver	161.87013	179.72684	2	2	-17.856705	-0.15008871
4	2310	OSD-194	retina	682.4591	720.11255	5	4	-37.653442	-0.077369414
4	2310	OSD-238	skin	373.4222	388.38565	12	6	-14.96344	-0.05653367
4	2310	OSD-239	skin	408.89005	375.23425	11	6	33.655792	0.12360583
4	2310	OSD-240	skin	396.7631	430.4339	10	10	-33.670807	-0.117230095
4	2310	OSD-241	skin	428.81262	422.30402	9	10	6.508606	0.022013687
4	2310	OSD-242	liver	176.71593	178.49362	5	4	-1.7776947	-0.014359632
4	2310	OSD-243	skin	444.01404	470.1069	18	19	-26.092865	-0.08220364
4	2310	OSD-244	thymus	400.73672	327.15918	19	19	73.577545	0.2918546
4	2310	OSD-245	liver	288.65067	265.7851	20	19	22.86557	0.118635856
4	2310	OSD-246	spleen	400.86887	412.125	15	16	-11.256134	-0.03985353
4	2310	OSD-247	colon	428.52365	438.5595	19	17	-10.035858	-0.03332091
4	2310	OSD-248	lung	407.9962	407.2583	20	19	0.7378845	0.0026052473
4	2310	OSD-253	kidney	384.742	345.25858	20	19	39.48343	0.1557864
4	2310	OSD-254	skin	374.4136	407.86578	20	20	-33.45218	-0.12314642
4	2310	OSD-270	heart	427.48947	243.55194	3	2	183.93753	0.80911887
4	2310	OSD-288	spleen	102.899864	110.424965	6	3	-7.5251007	-0.10087877
4	2310	OSD-289	thymus	74.818214	77.84985	12	6	-3.031639	-0.056563627
4	2310	OSD-352	brain	286.97476	306.61557	3	3	-19.640808	-0.09518616
4	2310	OSD-379	liver	188.29395	189.03232	35	35	-0.7383728	-0.005616521
4	2310	OSD-419	skeletal_muscle	80.993835	70.24421	4	8	10.749626	0.20274262
4	2310	OSD-420	spleen	63.674847	67.467186	10	10	-3.7923393	-0.08220792
4	2310	OSD-421	thymus	32.80576	110.51918	10	10	-77.713425	-1.7219509
4	2310	OSD-463	liver	330.56894	345.46466	12	10	-14.895721	-0.06339935
4	2310	OSD-464	lung	515.5578	548.024	10	9	-32.466187	-0.08793939
4	2310	OSD-47	liver	148.37897	186.66899	5	3	-38.290024	-0.32921323
4	2310	OSD-48	liver	150.49734	163.37682	7	7	-12.879471	-0.117714345
4	2310	OSD-506	spleen	335.45514	303.85443	9	10	31.600708	0.1422936
4	2310	OSD-511	mammary_gland	391.80142	301.2651	10	15	90.536316	0.37798575
4	2310	OSD-512	adrenal_gland	503.50497	516.8499	10	10	-13.34494	-0.03766552
4	2310	OSD-513	kidney	222.36987	218.32211	10	10	4.04776	0.02638329
4	2310	OSD-515	thymus	298.17368	386.32022	10	10	-88.146545	-0.3725436
4	2310	OSD-525	cerebellum	340.57538	346.09763	10	10	-5.5222473	-0.023137525
4	2310	OSD-561	cerebellum	238.3038	201.87158	14	12	36.43222	0.23827659
4	2310	OSD-562	hippocampus	225.70314	206.6411	15	12	19.062042	0.12671235
4	2310	OSD-563	cerebellum	395.30026	369.75568	5	5	25.544586	0.0961251
4	2310	OSD-564	hippocampus	444.69342	284.72504	5	5	159.96838	0.64142424
4	2310	OSD-576	skeletal_muscle	343.7442	332.72955	9	9	11.014648	0.046846904
4	2310	OSD-580	heart	276.568	285.36353	20	20	-8.795532	-0.045006532
4	2310	OSD-612	brain	318.53625	517.42395	4	5	-198.8877	-0.6981527
4	2310	OSD-613	brain	543.8864	444.59003	9	9	99.29639	0.29023856
4	2310	OSD-665	skeletal_muscle	297.1618	311.65375	10	10	-14.491943	-0.06847038
4	2310	OSD-666	skeletal_muscle	322.19434	343.11356	10	10	-20.91922	-0.0904828
4	2310	OSD-667	colon	359.27942	343.12836	9	10	16.151062	0.06616952
4	2310	OSD-770	skeletal_muscle	191.6752	231.15024	10	10	-39.475037	-0.26888785
4	2310	OSD-771	kidney	399.37042	392.6733	20	20	6.697113	0.024336534
4	2310	OSD-899	cecum	160.18286	78.62502	10	10	81.55784	1.0174044
4	2310	OSD-900	lung	463.64276	477.9467	10	10	-14.303925	-0.043743145
4	2310	OSD-98	adrenal_gland	429.63876	379.93472	6	5	49.70404	0.17693432
4	2310	OSD-99	skeletal_muscle	409.59192	415.45566	6	6	-5.863739	-0.020457665
5	1347	OSD-100	eye	4049.1428	3699.504	6	6	349.63892	0.13025099
5	1347	OSD-101	skeletal_muscle	1331.7178	1382.0137	6	6	-50.2959	-0.053444114
5	1347	OSD-102	kidney	1198.0249	1157.7266	6	6	40.29834	0.04932145
5	1347	OSD-103	skeletal_muscle	1268.4258	1366.9884	6	6	-98.56262	-0.10787997
5	1347	OSD-104	skeletal_muscle	1686.1459	1919.7632	6	6	-233.61731	-0.18709493
