profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	dataset.study person.first name	dataset.study person.last name	dataset.study person.middle initials	dataset.study publication author list	id.accession_sample name	id.assay name	id.sample name	investigation.study.comment.data source accession	investigation.study.comment.doi	investigation.study.comment.project identifier	study.characteristics.organism	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence
SRR10011583	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011583	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011583	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H4	unknown	unknown	unknown		unassigned
SRR10011584	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011584	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011584	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H7	unknown	unknown	unknown		unassigned
SRR10011585	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011585	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011585	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H8	unknown	unknown	unknown		unassigned
SRR10011586	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011586	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011586	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H9	unknown	unknown	unknown		unassigned
SRR10011587	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011587	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011587	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H11	unknown	unknown	unknown		unassigned
SRR10011588	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011588	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011588	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H12	unknown	unknown	unknown		unassigned
SRR10011589	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011589	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011589	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H13	unknown	unknown	unknown		unassigned
SRR10011590	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011590	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011590	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H16	unknown	unknown	unknown		unassigned
SRR10011591	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011591	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011591	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H17	unknown	unknown	unknown		unassigned
SRR10011592	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011592	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011592	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H18	unknown	unknown	unknown		unassigned
SRR10011593	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011593	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011593	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H21	unknown	unknown	unknown		unassigned
SRR10011594	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011594	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011594	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H22	unknown	unknown	unknown		unassigned
SRR10011595	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011595	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011595	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	H23	unknown	unknown	unknown		unassigned
SRR10011596	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011596	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011596	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K2	unknown	unknown	unknown		unassigned
SRR10011597	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011597	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011597	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K3	unknown	unknown	unknown		unassigned
SRR10011598	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011598	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011598	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K4	unknown	unknown	unknown		unassigned
SRR10011599	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011599	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011599	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K6	unknown	unknown	unknown		unassigned
SRR10011600	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011600	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011600	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K7	unknown	unknown	unknown		unassigned
SRR10011601	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011601	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011601	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K8	unknown	unknown	unknown		unassigned
SRR10011602	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011602	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011602	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K12	unknown	unknown	unknown		unassigned
SRR10011603	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011603	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011603	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K13	unknown	unknown	unknown		unassigned
SRR10011604	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011604	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011604	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K14	unknown	unknown	unknown		unassigned
SRR10011605	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011605	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011605	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K16	unknown	unknown	unknown		unassigned
SRR10011606	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011606	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011606	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K17	unknown	unknown	unknown		unassigned
SRR10011607	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011607	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011607	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K28	unknown	unknown	unknown		unassigned
SRR10011608	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011608	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011608	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K23	unknown	unknown	unknown		unassigned
SRR10011609	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011609	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011609	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K24	unknown	unknown	unknown		unassigned
SRR10011610	OSD-294	Ground Study	RNA Sequencing (RNA-Seq)	Anna M. Mark R	Nia Emmett	M	"[""Anna M. Nia"",""Tianlong Chen"",""Brooke L. Barnette"",""Kamil Khanipov"",""Robert L. Ullrich"",""Suresh K. Bhavnani"",""and Mark R. Emmett""]"	OSD-294_SRR10011610	OSD-294_transcription-profiling_rna-sequencing-(rna-seq)	SRR10011610	GSE136165	10.26030/ctwz-b762	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	Mus musculus	K25	unknown	unknown	unknown		unassigned
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep1	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep1	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep1	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 1 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep2	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep2	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep2	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 2 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep3	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep3	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep3	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 3 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep4	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep4	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep4	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 4 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep5	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep5	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep5	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 5 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep6	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep6	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep6	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 6 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep7	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep7	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep7	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 7 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep8	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep8	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep8	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 8 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep9	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep9	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep9	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 9 in Control Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep1	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep1	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep1	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 1 in Hind Limb Unloading + Reloading Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep2	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep2	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep2	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 2 in Hind Limb Unloading + Reloading Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep3	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep3	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep3	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 3 in Hind Limb Unloading + Reloading Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep4	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep4	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep4	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 4 in Hind Limb Unloading + Reloading Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep1	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLU_Rep1	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLU_Rep1	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 1 in Hind Limb Unloading Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep2	OSD-295	Ground Study	RNA Sequencing (RNA-Seq)	Paul	Coen	M	"[""Zhang X"",""Trevino MB"",""Wang M"",""Gardell SJ"",""Ayala JE"",""Han X"",""Kelly DP"",""Goodpaster BH"",""Vega RB"",""Coen PM.""]"	OSD-295_Mmus_C57-6CR_SLS_22-24mon_HLU_Rep2	OSD-295_transcription-profiling_rna-sequencing-(rna-seq)	Mmus_C57-6CR_SLS_22-24mon_HLU_Rep2	GSE102284	10.26030/xy8e-x059	Hindlimb_Unloading	Mus musculus	Old Mouse Number 2 in Hind Limb Unloading Group	unknown	unknown	skeletal_muscle	SLS->skeletal_muscle	high_explicit_sample_token
