location	cluster	n_genes	variable	n_groups	eta_squared	p_value	fdr_bh	strong_batch_driver
FLT	7	1086	library_selection	3	0.3465529860601235	7.4004242752755604e-09	2.9601697101102242e-08	True
FLT	7	1086	library_layout	2	0.07465856482495647	0.008778739208862458	0.03511495683544983	False
FLT	7	1086	sex	2	8.1466824466269e-05	0.9323305311830624	0.9323305311830624	False
FLT	7	1086	strain	5	0.09707923897817629	0.06409071015255688	0.09322285113099182	False
FLT	7	1086	sequencing_instrument	3	0.07520891786661058	0.032056777169440075	0.10504108745232461	False
FLT	8	1015	h5_accession	8	0.7982988270904371	2.9890845214241013e-26	2.391267617139281e-25	True
FLT	8	1015	mission	8	0.7982988270904371	2.9890845214241013e-26	2.391267617139281e-25	True
FLT	8	1015	library_selection	3	0.588310549415426	1.0991791784123714e-17	1.7586866854597942e-16	True
FLT	8	1015	library_layout	2	0.08040048804142781	0.006456676521354981	0.03511495683544983	False
FLT	8	1015	sex	2	0.11070745801983559	0.0012708735445692006	0.006777992237702403	False
FLT	8	1015	strain	5	0.22366987471831817	0.0001986239496495863	0.0010593277314644603	False
FLT	8	1015	sequencing_instrument	3	0.08043470061057693	0.0249823491938327	0.10504108745232461	False
FLT	9	972	h5_accession	8	0.5198976273952071	4.5404991937025505e-11	6.053998924936734e-11	True
FLT	9	972	mission	8	0.5198976273952071	4.5404991937025505e-11	6.053998924936734e-11	True
FLT	9	972	library_selection	3	0.2658967017561368	1.2396974667234202e-06	2.2039066075083025e-06	True
FLT	9	972	library_layout	2	0.043039702275082053	0.04847167877864588	0.0775546860458334	False
FLT	9	972	sex	2	0.00017066446993590676	0.9021832997008736	0.9323305311830624	False
FLT	9	972	strain	5	0.09801737347580583	0.0617667378252668	0.09322285113099182	False
FLT	9	972	sequencing_instrument	3	0.04411758666508831	0.1373399043315925	0.15695989066467714	False
FLT	10	509	h5_accession	8	0.3621933188045658	2.544084144430892e-06	3.1311804854534057e-06	True
FLT	10	509	mission	8	0.3621933188045658	2.544084144430892e-06	3.1311804854534057e-06	True
FLT	10	509	library_selection	3	0.15323452874551155	0.0006630987006964231	0.000964507201012979	False
FLT	10	509	library_layout	2	0.030038164820145003	0.10039837301028996	0.13386449734705327	False
FLT	10	509	sex	2	0.0006278645939287895	0.8136162857824312	0.9323305311830624	False
FLT	10	509	strain	5	0.08398393485099188	0.10608576967877353	0.12124087963288403	False
FLT	10	509	sequencing_instrument	3	0.039189110998806016	0.172213946407504	0.18369487616800428	False
FLT	11	491	h5_accession	8	0.6107711892075764	1.1035570146257059e-14	2.2071140292514118e-14	True
FLT	11	491	mission	8	0.6107711892075764	1.1035570146257059e-14	2.2071140292514118e-14	True
FLT	11	491	library_selection	3	0.26974817677675145	9.835503514120032e-07	1.9671007028240063e-06	True
FLT	11	491	library_layout	2	0.05360964619622061	0.02722369104710852	0.05444738209421704	False
FLT	11	491	sex	2	0.01157491616564424	0.3100701665501346	0.7087318092574505	False
FLT	11	491	strain	5	0.09276423665612014	0.07585224947190243	0.09556665264422486	False
FLT	11	491	sequencing_instrument	3	0.05574828582360734	0.08014241108494424	0.1165707797599189	False
FLT	12	44	h5_accession	8	0.12185058773723582	0.13417289330980486	0.13417289330980486	False
FLT	12	44	mission	8	0.12185058773723582	0.13417289330980486	0.13417289330980486	False
FLT	12	44	library_selection	3	0.10195953886209827	0.008810890120132467	0.011747853493509956	False
FLT	12	44	library_layout	2	0.039710927782714046	0.05826036610353434	0.08474235069604995	False
FLT	12	44	sex	2	0.0011584454750659188	0.7487510321126499	0.9323305311830624	False
FLT	12	44	strain	5	0.03635343727000628	0.521490639672386	0.521490639672386	False
FLT	12	44	sequencing_instrument	3	0.060966591531777845	0.06280090769509399	0.11500836892201634	False
FLT	13	8	h5_accession	8	0.7795258889009481	1.1334812574317306e-24	6.04523337296923e-24	True
FLT	13	8	mission	8	0.7795258889009481	1.1334812574317306e-24	6.04523337296923e-24	True
FLT	13	8	library_selection	3	0.031737992639575975	0.24192860402720479	0.2580571776290184	False
FLT	13	8	library_layout	2	0.0238517355447904	0.14382796336839224	0.17177544618872648	False
FLT	13	8	sex	2	0.5373235327545461	1.4512201088073277e-16	1.1609760870458621e-15	True
FLT	13	8	strain	5	0.5537752285708087	2.1158052508618074e-14	1.692644200689446e-13	True
FLT	13	8	sequencing_instrument	3	0.07042672934546995	0.04022347641238818	0.10726260376636848	False
FLT	14	7	h5_accession	8	0.9411800252979861	2.749929070245467e-48	4.399886512392747e-47	True
FLT	14	7	mission	8	0.9411800252979861	2.749929070245467e-48	4.399886512392747e-47	True
FLT	14	7	library_selection	3	0.019441479951672596	0.4215361016984105	0.4215361016984105	False
FLT	14	7	library_layout	2	0.015440555040050062	0.24058195574001492	0.25662075278934926	False
