gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000097145	9230114K14Rik	8	-0.37865813712441443	0.026942336404889362	-14.054391253748038	7.240180140302753e-45	1.4183857665335965e-42	3	5	45.54783912661854	84.63154315500965	1.0704002457243854e-07	False	mixed
ENSMUSG00000038246	Fam50b	8	0.9960199267903252	0.07118690990173202	13.9916162699751	1.7538037373673923e-44	3.403371969589364e-42	4	4	46.19287870104735	84.84614902374274	8.018052392786153e-08	False	mixed
ENSMUSG00000048720	Tbc1d12	8	-0.23998614699831303	0.017154638054924096	-13.989577992257725	1.8047966982714443e-44	3.469595147985384e-42	3	5	53.12664396479804	86.82393714792481	3.4997071875972184e-09	False	mixed
ENSMUSG00000030045	Mrpl19	8	-0.42776337513789314	0.031199852039877036	-13.71042960688281	8.793562728669036e-43	1.6748480123029821e-40	4	4	95.54647012285969	92.67372202133794	8.944783170966705e-18	False	mixed
ENSMUSG00000054455	Vapb	8	-0.36368566157493437	0.026534694328042063	-13.706043004632944	9.341522102320042e-43	1.7628909141717732e-40	3	5	41.05031346228024	82.94775506055011	7.9178573544994e-07	False	mixed
ENSMUSG00000043518	Rai2	8	-0.4535165958346683	0.03320498455280942	-13.65808784260666	1.8066571528190353e-42	3.378448875771596e-40	4	4	80.2143295913448	91.27337966213544	1.245611828262788e-14	False	mixed
ENSMUSG00000068267	Cenpb	8	-0.3743150949369379	0.027445515017343665	-13.63847953665277	2.3643890126190386e-42	4.381574954015642e-40	4	4	38.61143032186186	81.87065347839086	2.317959421988973e-06	False	mixed
ENSMUSG00000001525	Tubb5	8	-0.695847219342163	0.05110457260418147	-13.61614399423091	3.210783140120149e-42	5.8969472493099525e-40	4	4	167.66448116305304	95.82499528138429	7.799382594424129e-33	False	mixed
ENSMUSG00000010660	Plcd1	8	-0.3791383994894799	0.027863614999371438	-13.606935047660999	3.6419973626975007e-42	6.629724402715716e-40	3	5	21.652770358665713	67.6715732719231	0.0029150965236087443	False	mixed
ENSMUSG00000029659	Medag	8	-0.33035971284629745	0.024405510487152574	-13.536275466157685	9.551016475099673e-42	1.7233720078315816e-39	3	5	18.273973163349254	61.69415409868623	0.010793180095104864	False	mixed
ENSMUSG00000020308	Tpgs1	8	-0.35330341341016885	0.026115179329928972	-13.528661202998899	1.0593536422008038e-41	1.894861253919177e-39	4	4	23.371185442996524	70.04858817678142	0.0014684843562467545	False	mixed
ENSMUSG00000035184	Fam124a	8	-0.45858839720422556	0.03402088707225794	-13.479613163237527	2.0618501343702589e-41	3.6562290744824334e-39	2	6	57.05073815541467	87.73022010524919	5.840434755342468e-10	False	mixed
ENSMUSG00000032098	Treh	8	1.4969617342652184	0.11253114158199619	13.302644167831998	2.2342493813460855e-40	3.9280777584862377e-38	8	0	56.17221652366337	87.53832333276158	8.729075794482436e-10	True	all_up
ENSMUSG00000007338	Mrpl49	8	-0.41355204664537837	0.031097203596472053	-13.298689233018221	2.3556169611016433e-40	4.1063593974458306e-38	3	5	62.701348323814585	88.83596575332123	4.350033298312357e-11	False	mixed
ENSMUSG00000030413	Pglyrp1	8	-1.2313928208072278	0.09311923522766032	-13.223828758866917	6.392525558611451e-40	1.1049937037028366e-37	3	5	116.38366563384999	93.98541027052507	4.3343105427079655e-22	True	mixed
ENSMUSG00000025875	Tspan17	8	-0.39059676945244526	0.02956761988238675	-13.210287842110732	7.653121536788394e-40	1.311872583431144e-37	3	5	15.215921573316646	53.995556783918175	0.033329088952125455	False	mixed
ENSMUSG00000001588	Acap1	8	-0.5167961898166124	0.0392705089125566	-13.159905591428906	1.4927227072278974e-39	2.5376286022874256e-37	1	7	18.106079710172846	61.338952926032505	0.011500449765290357	False	mixed
ENSMUSG00000031792	Usb1	8	-0.38003628722273575	0.028986517091329003	-13.110795133659552	2.8558842434757495e-39	4.815208105598046e-37	1	7	25.44702951125253	72.49187769871277	0.0006320294831321909	False	mixed
ENSMUSG00000050965	Prkca	8	-0.46123209336216253	0.03522059018886332	-13.095524262623039	3.492544006448624e-39	5.840782944117739e-37	5	3	137.43573875868515	94.90671053743098	1.7504949883951665e-26	False	mixed
ENSMUSG00000004891	Nes	8	-0.8507980326546989	0.0652964628792819	-13.029772136779112	8.285471568488407e-39	1.3744528239016656e-36	4	4	276.19722565918545	97.46557917687498	7.26620193694613e-56	False	mixed
ENSMUSG00000026162	Nhej1	8	-0.5326872435159157	0.040948339173528685	-13.00876309680161	1.0909359255398947e-38	1.7952441590684505e-36	1	7	65.09752213497136	89.24690253879956	1.4374661709672797e-11	False	mixed
ENSMUSG00000101583	Gm20753	8	-1.1705031417742309	0.0900663066440678	-12.996015773134024	1.2888505257087077e-38	2.1040996280815965e-36	2	6	200.83356511179923	96.51452684410434	7.644044923494853e-40	True	mixed
ENSMUSG00000087424	5730405O15Rik	8	-0.6488009933118867	0.050714550826738425	-12.793192145750345	1.7896890754259073e-37	2.8987326205914104e-35	2	6	179.16555100632627	96.0929989271471	2.923023918820321e-35	False	mixed
ENSMUSG00000020720	Psmd12	8	0.1817825234401284	0.014232142503673313	12.772674486164707	2.3300827699137216e-37	3.7445158263379105e-35	6	2	42.53879630425126	83.5444332981739	4.094261052828343e-07	False	mixed
ENSMUSG00000001909	Trmt1	8	-0.2731490434509774	0.021442031196769393	-12.738953737374095	3.591792623841277e-37	5.727377850574811e-35	2	6	10.816479200408933	35.2839323193507	0.1468268541969456	False	mixed
ENSMUSG00000031400	G6pdx	8	-0.7145198822465224	0.05609224008138384	-12.738301790226785	3.6219294989662714e-37	5.731006907210477e-35	2	6	59.28632340478439	88.1928923940743	2.0954232258199357e-10	False	mixed
