gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000060572	Mfap2	8	-0.014408392900187117	0.1460741246406785	-0.09863754402519752	0.9214260595404123	0.9580818907519729	4	4	23.374223371592173	70.05248093715302	0.001466690240183507	False	mixed
ENSMUSG00000028519	Dab1	8	-0.009841168122926765	0.09989183332828806	-0.09851824513606033	0.9215207849104815	0.9581319523659828	4	4	15.189405148431778	53.91524597839362	0.033646716282365575	False	mixed
ENSMUSG00000028463	Car9	8	-0.010995613113374087	0.1118880675542332	-0.09827333114002001	0.9217152543236008	0.9582857104592606	4	4	13.882642809334167	49.57732402872554	0.05330847005143109	False	mixed
ENSMUSG00000075195	Olfr1048	8	0.0110492488924282	0.11254097466998168	0.09817978673837977	0.9217895327555291	0.9583144995846171	3	5	8.322254058806953	15.888172236314862	0.30503726365941475	False	mixed
ENSMUSG00000063777	Olfr1469	8	0.012471751861734057	0.12739757230018744	0.09789630710031753	0.9220146324097711	0.9584592445795553	3	4	6.5259960470735585	0.0	0.4798398366550639	False	mixed
ENSMUSG00000039372	Marchf4	8	-0.01238271005715443	0.12656532696649736	-0.09783651142016338	0.9220621145265031	0.9584592445795553	5	3	11.154853448217187	37.247046476269325	0.13200557105649577	False	mixed
ENSMUSG00000043987	Cep164	8	-0.006735153451275033	0.06884659891722879	-0.09782841211041389	0.9220685459885668	0.9584592445795553	4	4	24.067862493957033	70.91557257418451	0.0011084751452828216	False	mixed
ENSMUSG00000110629	4930567H12Rik	5	0.007488565989133942	0.07665935599463632	0.09768626271342405	0.9221814241471125	0.9585281402074838	1	4	2.8034959818876977	0.0	0.5912293953217977	False	mixed
ENSMUSG00000016534	Lamp2	8	-0.004499498769239707	0.04615719790247307	-0.09748206073399067	0.9223435798350865	0.9586482460314149	5	3	20.917227949218262	66.53476255556315	0.003894607525762092	False	mixed
ENSMUSG00000056921	Olfr394	8	-0.01312512176151419	0.13489132584468702	-0.09730145121878607	0.9224870035650173	0.9587385342296411	2	5	4.4572982153024645	0.0	0.7258530031574406	False	mixed
ENSMUSG00000029321	Slc10a6	8	0.01595624390353381	0.16426384332976957	0.09713789462176826	0.9226168875856686	0.9587385342296411	4	4	3.5894673112317155	0.0	0.8256603638663856	False	mixed
ENSMUSG00000036087	Slain2	8	-0.005208968102804901	0.05363277241239449	-0.09712285732223519	0.9226288291515171	0.9587385342296411	3	5	22.7885474462569	69.28281621938227	0.0018552827051136875	False	mixed
ENSMUSG00000031700	Gpt2	8	0.007415415215377528	0.07636568255908163	0.09710402587759841	0.922643783785194	0.9587385342296411	4	4	25.874814996982323	72.94666647542645	0.000530275597811118	False	mixed
ENSMUSG00000046886	Zfp474	3	-0.0044104450367000204	0.04543140680207234	-0.0970792090131543	0.9226634916679619	0.9587385342296411	2	1	8.303710625225408	75.91438225310615	0.015735195679364662	False	mixed
ENSMUSG00000037259	Dzank1	8	0.006653199627675822	0.0686725689542411	0.09688292907913607	0.9228193656474436	0.9588359816402231	2	6	4.563951712987675	0.0	0.7130033544547184	False	mixed
ENSMUSG00000041415	Dicer1	8	-0.005918189273934911	0.06111071450288743	-0.09684372572104817	0.9228504990040417	0.9588359816402231	3	5	34.18895908961302	79.52555390279	1.587724474531536e-05	False	mixed
ENSMUSG00000074922	Fam122a	8	-0.007869165999780126	0.08141359670960106	-0.09665665586362823	0.9229990622048523	0.9589419015886567	4	4	15.761302099559932	55.587425735622155	0.027388889421397708	False	mixed
ENSMUSG00000072511	Hhla1	3	0.0031967292613496834	0.033101721113535154	0.09657290176499476	0.9230655771424348	0.958962571809085	2	1	2.990673674644689	33.12543535069527	0.22417308215110412	False	mixed
ENSMUSG00000075144	Olfr1156	8	0.012964908965436776	0.1345921358620193	0.09632738853871892	0.9232605593186285	0.9591073483701078	5	3	20.499521376903207	65.85286128735233	0.004585999577560434	False	mixed
ENSMUSG00000028133	Rwdd3	8	-0.005562511902718513	0.05777431806580661	-0.09628000968151025	0.9232981872836594	0.9591073483701078	3	5	15.709144107775133	55.439965716939355	0.027910644733500606	False	mixed
ENSMUSG00000029255	Gnrhr	7	-0.011409917230215618	0.11872609231611853	-0.09610286170150133	0.9234388785203371	0.9591878207122121	2	5	11.049490001059132	45.69885126440334	0.08685887401293259	False	mixed
ENSMUSG00000094445	1700015G11Rik	7	0.009476236163127193	0.09864396088146453	0.09606504116875748	0.9234689159642513	0.9591878207122121	5	2	11.7196406632652	48.80389107144907	0.06852361168246386	False	mixed
ENSMUSG00000117994	Gm5820	8	-0.009692804108685386	0.10106104385643622	-0.09591038978832085	0.9235917427664563	0.9592669602982078	3	5	9.367185543297225	25.27104360595362	0.22735734109958777	False	mixed
ENSMUSG00000023832	Acat2	8	0.007370156050354864	0.0768966934769739	0.09584490199909307	0.9236437548510152	0.9592725455561639	4	4	44.70930295978825	84.34330321298941	1.5572796400579697e-07	False	mixed
ENSMUSG00000033066	Gas7	8	0.007943174662811421	0.08310693461851408	0.09557776013846486	0.923855929159246	0.9594023158878012	5	3	12.624105025775284	44.55052468505498	0.08181413653276719	False	mixed
ENSMUSG00000010592	Dazl	8	-0.010948221090364469	0.1145569305978344	-0.09557013297431553	0.923861987025064	0.9594023158878012	4	3	9.293746413542634	24.680535829988205	0.23224861712593095	False	mixed
ENSMUSG00000039200	Atf7ip2	6	-0.013178003814681375	0.13824549724302862	-0.09532320457074352	0.9240581119919233	0.9594270886608114	4	3	2.713121084872605	0.0	0.7441109058595373	False	mixed
ENSMUSG00000084808	9430091E24Rik	8	-0.006363478259424633	0.06675944420603372	-0.09531952123186643	0.9240610375498617	0.9594270886608114	4	4	10.254579299867922	31.737813953126686	0.17459986061925054	False	mixed
ENSMUSG00000034926	Dhcr24	8	0.006683906448146831	0.07016702209281317	0.09525709156226865	0.9241106235903932	0.9594270886608114	3	5	39.739017875369306	82.38507045656334	1.4121502279886858e-06	False	mixed
ENSMUSG00000032525	Nktr	8	0.006047626150496159	0.06364715379877897	0.09501801399660041	0.9243005185565958	0.9594270886608114	3	5	25.10258757160944	72.114428522433	0.0007276688040507816	False	mixed
ENSMUSG00000089694	Nat8f7	8	0.013450175027459772	0.1417361983438943	0.09489583595875511	0.9243975640182436	0.9594270886608114	2	6	29.50753330957268	76.27724443598579	0.00011688014771854999	False	mixed
