gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000044338	7	0	6	2
ENSMUSG00000002633	9	0	4	2
ENSMUSG00000069722	1	0	5	0
ENSMUSG00000067713	18	0	2	5
ENSMUSG00000021591	13	0	22	3
ENSMUSG00000069184	14	0	23	10
ENSMUSG00000027171	9	0	4	2
ENSMUSG00000031539	11	0	0	6
ENSMUSG00000075145	1	0	5	0
ENSMUSG00000022221	5	0	0	6
ENSMUSG00000063386	9	0	4	2
ENSMUSG00000056782	6	0	23	10
ENSMUSG00000025410	13	0	22	3
ENSMUSG00000027332	3	0	10	9
ENSMUSG00000025268	14	0	1	4
ENSMUSG00000026519	10	0	1	5
ENSMUSG00000043323	8	0	1	12
ENSMUSG00000060803	3	0	10	9
ENSMUSG00000026117	18	0	2	5
ENSMUSG00000073906	1	0	5	0
ENSMUSG00000098912	6	0	23	10
ENSMUSG00000062175	7	0	18	2
ENSMUSG00000028035	16	0	8	7
ENSMUSG00000039656	10	0	1	5
ENSMUSG00000024955	10	0	1	5
ENSMUSG00000018921	8	0	15	12
ENSMUSG00000047751	1	0	5	0
ENSMUSG00000032257	1	0	5	0
ENSMUSG00000015342	14	0	7	4
ENSMUSG00000059623	7	0	4	2
ENSMUSG00000047904	7	0	21	2
ENSMUSG00000001348	13	0	22	3
ENSMUSG00000027965	14	0	7	4
ENSMUSG00000031891	4	0	21	1
ENSMUSG00000069089	0	0	17	11
ENSMUSG00000027186	2	0	0	8
ENSMUSG00000030934	12	0	20	9
ENSMUSG00000040037	4	0	21	1
ENSMUSG00000055720	10	0	2	5
ENSMUSG00000060688	1	0	5	0
ENSMUSG00000050213	19	0	7	4
ENSMUSG00000054423	9	0	6	2
ENSMUSG00000053914	4	0	14	1
ENSMUSG00000017211	4	0	6	1
ENSMUSG00000097520	7	0	18	2
ENSMUSG00000019944	17	0	13	3
ENSMUSG00000034893	0	0	17	11
ENSMUSG00000034269	17	0	8	3
ENSMUSG00000044339	5	0	0	6
ENSMUSG00000027575	10	0	2	5
ENSMUSG00000085162	9	0	4	2
ENSMUSG00000040247	7	0	0	2
ENSMUSG00000090862	17	0	13	3
ENSMUSG00000023106	16	0	8	7
ENSMUSG00000075201	1	0	5	0
ENSMUSG00000054598	2	0	24	8
