gene_id	gene_symbol	accession	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction
ENSMUSG00000028447	Dctn3	OSD-173	1218.58585014702	0.239448802686562	0.295851354283559	0.809355100862789	0.418310920449184	0.849321089163698	FALSE	up
ENSMUSG00000020770	Unk	OSD-173	135.09138864202	-0.287810333700565	0.355557660100494	-0.809461772302187	0.418249582968343	0.849321089163698	FALSE	down
ENSMUSG00000024339	Tap2	OSD-173	480.807631115008	-0.0858565153692856	0.290255719601888	-0.295796118977589	0.767385787053871	0.967495310183567	FALSE	down
ENSMUSG00000022847	Thpo	OSD-173	39.1441132571995	0.00903589582013432	0.51515500574432	0.0175401495071931	0.986005703091254	0.997723139077661	FALSE	up
ENSMUSG00000030852	Tacc2	OSD-173	948.246755554953	0.946111679555058	0.269387589721083	3.51208339082969	0.000444608468431438	0.0166374307738509	FALSE	up
ENSMUSG00000087695	Gm16291	OSD-173	121.675633538754	0.204881729599558	0.357227935748744	0.573532215978935	0.566284392540979	0.91543840413656	FALSE	up
ENSMUSG00000063275	Hacd1	OSD-173	281.529929603782	0.0795818462670557	0.302983226741935	0.262660897511793	0.792811958022387	0.97058289458778	FALSE	up
ENSMUSG00000033629	Hacd3	OSD-173	7647.44905047452	1.04290981146979	0.277088983995837	3.76380827714702	0.000167345202889151	0.00769977380689592	TRUE	up
ENSMUSG00000029098	Acox3	OSD-173	544.28747186991	-0.121601676048823	0.274922962305099	-0.442311820843375	0.658263578175918	0.941230329914126	FALSE	down
ENSMUSG00000071793	2610005L07Rik	OSD-173	430.016737793942	-0.109997554487537	0.292585905619183	-0.375949601040266	0.706954364521832	0.953848420033613	FALSE	down
ENSMUSG00000041846	Ppp4r3a	OSD-173	2141.46435722949	0.370528191037328	0.261420356760076	1.4173654861063	0.156376098042594	0.631564678182625	FALSE	up
ENSMUSG00000021259	Cyp46a1	OSD-173	23.881747056454	0.103360110989393	0.639504903974329	0.161625204665424	0.871601007819911	0.980423772097983	FALSE	up
ENSMUSG00000027397	Slc20a1	OSD-173	985.429653125941	0.474659358075025	0.329499948328585	1.44054455996965	0.149713392598766	0.621960952625809	FALSE	up
ENSMUSG00000016487	Ppfibp1	OSD-173	1089.99935548762	-0.421663220666362	0.316567562494106	-1.33198492398984	0.182865142596004	0.664887868967916	FALSE	down
ENSMUSG00000061130	Ppm1b	OSD-173	3819.00161392472	0.108555469280387	0.250661191141364	0.433076491762004	0.664959200539709	0.94266335683998	FALSE	up
ENSMUSG00000032232	Cgnl1	OSD-173	3039.99587208147	-0.458780945472127	0.27626403446741	-1.66066113657023	0.0967815228474874	0.506679737260375	FALSE	down
ENSMUSG00000027641	Rbl1	OSD-173	106.238165151711	-0.490830263937113	0.372750413617286	-1.31677993103735	0.187912401783732	0.671164235785246	FALSE	down
ENSMUSG00000042978	Sbk1	OSD-173	924.587081786867	-0.661344299920433	0.268040805472646	-2.46732693835276	0.0136126005413754	0.18139720043824	FALSE	down
ENSMUSG00000029623	Pdap1	OSD-173	823.054595646613	0.00575274147960826	0.264646298406886	0.0217374719171911	0.982657372560171	0.997164173927444	FALSE	up
ENSMUSG00000030869	Ndufab1	OSD-173	1515.07086798615	0.423622163618016	0.291992631931453	1.45079744244185	0.146836272056129	0.616306939263728	FALSE	up
ENSMUSG00000097487	Ptges3l	OSD-173	27.7500150348435	-0.837978978830836	0.585114517076177	-1.43216234493416	0.152097365406744	0.625616922220113	FALSE	down
ENSMUSG00000084960	B430010I23Rik	OSD-173	53.9262469810502	-0.325781965803743	0.493734152794853	-0.659832754043056	0.509361161613677	0.892589917153717	FALSE	down
ENSMUSG00000001524	Gtf2h4	OSD-173	294.726108948362	-0.534309600830861	0.292970935254441	-1.82376316738321	0.0681878844982305	0.430520302844287	FALSE	down
ENSMUSG00000026234	Ncl	OSD-173	1312.61174033576	0.606699838936694	0.282647781451053	2.14648717857266	0.0318341306160501	0.294501938240894	FALSE	up
ENSMUSG00000066684	Pilrb1	OSD-173	46.626294470601	-1.10197249618966	0.47255973905151	-2.33192209391655	0.0197047899481322	0.224752576087535	FALSE	down
ENSMUSG00000002058	Unc119	OSD-173	108.604658347411	-0.0783625452901119	0.38582400719309	-0.203104378756023	0.839053449308708	0.975660318727689	FALSE	down
ENSMUSG00000037487	Ubr5	OSD-173	3761.38811777791	0.408454994504711	0.289434521150898	1.41121726904083	0.158180559713641	0.634648096277863	FALSE	up
ENSMUSG00000030741	Spns1	OSD-173	488.443694686919	-0.213504254422859	0.285637605408343	-0.747465496070227	0.454782622861938	0.869803546629949	FALSE	down
ENSMUSG00000030007	Cct7	OSD-173	2823.57631113023	-0.0134224190056842	0.267121598473292	-0.0502483478775162	0.95992448415327	0.993576675193503	FALSE	down
ENSMUSG00000004071	Cdip1	OSD-173	3616.78714019077	0.282465939987659	0.264110172635497	1.06950041783318	0.284844240676453	0.767367615238177	FALSE	up
ENSMUSG00000031169	Porcn	OSD-173	72.856833167294	0.354352733681753	0.465047426664993	0.761971174043327	0.446077208710139	0.865322048380764	FALSE	up
ENSMUSG00000027341	Tmem230	OSD-173	348.225624316812	0.253530612463116	0.301182924084757	0.841782824287105	0.39990952765924	0.840930620065763	FALSE	up
ENSMUSG00000028693	Nasp	OSD-173	469.115358369576	0.319433094750399	0.279998316227515	1.14083934165819	0.253936785598367	0.739346312599426	FALSE	up
ENSMUSG00000032727	Mier3	OSD-173	502.994046846634	0.0276395310256232	0.289132282239821	0.0955947596425692	0.923842427339747	0.988733249397802	FALSE	up
ENSMUSG00000046080	Clec9a	OSD-173	107.866699466714	0.0102466101410524	0.365271588937813	0.0280520315605408	0.97762065227008	0.996824459017358	FALSE	up
ENSMUSG00000008036	Ap2s1	OSD-173	1309.40526733506	0.156324572574841	0.279624176556008	0.559052419930971	0.576125945503026	0.91752193207552	FALSE	up
ENSMUSG00000031557	Plekha2	OSD-173	250.436450295544	-0.590939129625416	0.301331913509053	-1.96109042266332	0.0498684757599351	0.373579355918353	FALSE	down
ENSMUSG00000039929	Urb1	OSD-173	209.553344853488	0.221073622340684	0.331946203174632	0.665992321124337	0.50541600859702	0.890903101210675	FALSE	up
ENSMUSG00000025034	Trim8	OSD-173	364.610860291018	-0.356384508553796	0.327072835934554	-1.0896181810253	0.275881370907928	0.76030249329089	FALSE	down
ENSMUSG00000035198	Tubg1	OSD-173	391.904460724036	-0.540359946379748	0.290080719578717	-1.86279166421164	0.062491583282303	0.411010026448401	FALSE	down
ENSMUSG00000038622	Med30	OSD-173	255.660331536667	0.38994388495455	0.392880239015717	0.992526083601141	0.320940962014808	0.796181719195636	FALSE	up
ENSMUSG00000002845	Tmem39a	OSD-173	210.371948009636	0.189374676079339	0.331695735623099	0.570928883736156	0.568047850820451	0.915578440916109	FALSE	up
ENSMUSG00000052684	Jun	OSD-173	1220.83181332506	0.15325636728309	0.264708205465703	0.578963417524078	0.562613857490547	0.913807215183461	FALSE	up
ENSMUSG00000030330	Ing4	OSD-173	433.154265806701	-0.383568258242458	0.304699788334917	-1.25883992351465	0.208088156839597	0.693569358162268	FALSE	down
ENSMUSG00000022672	Prkdc	OSD-173	589.760153466292	-0.0729940472549069	0.286859099819209	-0.254459584168363	0.799140523820846	0.972718049899134	FALSE	down
ENSMUSG00000020653	Klf11	OSD-173	526.9905041477	-0.432826393506948	0.342547799897758	-1.26355035307813	0.206391462738693	0.692655663622247	FALSE	down
