_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0007631,feeding behavior,M000010,1,0
0,0,1,0,0,0,0,0,-2,0,0,0,GO:0006633,fatty acid biosynthetic process,M001000,1,0
0,0,1,0,0,0,0,0,-3.1,0,0,0,GO:0010466,negative regulation of peptidase activity,M001000,1,0
1,0,0,0,0,0,-2.3,0,0,0,0,0,mmu05226,Gastric cancer - Mus musculus (house mouse),M100000,1,0
0,0,0,0,0,1,0,0,0,0,0,-2,WP441,Matrix metalloproteinases,M000001,1,0
0,1,0,0,0,0,0,-2.1,0,0,0,0,GO:0034695,response to prostaglandin E,M010000,1,0
0,0,0,0,1,0,0,0,0,0,-2.3,0,GO:1903305,regulation of regulated secretory pathway,M000010,1,0
0,0,0,1,0,0,0,0,0,-2.1,0,0,GO:0045933,positive regulation of muscle contraction,M000100,1,0
0,0,0,1,0,0,0,0,0,-2.3,0,0,GO:0002009,morphogenesis of an epithelium,M000100,1,0
1,0,0,0,0,0,-2.3,0,0,0,0,0,GO:0043271,negative regulation of monoatomic ion transport,M100000,1,0
1,0,0,0,0,0,-2.1,0,0,0,0,0,GO:0070372,regulation of ERK1 and ERK2 cascade,M100000,1,0
0,0,1,0,0,0,0,0,-6.3,0,0,0,GO:0006720,isoprenoid metabolic process,M001000,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.2,GO:0072677,eosinophil migration,M000001,1,0
0,0,0,1,0,0,0,0,0,-2.1,0,0,GO:0048634,regulation of muscle organ development,M000100,1,0
0,0,0,0,1,0,0,0,0,0,-3,0,mmu05322,Systemic lupus erythematosus - Mus musculus (house mouse),M000010,1,0
0,1,0,0,0,0,0,-2.2,0,0,0,0,GO:0045109,intermediate filament organization,M010000,1,0
0,1,0,0,0,0,0,-2.5,0,0,0,0,WP1274,Oxidation by cytochrome P450,M010000,1,0
0,0,1,0,0,0,0,0,-3,0,0,0,R-MMU-8953854,Metabolism of RNA,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.2,0,GO:0050806,positive regulation of synaptic transmission,M000010,1,0
0,0,0,1,0,0,0,0,0,-2.6,0,0,mmu00360,Phenylalanine metabolism - Mus musculus (house mouse),M000100,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0021983,pituitary gland development,M000010,1,0
0,0,1,0,0,0,0,0,-2.4,0,0,0,GO:0006067,ethanol metabolic process,M001000,1,0
0,0,1,0,0,0,0,0,-3.1,0,0,0,GO:0046456,icosanoid biosynthetic process,M001000,1,0
0,0,0,1,0,0,0,0,0,-4.6,0,0,GO:0090136,epithelial cell-cell adhesion,M000100,1,0
1,0,0,0,0,0,-2.8,0,0,0,0,0,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),M100000,1,0
0,0,1,0,0,0,0,0,-2.1,0,0,0,CORUM:3047,Parvulin-associated pre-rRNP complex,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0014063,negative regulation of serotonin secretion,M000010,1,0
0,0,1,0,0,0,0,0,-5.1,0,0,0,GO:0009822,alkaloid catabolic process,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.7,0,R-MMU-9851695,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,M000010,1,0
0,0,0,0,1,0,0,0,0,0,-2.2,0,GO:0001578,microtubule bundle formation,M000010,1,0
0,0,1,0,0,0,0,0,-2.2,0,0,0,R-MMU-191273,Cholesterol biosynthesis,M001000,1,0
0,0,0,1,0,0,0,0,0,-2.2,0,0,GO:0050849,negative regulation of calcium-mediated signaling,M000100,1,0
0,0,1,0,0,0,0,0,-5,0,0,0,GO:0048511,rhythmic process,M001000,1,0
0,0,0,1,0,0,0,0,0,-3.3,0,0,GO:0051122,hepoxilin biosynthetic process,M000100,1,0
0,0,1,0,0,0,0,0,-2.4,0,0,0,GO:0010951,negative regulation of endopeptidase activity,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2,0,GO:0090660,cerebrospinal fluid circulation,M000010,1,0
0,0,1,0,0,0,0,0,-12,0,0,0,R-MMU-72689,Formation of a pool of free 40S subunits,M001000,1,0
0,1,0,0,0,0,0,-4.3,0,0,0,0,GO:0051694,pointed-end actin filament capping,M010000,1,0
0,0,0,1,0,0,0,0,0,-2.8,0,0,GO:0098773,skin epidermis development,M000100,1,0
0,0,1,0,0,0,0,0,-2.1,0,0,0,GO:0045333,cellular respiration,M001000,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.4,R-MMU-2672351,Stimuli-sensing channels,M000001,1,0
1,0,0,0,0,0,-3.6,0,0,0,0,0,GO:0045923,positive regulation of fatty acid metabolic process,M100000,1,0
0,0,0,1,0,0,0,0,0,-4.9,0,0,GO:0098609,cell-cell adhesion,M000100,1,0
1,0,0,0,0,0,-3.3,0,0,0,0,0,R-MMU-2142753,Arachidonate metabolism,M100000,1,0
0,1,0,0,0,0,0,-2.8,0,0,0,0,GO:0030837,negative regulation of actin filament polymerization,M010000,1,0
0,0,1,0,0,0,0,0,-7.3,0,0,0,R-MMU-5423646,Aflatoxin activation and detoxification,M001000,1,0
0,0,1,0,0,0,0,0,-8,0,0,0,GO:0035634,response to stilbenoid,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0070945,neutrophil-mediated killing of gram-negative bacterium,M000010,1,0
0,0,0,0,0,1,0,0,0,0,0,-2,GO:1903278,positive regulation of sodium ion export across plasma membrane,M000001,1,0
0,1,0,0,0,0,0,-2.4,0,0,0,0,GO:0110053,regulation of actin filament organization,M010000,1,0
0,0,1,0,0,0,0,0,-7.3,0,0,0,GO:0140236,translation at presynapse,M001000,1,0
0,0,1,0,0,0,0,0,-15,0,0,0,GO:0071466,cellular response to xenobiotic stimulus,M001000,1,0
0,0,0,1,0,0,0,0,0,-2.4,0,0,GO:0060993,kidney morphogenesis,M000100,1,0
0,0,1,0,0,0,0,0,-2.9,0,0,0,R-MMU-72695,"Formation of the ternary complex, and subsequently, the 43S complex",M001000,1,0
0,0,1,0,0,0,0,0,-2,0,0,0,GO:0051248,negative regulation of protein metabolic process,M001000,1,0
0,1,0,0,0,0,0,-2.2,0,0,0,0,GO:0035022,positive regulation of Rac protein signal transduction,M010000,1,0
1,0,0,0,0,0,-2.2,0,0,0,0,0,GO:0045444,fat cell differentiation,M100000,1,0
0,0,0,0,1,0,0,0,0,0,-2.5,0,R-MMU-110331,Cleavage of the damaged purine,M000010,1,0
1,0,0,0,0,0,-2.1,0,0,0,0,0,GO:0033157,regulation of intracellular protein transport,M100000,1,0
0,0,1,0,0,0,0,0,-2.9,0,0,0,GO:0062013,positive regulation of small molecule metabolic process,M001000,1,0
0,1,0,0,0,0,0,-6.7,0,0,0,0,GO:0070252,actin-mediated cell contraction,M010000,1,0
0,0,1,0,0,0,0,0,-5.3,0,0,0,GO:0044283,small molecule biosynthetic process,M001000,1,0
0,0,1,0,0,0,0,0,-3.9,0,0,0,GO:0071353,cellular response to interleukin-4,M001000,1,0
0,0,1,0,0,0,0,0,-5.2,0,0,0,GO:0008203,cholesterol metabolic process,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0060632,regulation of microtubule-based movement,M000010,1,0
1,0,0,0,0,0,-2.7,0,0,0,0,0,mmu05200,Pathways in cancer - Mus musculus (house mouse),M100000,1,0
0,1,0,0,0,0,0,-2.1,0,0,0,0,GO:0043062,extracellular structure organization,M010000,1,0
0,0,1,0,0,0,0,0,-7.2,0,0,0,GO:0140241,translation at synapse,M001000,1,0
0,1,0,0,0,0,0,-2.1,0,0,0,0,GO:0050848,regulation of calcium-mediated signaling,M010000,1,0
0,0,1,0,0,0,0,0,-13,0,0,0,R-MMU-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,M001000,1,0
0,1,0,0,0,0,0,-3.6,0,0,0,0,CORUM:349,Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex,M010000,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.5,GO:0042472,inner ear morphogenesis,M000001,1,0
1,0,0,0,0,0,-2.7,0,0,0,0,0,mmu04064,NF-kappa B signaling pathway - Mus musculus (house mouse),M100000,1,0
0,0,1,0,0,0,0,0,-8.6,0,0,0,R-MMU-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,M001000,1,0
0,0,0,1,0,0,0,0,0,-2.8,0,0,GO:0010649,regulation of cell communication by electrical coupling,M000100,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.7,GO:2000027,regulation of animal organ morphogenesis,M000001,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.5,GO:0048704,embryonic skeletal system morphogenesis,M000001,1,0
0,0,1,0,0,0,0,0,-2.2,0,0,0,GO:0045475,locomotor rhythm,M001000,1,0
0,0,1,0,0,0,0,0,-11,0,0,0,mmu05171,Coronavirus disease - Mus musculus (house mouse),M001000,1,0
0,1,0,0,0,0,0,-3,0,0,0,0,GO:0048662,negative regulation of smooth muscle cell proliferation,M010000,1,0
0,0,0,0,1,0,0,0,0,0,-2.3,0,R-MMU-9818564,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,M000010,1,0
0,0,1,0,0,0,0,0,-3.4,0,0,0,GO:0072521,purine-containing compound metabolic process,M001000,1,0
0,0,1,0,0,0,0,0,-2.4,0,0,0,GO:0050667,homocysteine metabolic process,M001000,1,0
0,1,0,0,0,0,0,-2,0,0,0,0,mmu00330,Arginine and proline metabolism - Mus musculus (house mouse),M010000,1,0
