condition	collection	age	sample	muscle_mean_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_score_robust_z_within_stratum	severe_muscle_composition_outlier
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI5	1.3810460685735029	0	0.000138328088649483	16.998095740509626	8	-0.19807067619576652	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI16	1.3763284517288978	0	0.00024289635019433727	16.82798663264277	8	-0.12627876418737835	False
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL1	1.372836484723692	0	0.0002229325402484411	16.769101546527473	8	-0.5182548058142363	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL4	1.309520159145627	0	0.00013323599170162907	17.129014655720894	8	0.05325084295537446	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI11	1.3081635508647504	0	0.0003424687189045468	17.252301366418443	8	-0.5280327059009572	False
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL15	1.3064812431897446	0	0.00020589297233660847	16.496013248562036	8	0.05982949001080076	False
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL13	1.3050149063999634	0	0.0002454899772003461	17.13356184967279	8	-0.6133388079097891	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI7	1.284709052091793	0	0.0002682131663867376	17.373384667632525	8	-0.37815853881178724	False
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL11	1.2785546537362977	0	0.00022578304856777802	17.131853410231383	8	-0.05982949001080076	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL6	1.2744686080128766	0	0.00015378681026884927	16.6534515732183	8	0.0	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI15	1.2719688881631395	0	0.00036269197183882377	17.398012965065348	8	-0.5944167307716883	False
