tissue	atlas_tissue	compartment	atlas_cells	rank	gene_id	atlas_log2cpm	specificity_log2_fold
skin	skin of body	stromal	17	6	ENSMUSG00000025784	12.635336875915527	11.095894813537598
skin	skin of body	stromal	17	7	ENSMUSG00000053475	12.431568145751953	10.903409004211426
skin	skin of body	stromal	17	8	ENSMUSG00000042436	11.174589157104492	10.527410507202148
skin	skin of body	stromal	17	9	ENSMUSG00000028036	10.335575103759766	10.196819305419922
skin	skin of body	stromal	17	10	ENSMUSG00000019929	16.847639083862305	10.171537399291992
skin	skin of body	stromal	17	11	ENSMUSG00000072941	11.064361572265625	10.131138801574707
skin	skin of body	stromal	17	12	ENSMUSG00000030116	10.607869148254395	9.707815170288086
skin	skin of body	stromal	17	13	ENSMUSG00000022548	10.854432106018066	9.462791442871094
skin	skin of body	stromal	17	14	ENSMUSG00000029661	15.159651756286621	9.441078186035156
skin	skin of body	stromal	17	15	ENSMUSG00000042254	12.111084938049316	9.239509582519531
skin	skin of body	stromal	17	16	ENSMUSG00000029718	12.154475212097168	9.232638359069824
skin	skin of body	stromal	17	17	ENSMUSG00000026208	9.292696952819824	9.196602821350098
skin	skin of body	stromal	17	18	ENSMUSG00000073418	11.023971557617188	9.185006141662598
skin	skin of body	stromal	17	19	ENSMUSG00000023224	13.93648910522461	9.137996673583984
skin	skin of body	stromal	17	20	ENSMUSG00000003665	11.940056800842285	9.040119171142578
skin	skin of body	stromal	17	21	ENSMUSG00000021390	9.84847354888916	8.986856460571289
skin	skin of body	stromal	17	22	ENSMUSG00000005397	10.075458526611328	8.977378845214844
skin	skin of body	stromal	17	23	ENSMUSG00000020363	9.41264820098877	8.960349082946777
skin	skin of body	stromal	17	24	ENSMUSG00000032492	9.304560661315918	8.935465812683105
skin	skin of body	stromal	17	25	ENSMUSG00000029231	9.784260749816895	8.914426803588867
skin	skin of body	stromal	17	26	ENSMUSG00000036545	11.651229858398438	8.845291137695312
skin	skin of body	stromal	17	27	ENSMUSG00000052974	12.861982345581055	8.616193771362305
skin	skin of body	stromal	17	28	ENSMUSG00000025746	11.688301086425781	8.585561752319336
skin	skin of body	stromal	17	29	ENSMUSG00000035799	8.753805160522461	8.582048416137695
skin	skin of body	stromal	17	30	ENSMUSG00000029675	9.499503135681152	8.565567016601562
liver	liver	hepatocyte	1162	1	ENSMUSG00000091694	7.6661376953125	7.594429016113281
