tissue	accession	display_label	context_group	contrast_order	site	gravity	collection_context	term	short_label	pathway_order	n_flight	n_ground_control	flight_minus_ground
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	9	10	-0.6602137363333335
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	9	10	-0.7355467471777779
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	9	10	-0.9521727392222222
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-6805567_KERATINIZATION	Keratinization	0	5	5	0.33855312000000026
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-73894_DNA_REPAIR	DNA repair	1	5	5	0.21352645699999995
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	5	5	0.25590549799999995
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	5	5	0.16351758600000008
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	5	5	-0.196731168
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	5	5	0.07398714799999984
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	5	5	0.637811174
