tissue	method	accession	term	effect	project
thymus	expimap	OSD-244	R-MMU-5693606_DNA_DOUBLE_STRAND_BREAK_RESPONSE	0.07045080693684211	RR-6
thymus	expimap	OSD-244	R-MMU-5693607_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	0.01455580659473684	RR-6
thymus	expimap	OSD-244	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.2553253532105263	RR-6
thymus	expimap	OSD-244	R-MMU-606279_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	-0.016368729064210528	RR-6
thymus	expimap	OSD-244	R-MMU-6791226_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	-0.5190519784210526	RR-6
thymus	expimap	OSD-244	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	0.708998075263158	RR-6
thymus	expimap	OSD-244	R-MMU-6803157_ANTIMICROBIAL_PEPTIDES	0.17501628421052606	RR-6
thymus	expimap	OSD-244	R-MMU-6805567_KERATINIZATION	-0.16064188742105245	RR-6
thymus	expimap	OSD-244	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-0.23417996789473694	RR-6
thymus	expimap	OSD-244	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	-0.9428189638736841	RR-6
thymus	expimap	OSD-244	R-MMU-6811442_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.005450553842105268	RR-6
thymus	expimap	OSD-244	R-MMU-68875_MITOTIC_PROPHASE	0.008019024715263159	RR-6
thymus	expimap	OSD-244	R-MMU-68877_MITOTIC_PROMETAPHASE	0.0028956988284210517	RR-6
thymus	expimap	OSD-244	R-MMU-68882_MITOTIC_ANAPHASE	0.006585047457894733	RR-6
thymus	expimap	OSD-244	R-MMU-68886_M_PHASE	0.19709515289473684	RR-6
thymus	expimap	OSD-244	R-MMU-69002_DNA_REPLICATION_PRE_INITIATION	0.003277839052631579	RR-6
thymus	expimap	OSD-244	R-MMU-69052_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	-0.035691905710526314	RR-6
thymus	expimap	OSD-244	R-MMU-69206_G1_S_TRANSITION	-0.013898255878210527	RR-6
thymus	expimap	OSD-244	R-MMU-69236_G1_PHASE	-0.01155050881015789	RR-6
thymus	expimap	OSD-244	R-MMU-69239_SYNTHESIS_OF_DNA	0.003063396047368421	RR-6
thymus	expimap	OSD-244	R-MMU-69242_S_PHASE	-0.03089968324736842	RR-6
thymus	expimap	OSD-244	R-MMU-69275_G2_M_TRANSITION	-0.001615356683157895	RR-6
thymus	expimap	OSD-244	R-MMU-69278_CELL_CYCLE_MITOTIC	-1.217505232631579	RR-6
thymus	expimap	OSD-244	R-MMU-69306_DNA_REPLICATION	-0.002859253728421052	RR-6
thymus	expimap	OSD-244	R-MMU-69473_G2_M_DNA_DAMAGE_CHECKPOINT	0.010527201307368419	RR-6
thymus	expimap	OSD-244	R-MMU-69481_G2_M_CHECKPOINTS	0.0022333495915789476	RR-6
thymus	expimap	OSD-244	R-MMU-69618_MITOTIC_SPINDLE_CHECKPOINT	-0.0011715525173684215	RR-6
thymus	expimap	OSD-244	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	-0.08591933724736842	RR-6
thymus	expimap	OSD-244	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	-0.03065484368421051	RR-6
thymus	expimap	OSD-244	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	-0.10885955263157893	RR-6
thymus	expimap	OSD-244	R-MMU-72649_TRANSLATION_INITIATION_COMPLEX_FORMATION	-0.004746482858421053	RR-6
thymus	expimap	OSD-244	R-MMU-72662_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	-0.010808188138421054	RR-6
