model	term	observed_direction	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_fdr	same_direction_as_pathway
liver_hvg	R-MMU-8980692_RHOA_GTPASE_CYCLE	FLT_down	ENSMUSG00000021215	Net1	0.2686291477564433	0.017669499755280833	0.07768317233908502	0.605947942610674	False
liver_hvg	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	FLT_down	ENSMUSG00000001281	Itgb7	-0.3651602057434542	0.007712736388516767	-0.433538924792694	0.1177653179571979	True
liver_hvg	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	FLT_down	ENSMUSG00000030830	Itgal	-0.3114205066604132	0.02913811431980433	-0.38233211862933086	0.21016561544643644	True
liver_hvg	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_down	ENSMUSG00000015340	Cybb	-0.3520342198140014	0.023492044557981272	-0.37269652981226625	0.18309321944587612	True
liver_hvg	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_down	ENSMUSG00000015950	Ncf1	-0.262304331507178	0.023492044557981272	-0.2689952272759683	0.21040980121058556	True
liver_hvg	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_down	ENSMUSG00000020176	Grb10	-0.29807959487208846	0.027505876203360903	-0.270703204105344	0.1594262461346838	True
liver_hvg	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_down	ENSMUSG00000022488	Nckap1l	-0.27968800278197037	0.043349331562771806	-0.31093640302143283	0.2201369108669028	True
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000058672	Tubb2a	0.9165747730022442	6.293171401278508e-05	0.4309008158176673	0.31321343181354155	False
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000036752	Tubb4b	0.4413108294768442	0.007272126203562575	0.24761602898084675	0.38418138986117456	False
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000105504	Gbp5	-0.2789803130017221	0.018759524635788432	-0.35038210611417836	0.19113786687023415	True
