model	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_p	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_p	accession_t_fdr	n_accessions_tested	n_accessions_same_direction	n_accessions_nonzero_direction	pooled_deg_fdr05	accession_deg_fdr05	any_deg_fdr05	nominal_p05
liver_hvg	ENSMUSG00000066441	Rdh11	0.08407331169366117	0.5005049873384564	0.7352594920664984	-0.1520505163489596	0.4760975659028107	0.6840597396848268	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000066705	Fxyd6	0.04169926270782354	0.6496811762431294	0.8297784549328061	-0.06832756085409361	0.4140364121074842	0.6398161441939821	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000066878		-0.15552539367050944	0.5070230906307526	0.7404912634028926	-0.25684913718195906	0.23142634900127765	0.46872646320563344	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000067144	Slc22a7	-0.16033632989723934	0.3334327225813528	0.6050202311910475	-0.38018809030633544	0.14571106004725715	0.3896696579011769	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000067149	Jchain	-0.43777705160010205	0.024114549614173485	0.15929975655720563	-0.48101349365988666	0.04971243886982453	0.26512292660041636	12	8	12	False	False	False	True
liver_hvg	ENSMUSG00000067219	Nipal1	-0.08756272375856611	0.6414983528494879	0.8254244139360135	0.004331352601227116	0.9790035642863094	0.9914707576902894	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000067276	Capn6	-0.0748157344471001	0.39737329903114726	0.6633972649097396	-0.06643465532009811	0.12381710553367457	0.3592170682667572	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000067279	Ppp1r3c	0.4618015916773359	0.0005485637366277238	0.02299128083321768	0.24453747939644113	0.06348343785803073	0.2801979170946268	12	10	12	True	False	True	True
liver_hvg	ENSMUSG00000067818	Myl9	0.03239268388337457	0.7769278285422336	0.8958487998601927	-0.061985635762440615	0.5866952115228075	0.7576381464224582	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000067889	Sptbn2	-0.03229640415266033	0.7794906358321724	0.8963019126715758	-0.07787571456496385	0.4832928037423484	0.6869737968071549	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000067916	Zfp991	-0.10302619577881389	0.3205839043829309	0.5970706633178019	-0.0330380011837648	0.806356340209019	0.8907424688355442	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000067919	Rex2	0.0019327084154120433	0.9058080025485657	0.9609491954585824	-0.025809138094221213	0.22187933157753892	0.45728230010040305	12	6	9	False	False	False	False
liver_hvg	ENSMUSG00000068101	Cenpm	0.09184414412284925	0.3162595336309226	0.5940245785055631	0.0477297967296342	0.6792094791924127	0.8212260066599172	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000068196	Col8a1	-0.08787282430817367	0.3545635920914582	0.6206805476466354	-0.11115400543640558	0.05504966238828599	0.2709462301797665	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000068220	Lgals1	0.04719445882534146	0.7168867313525678	0.8688876239662044	-0.1426644139494387	0.29927727993000486	0.5378902463606844	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000068246	Apol9b	-0.017752085126572226	0.8567250657521106	0.9340308438344441	-0.09980958218288238	0.4886541912666292	0.6890548321662445	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000068252	Apol7b	-0.01948077659500519	0.6260195326051843	0.8166340795897048	-0.004292214796368064	0.9318914519473837	0.9708216431514519	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000068452		0.016900721578517658	0.47430710538497517	0.7152250001836927	0.03213511086950613	0.5124247738397459	0.7021204833861903	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000068587	Mgam	-0.11767542977258749	0.15489258815572718	0.4003538710340575	-0.1435793590425586	0.04172092972500819	0.24698295193291198	12	9	12	False	False	False	True
liver_hvg	ENSMUSG00000068699	Flnc	0.11570100547840945	0.41754158094224775	0.6811083025182211	-0.0013344927927497984	0.9868634099472452	0.9943396479013911	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000068747	Sort1	-0.036491418715960844	0.7436398058195888	0.8830722694107617	-0.20783182449294338	0.06582100684890935	0.2823933519646756	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000068762	Gstm6	-0.12891369445807666	0.1335501911053726	0.36953208218476885	-0.2115523731211988	0.09125423870797934	0.3176835160361788	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000068876		0.35914017598000836	0.0021774276617522264	0.043439681851956916	-0.07693333629054948	0.6909077988178707	0.8301246115426855	12	6	12	True	False	True	True
liver_hvg	ENSMUSG00000069265	H3c1	-0.06723697666580153	0.5886979514884828	0.7951607401621688	-0.07576841093860114	0.48464659059334847	0.6869737968071549	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000069266	H4c2	-0.07044561939912142	0.714327372505315	0.8673664687450415	-0.00262449291655426	0.9835606613216455	0.9928724603650267	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000069267	H3c2	-0.13322167849830857	0.28560532814239514	0.5580633003370012	-0.11426245494606535	0.20629459436858166	0.4447757619149006	12	7	11	False	False	False	False
liver_hvg	ENSMUSG00000069300	H2bc11	-0.1462140247676459	0.19775188098270782	0.4543250094749288	-0.13112024662251778	0.07432853044526418	0.2929280648896285	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000069301	H2ac11	-0.03810485876131037	0.6054926998008147	0.8042329800949569	-2.7451404389260598e-05	0.9994533868009726	0.9999998032296321	12	4	11	False	False	False	False
liver_hvg	ENSMUSG00000069302	H2ac12	0.01907676028479019	0.7759676737264732	0.8957264444414367	0.01280987699291814	0.8343197249004269	0.9079041594324283	12	5	9	False	False	False	False
liver_hvg	ENSMUSG00000069303		-0.08533335354379079	0.4005786839009884	0.6654075556889857	-0.038571217588195574	0.5174217616913215	0.7064587697517131	12	7	11	False	False	False	False
liver_hvg	ENSMUSG00000069305	H4c18	-0.11099430558244139	0.6759627268612177	0.8444243206563115	-0.0745643328483196	0.46208869012904646	0.6750202807929963	12	6	11	False	False	False	False
liver_hvg	ENSMUSG00000069306	H4c17	0.07533516146939034	0.6917042796273606	0.8502757757614571	0.02966690998721282	0.7048140273577149	0.8344830769012708	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000069307		-0.06430119099692444	0.6612125388167123	0.8366062752074701	-0.013648809117355222	0.9006661555626164	0.9515628068168809	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000069308	H2bc22	-0.01743948355988409	0.6815376175489297	0.846831057445762	0.015284494770740396	0.6290032417173915	0.7877937707455773	12	6	11	False	False	False	False
liver_hvg	ENSMUSG00000069310	H3c3	-0.14662101026515562	0.24742560049822726	0.5190347594928159	-0.13052182170923385	0.23649333411114412	0.4699481654990491	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000069324		0.19754364399301405	0.3633496137429274	0.6276038782832382	0.11785414855969638	0.5325641136031228	0.718853455100291	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000069516	Lyz2	-0.30039233966355816	0.016222319618851302	0.12997400658477248	-0.3606759087510243	0.025268848415298615	0.2201369108669028	12	8	12	False	False	False	True
liver_hvg	ENSMUSG00000069607	Cd300ld3	-0.12295261073029451	0.2520156093563911	0.5226736462164571	-0.07495321022127825	0.5685322463726467	0.7461985733640988	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000069662	Marcks	-0.21002921633324068	0.045643910552733424	0.21981866234166267	-0.15528725608236224	0.011235151759428848	0.19113786687023415	12	10	12	False	False	False	True
liver_hvg	ENSMUSG00000069919	Hba-a1	-0.18101075887743612	0.36860632002263083	0.6344862885635448	-0.004858629998801674	0.9821686326822857	0.9921146441524861	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000069922	Ces3a	0.16647579815243496	0.1342997989587553	0.37034794440137214	-0.08926253569478604	0.5577982552292622	0.7404309318960234	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000070327		-0.06818489190303012	0.5456150439451157	0.7660112685928965	-0.2025160105545203	0.1690096279960624	0.411618914204126	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000070348	Ccnd1	-0.5349074300012902	0.0003627559316860083	0.018759524635788432	-0.4708298648967624	0.016885719205007425	0.21016561544643644	12	9	12	True	False	True	True
liver_hvg	ENSMUSG00000070368	Prok1	0.09395382812958886	0.5540892986191585	0.7740953436591185	0.008158930721570479	0.9493618026014968	0.9787993778759618	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000070407	Hs3st3b1	-0.09450784166639092	0.14795033568854948	0.3909416154949089	-0.17979076460458257	0.04697381145925	0.2574526204978125	12	10	12	False	False	False	True
liver_hvg	ENSMUSG00000070427	Il18bp	-0.17069947502187954	0.03385958063966384	0.1881611793206946	-0.2014055850822749	0.029758924792431182	0.23011261612752018	12	10	12	False	False	False	True
liver_hvg	ENSMUSG00000070436	Serpinh1	-0.19972408576442113	0.07272463097074308	0.281173718578745	-0.3462498832548639	0.07570513734847928	0.29556115266187116	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000070605	Zfp992	-0.12218891231292517	0.4288453167862052	0.6933115129566283	-0.3179965048967846	0.028059336633868618	0.2245018975209851	12	9	12	False	False	False	True
liver_hvg	ENSMUSG00000070644	Etnk2	-0.2547630630932467	0.012457513042746704	0.11505897463092442	-0.11646683758157665	0.23650524218598762	0.4699481654990491	12	6	12	False	False	False	True
liver_hvg	ENSMUSG00000070704	Ugt2b36	-0.09105354091015272	0.23016073653947697	0.4974763482082953	-0.05322244214671912	0.24342946702449886	0.4794094636859578	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000070811	Sult2a2	-0.5840753441005369	0.22263807737746527	0.48690603740716026	0.05687892624591954	0.7817626047004474	0.8770693982522301	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000071042	Rasgrp3	-0.1800999909269576	0.02151968459240868	0.15060814119302907	-0.2101437089761785	0.06800245731174907	0.2848136880683226	12	10	12	False	False	False	True
liver_hvg	ENSMUSG00000071369	Map3k5	-0.09011164130352523	0.22004734896268013	0.4856133420138793	-0.07594827537910638	0.37324087727555405	0.5985655547947993	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000071478	H2ac7	-0.08722646333468781	0.3820761218370284	0.6469205195319966	-0.10361819331017103	0.12021724825381086	0.35425909935945743	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000071516	H2ac13	-0.017544330804918185	0.8053486984921773	0.9108110280566291	0.01610082229955384	0.7568064899876347	0.8673149855972591	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000071551	Akr1c19	-0.07650758095652321	0.6626176672856985	0.8366062752074701	0.004687849497783336	0.9757726410001362	0.9901660319406265	12	4	12	False	False	False	False
liver_hvg	ENSMUSG00000071713	Csf2rb	-0.26192612502945956	0.00011958329817348735	0.012986289418208879	-0.3415314693118113	0.0036422229258370356	0.14044877180928142	12	11	12	True	False	True	True
liver_hvg	ENSMUSG00000071715	Ncf4	-0.16290148802179338	0.058132377673165335	0.25017850759284677	-0.1768016724854243	0.18428268775519657	0.42675908905762705	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000072082	Ccnf	0.4079188041691819	0.01606844971656602	0.12978363232611015	0.05512859586629441	0.7024378939130663	0.8331848507526731	12	7	12	False	False	False	True
liver_hvg	ENSMUSG00000072115	Ang	-0.27232003191884857	0.0007079514814771821	0.025326090945140805	-0.21135477708257863	0.0800752714871891	0.3009259525514778	12	9	12	True	False	True	True
liver_hvg	ENSMUSG00000072235	Tuba1a	-0.13975582620468519	0.12691379732940722	0.36016077620507453	-0.24459960300337433	0.06580593602293927	0.2823933519646756	12	10	12	False	False	False	False
liver_hvg	ENSMUSG00000072596	Ear2	-0.13423854237902888	0.17803412258654666	0.43261641237534787	-0.1908266682019788	0.04421698251996968	0.25348528772224	12	8	12	False	False	False	True
liver_hvg	ENSMUSG00000072623	Zfp9	0.0746980769446357	0.4476010547603992	0.702832374062728	0.06568903818361127	0.6272792700418818	0.7875532685547855	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000072664	Ugt3a1	-0.040984889179505934	0.5654674168852906	0.782483281748985	0.04869230481755523	0.5730965920594249	0.7477617404568689	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000072941	Sod3	-0.001893343193746233	0.9840792710053591	0.9931327600769287	-0.05703500987333032	0.3524948058104188	0.5822420529138422	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000072949	Acot1	0.23919338725947448	0.18810921939830522	0.44622817205662174	0.4321377452137738	0.1288632948661592	0.3637135917741817	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000073418	C4b	-0.16192485266828704	0.05718081196244043	0.2485309800981888	-0.1616790973250183	0.007880622378193723	0.17276749059886237	12	9	12	False	False	False	True
