profile	id.accession	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
Mmus_BAL-TAL_LVR_GC_Rep6_G7	OSD-137	ground_control	Mmus_BAL-TAL_LVR_GC_Rep6_G7	RR3_GC_G7	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47	flight	Mmus_C57-6T_LVR_FLT_Rep1_F1	RR-1_FLT_M1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47	flight	Mmus_C57-6T_LVR_FLT_Rep2_F2	RR-1_FLT_M2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_FLT_Rep3_F3	OSD-164	flight	Mmus_C57-6T_LVR_FLT_Rep3_F3	FLT 3	Liver	Liver	liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-164	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-164
Mmus_C57-6T_LVR_GC_Rep1_G1	OSD-164	ground_control	Mmus_C57-6T_LVR_GC_Rep1_G1	GC 1	Liver	Liver	liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-164	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-164
Mmus_C57-6T_LVR_GC_Rep2_G2	OSD-164	ground_control	Mmus_C57-6T_LVR_GC_Rep2_G2	GC 2	Liver	Liver	liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-164	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-164
Mmus_C57-6T_LVR_GC_Rep3_G3	OSD-164	ground_control	Mmus_C57-6T_LVR_GC_Rep3_G3	GC 3	Liver	Liver	liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-164	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-164
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2	OSD-168	baseline_control	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2	RR3_BSL_B2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4	OSD-168	baseline_control	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4	RR3_BSL_B4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6	OSD-168	baseline_control	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6	RR3_BSL_B6	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7	OSD-168	baseline_control	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7	RR3_BSL_B7	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	OSD-168	flight	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	RR3_FLT_F1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	OSD-168	flight	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	RR3_FLT_F2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	OSD-168	flight	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	RR3_FLT_F3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	OSD-168	flight	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	RR3_FLT_F4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
