gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000035472	1.2534981	-0.7199648	0.013093726	0.5613388	0.0016156514	0.03207647	-0.69486535	0.050275836	-0.22708261	-0.826712	-0.17536984	-0.56556016	-0.5510725	0.5794657	0.61388767	0.7820072
ENSMUSG00000091631	1.2622043	-0.7184036	0.016121678	0.5954435	0.0017563025	0.034417987	-0.6743993	0.054177877	-0.23718163	-0.8385763	-0.11288684	-0.55222493	-0.5453014	0.5085721	0.6010792	0.87608576
ENSMUSG00000018501	1.0300422	-0.6922509	-0.014691581	0.21606028	-0.0013568501	0.0132477125	-0.79355824	0.018187054	-0.13837713	-0.6194659	-0.53042525	-0.6266889	-0.5543944	1.1098946	0.64873195	-0.074404426
ENSMUSG00000062300	1.304576	-0.7015132	-0.008269185	0.57243776	0.0016406691	0.03051858	-0.7231951	0.04884577	-0.2207067	-0.8110276	-0.21839748	-0.56603634	-0.5233784	0.7143369	0.7182342	0.6659765
ENSMUSG00000022285	1.1199827	-0.7046788	-0.009414338	0.31769502	-0.00050740293	0.017992668	-0.77957827	0.026625386	-0.16260177	-0.6973546	-0.4633763	-0.6180984	-0.5577163	0.99800736	0.66345906	0.14577629
ENSMUSG00000039648	1.2577282	-0.69473135	-0.019778071	0.46888474	0.00078859087	0.0244855	-0.7635302	0.038528215	-0.19204815	-0.75958246	-0.3555858	-0.5915384	-0.52694434	0.91162175	0.7514733	0.38276613
ENSMUSG00000010592	1.2659898	-0.71732235	0.01579494	0.6024203	0.0017829663	0.034797296	-0.6716717	0.054863416	-0.23882313	-0.8401592	-0.10240303	-0.54962623	-0.5430264	0.5006864	0.6030069	0.88917387
ENSMUSG00000006412	1.283673	-0.7080763	-0.0024213253	0.5555369	0.001576663	0.030198278	-0.7207934	0.047881395	-0.21906972	-0.81118643	-0.22555292	-0.5704517	-0.5347093	0.6963251	0.68813664	0.6684931
ENSMUSG00000041343	1.2645085	-0.7177832	0.01548642	0.5970806	0.0017624353	0.034429405	-0.67486835	0.054254442	-0.23728324	-0.8385258	-0.112418525	-0.55185694	-0.54423946	0.5109571	0.60435694	0.8753469
ENSMUSG00000051952	1.2659682	-0.717329	0.01579813	0.6023866	0.0017826362	0.03479515	-0.6716829	0.054860167	-0.2388152	-0.84015274	-0.10245178	-0.54963934	-0.54303944	0.5007147	0.60299045	0.8891191
ENSMUSG00000078924	1.2661607	-0.7172718	0.015788086	0.6027863	0.0017841626	0.034817845	-0.67150754	0.054900587	-0.23891336	-0.84024894	-0.10181561	-0.54948545	-0.5429158	0.50019544	0.60305595	0.8899272
ENSMUSG00000097746	1.2612567	-0.71865326	0.015330653	0.58884513	0.0017317245	0.033938155	-0.6789887	0.0533882	-0.23512371	-0.83621836	-0.12625803	-0.55503273	-0.5463275	0.5240961	0.60473096	0.8564054
ENSMUSG00000059325	1.3168018	-0.6935805	-0.016991457	0.56571126	0.001545574	0.029666055	-0.73603773	0.047563158	-0.21567157	-0.80048007	-0.24575645	-0.5680398	-0.5131695	0.77946895	0.7579771	0.5987339
ENSMUSG00000044465	1.2626287	-0.7164179	0.007704857	0.55567205	0.0015888643	0.031121356	-0.70598024	0.048980273	-0.22338168	-0.82028365	-0.19950536	-0.56887496	-0.5464217	0.6264275	0.6398507	0.73337805
ENSMUSG00000040599	1.2631788	-0.7155833	0.006105109	0.5503947	0.0015648762	0.030736022	-0.71025455	0.048324373	-0.2215059	-0.81728697	-0.21065155	-0.57074535	-0.5457981	0.64442	0.64689803	0.7121583
ENSMUSG00000059900	1.265568	-0.71744287	0.015855193	0.60177064	0.0017814217	0.034764275	-0.6718709	0.054801717	-0.23867734	-0.8400356	-0.10327959	-0.5498576	-0.5432736	0.5011963	0.60267395	0.888163
ENSMUSG00000115001	1.2661316	-0.7172804	0.015790422	0.6027301	0.0017839484	0.034814734	-0.67153037	0.054895032	-0.2388995	-0.84023625	-0.10190113	-0.54950666	-0.5429346	0.50026053	0.6030417	0.8898214
