gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
13	122	low	10	OSD-899	7261.10693359375	-0.7945584796936073
13	122	low	11	OSD-255	7657.728515625	-0.7879806493649045
13	122	low	12	OSD-203	8609.0771484375	-0.7722028647621726
13	122	low	13	OSD-792	8808.8486328125	-0.7688897245089317
13	122	low	14	OSD-457	9601.3681640625	-0.7557460650488301
13	122	low	15	OSD-201	10590.8603515625	-0.7393356829218207
13	122	low	16	OSD-566	11834.0302734375	-0.7187181442242014
13	122	low	17	OSD-525	11961.439453125	-0.716605107505394
13	122	low	18	OSD-164	12356.361328125	-0.7100554662237996
13	122	low	19	OSD-562	14392.7490234375	-0.6762826879634173
13	122	low	20	OSD-272	15422.3955078125	-0.6592063608556546
