library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	0	REACTOME_METABOLISM_OF_CARBOHYDRATES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_CARBOHYDRATES	3	132	216	5218	0.9166531889528016	0.5490319865319866	ENSMUSG00000015112,ENSMUSG00000021069,ENSMUSG00000041237	0.9894034420442938
reactome	0	REACTOME_GPCR_LIGAND_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GPCR_LIGAND_BINDING	5	132	339	5218	0.9376193582381722	0.5830428175560919	ENSMUSG00000022875,ENSMUSG00000026874,ENSMUSG00000027249,ENSMUSG00000031980,ENSMUSG00000042770	0.996220568128058
reactome	0	REACTOME_METABOLISM_OF_PROTEINS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_PROTEINS	4	132	357	5218	0.9832008251208264	0.4429165605636194	ENSMUSG00000015112,ENSMUSG00000027249,ENSMUSG00000031444,ENSMUSG00000031445	0.9999991196466439
reactome	0	REACTOME_IMMUNE_SYSTEM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_IMMUNE_SYSTEM	12	132	859	5218	0.9952863067635531	0.5522277489681447	ENSMUSG00000022149,ENSMUSG00000022514,ENSMUSG00000022887,ENSMUSG00000024863,ENSMUSG00000026405,ENSMUSG00000026874,ENSMUSG00000035031,ENSMUSG00000037942,ENSMUSG00000038521,ENSMUSG00000058952,ENSMUSG00000073418,ENSMUSG00000090231	0.9999991196466439
reactome	0	REACTOME_GPCR_DOWNSTREAM_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GPCR_DOWNSTREAM_SIGNALING	5	132	832	5218	0.9999983460710595	0.23756191724941725	ENSMUSG00000022875,ENSMUSG00000026874,ENSMUSG00000027249,ENSMUSG00000031980,ENSMUSG00000042770	0.9999991196466439
reactome	0	REACTOME_SIGNALING_BY_GPCR	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_GPCR	6	132	926	5218	0.9999991196466438	0.2561358727665423	ENSMUSG00000020122,ENSMUSG00000022875,ENSMUSG00000026874,ENSMUSG00000027249,ENSMUSG00000031980,ENSMUSG00000042770	0.9999991196466439
reactome	6	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	38	173	226	5218	1.2636896227323215e-17	5.071461455828943	ENSMUSG00000000154,ENSMUSG00000000958,ENSMUSG00000010122,ENSMUSG00000018459,ENSMUSG00000018900,ENSMUSG00000018999,ENSMUSG00000020102,ENSMUSG00000021335,ENSMUSG00000021490,ENSMUSG00000021612,ENSMUSG00000022180,ENSMUSG00000022899,ENSMUSG00000023829,ENSMUSG00000024131,ENSMUSG00000024650,ENSMUSG00000024935,ENSMUSG00000025243,ENSMUSG00000027202,ENSMUSG00000027690,ENSMUSG00000027822,ENSMUSG00000028976,ENSMUSG00000029700,ENSMUSG00000030492,ENSMUSG00000030549,ENSMUSG00000030781,ENSMUSG00000032114,ENSMUSG00000039463,ENSMUSG00000040966,ENSMUSG00000053897,ENSMUSG00000054640,ENSMUSG00000060961,ENSMUSG00000061742,ENSMUSG00000063796,ENSMUSG00000066150,ENSMUSG00000067144,ENSMUSG00000078650,ENSMUSG00000079262,ENSMUSG00000089774	9.730410095038875e-16
reactome	6	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	47	173	382	5218	3.9742334758259733e-16	3.711012922555458	ENSMUSG00000000154,ENSMUSG00000000958,ENSMUSG00000004655,ENSMUSG00000010122,ENSMUSG00000018459,ENSMUSG00000018900,ENSMUSG00000018999,ENSMUSG00000020102,ENSMUSG00000021335,ENSMUSG00000021490,ENSMUSG00000021612,ENSMUSG00000022180,ENSMUSG00000022899,ENSMUSG00000023013,ENSMUSG00000023829,ENSMUSG00000024130,ENSMUSG00000024131,ENSMUSG00000024650,ENSMUSG00000024935,ENSMUSG00000025243,ENSMUSG00000027202,ENSMUSG00000027690,ENSMUSG00000027822,ENSMUSG00000028127,ENSMUSG00000028435,ENSMUSG00000028976,ENSMUSG00000029700,ENSMUSG00000030492,ENSMUSG00000030549,ENSMUSG00000030781,ENSMUSG00000031441,ENSMUSG00000032114,ENSMUSG00000036402,ENSMUSG00000038600,ENSMUSG00000039463,ENSMUSG00000040966,ENSMUSG00000053897,ENSMUSG00000054640,ENSMUSG00000059412,ENSMUSG00000060961,ENSMUSG00000061742,ENSMUSG00000063796,ENSMUSG00000066150,ENSMUSG00000067144,ENSMUSG00000078650,ENSMUSG00000079262,ENSMUSG00000089774	1.530079888193e-14
reactome	6	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	21	173	82	5218	8.125103134919303e-14	7.724376145495559	ENSMUSG00000000154,ENSMUSG00000010122,ENSMUSG00000018459,ENSMUSG00000018900,ENSMUSG00000020102,ENSMUSG00000021612,ENSMUSG00000023829,ENSMUSG00000024650,ENSMUSG00000025243,ENSMUSG00000027690,ENSMUSG00000028976,ENSMUSG00000029700,ENSMUSG00000030549,ENSMUSG00000030781,ENSMUSG00000040966,ENSMUSG00000053897,ENSMUSG00000061742,ENSMUSG00000063796,ENSMUSG00000066150,ENSMUSG00000067144,ENSMUSG00000089774	2.085443137962621e-12
reactome	6	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	26	173	175	5218	5.733167335036143e-11	4.481189099917424	ENSMUSG00000000340,ENSMUSG00000003526,ENSMUSG00000003809,ENSMUSG00000011179,ENSMUSG00000020051,ENSMUSG00000020098,ENSMUSG00000020182,ENSMUSG00000021238,ENSMUSG00000021646,ENSMUSG00000022821,ENSMUSG00000023044,ENSMUSG00000024644,ENSMUSG00000026687,ENSMUSG00000027199,ENSMUSG00000027360,ENSMUSG00000027709,ENSMUSG00000028124,ENSMUSG00000028737,ENSMUSG00000029695,ENSMUSG00000029776,ENSMUSG00000030630,ENSMUSG00000032350,ENSMUSG00000035637,ENSMUSG00000042096,ENSMUSG00000053644,ENSMUSG00000057228	1.1036347119944575e-09
reactome	6	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	8	173	12	5218	5.499888746381574e-10	20.107899807321772	ENSMUSG00000000154,ENSMUSG00000018900,ENSMUSG00000023829,ENSMUSG00000024650,ENSMUSG00000040966,ENSMUSG00000061742,ENSMUSG00000063796,ENSMUSG00000067144	8.469828669427625e-09
reactome	6	REACTOME_BIOLOGICAL_OXIDATIONS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BIOLOGICAL_OXIDATIONS	19	173	146	5218	2.4021818163035264e-07	3.925172222662127	ENSMUSG00000001467,ENSMUSG00000006345,ENSMUSG00000021376,ENSMUSG00000023122,ENSMUSG00000024644,ENSMUSG00000026617,ENSMUSG00000027452,ENSMUSG00000027610,ENSMUSG00000028124,ENSMUSG00000028712,ENSMUSG00000028713,ENSMUSG00000030945,ENSMUSG00000032350,ENSMUSG00000033533,ENSMUSG00000040181,ENSMUSG00000063683,ENSMUSG00000074254,ENSMUSG00000090124,ENSMUSG00000090171	3.0827999975895254e-06
reactome	6	REACTOME_PHASE_II_CONJUGATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHASE_II_CONJUGATION	13	173	69	5218	2.85343358988601e-07	5.6826673368518055	ENSMUSG00000006345,ENSMUSG00000021376,ENSMUSG00000023122,ENSMUSG00000024644,ENSMUSG00000026617,ENSMUSG00000027610,ENSMUSG00000028124,ENSMUSG00000030945,ENSMUSG00000032350,ENSMUSG00000033533,ENSMUSG00000063683,ENSMUSG00000090124,ENSMUSG00000090171	3.138776948874611e-06
reactome	6	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	14	173	87	5218	7.502629672529181e-07	4.853630987974221	ENSMUSG00000000958,ENSMUSG00000021335,ENSMUSG00000021490,ENSMUSG00000021612,ENSMUSG00000022180,ENSMUSG00000022899,ENSMUSG00000024131,ENSMUSG00000024935,ENSMUSG00000025243,ENSMUSG00000027202,ENSMUSG00000030492,ENSMUSG00000039463,ENSMUSG00000054640,ENSMUSG00000060961	7.221281059809336e-06
reactome	6	REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	9	173	47	5218	1.8081339386946977e-05	5.775673348911574	ENSMUSG00000000958,ENSMUSG00000021335,ENSMUSG00000021612,ENSMUSG00000022180,ENSMUSG00000022899,ENSMUSG00000024131,ENSMUSG00000024935,ENSMUSG00000025243,ENSMUSG00000030492	0.00015469590364387972
