Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
PaGenBase,36,PGB:00276,Cell-specific: MEF,,-2.7,4.5,4.1,17423,79,291,6,2.1,0.83,11459|11468|12797|68655|68794|76293,Acta1|Actg2|Cnn1|Fndc1|Flnc|Mfap4,-1.6,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00258,Cell-specific: medial olfactory epithelium,,-2.2,2,2.9,17423,475,291,16,5.5,1.3,11785|11815|12683|12945|17178|17760|20377|24117|54418|56847|70997|76293|78892|208076|227627|242253,Apbb1|Apod|Cidea|Dmbt1|Fxyd3|Map6|Sfrp1|Wif1|Fmn2|Aldh1a3|Spef1|Mfap4|Crispld2|Pknox2|Obp2a|Dnai3,-1.2,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00273,Cell-specific: dendritic plasmacytoid B220+,,-2.1,7.2,4,17423,25,291,3,1,0.59,11937|56012|380698,Atp2a1|Pgam2|Obscn,-1.2,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00214,Tissue-specific: epidermis,,-2.1,4,3.4,17423,75,291,5,1.7,0.76,11752|18772|56277|282619|328779,Anxa8|Pkp1|Tmem45a|Sbsn|Hs3st6,-1.2,FLT_cluster_13_muscle_contractile
TRRUST,34,TRR00844,Regulated by: Myod1,,-2,4.9,3.6,17423,49,291,4,1.4,0.68,12715|17901|24053|56642,Ckm|Myl1|Sgcg|Ankrd2,-1.1,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00001,Tissue-specific: liver,,-20,5.8,13,17423,462,278,43,15,2.2,12274|12401|12686|13094|13097|13098|13099|13105|13123|17840|18559|18671|19116|19734|20219|20703|23957|26464|27367|27400|28248|28250|66438|67664|68054|76654|109222|171281|171405|226143|244152|244209|269378|320204|321018|337924|380780|402734|625018|668215|100039008|100039054|100126824,C6|Serpina6|Elovl3|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp7b1|Mup1|Pctp|Abcb1a|Prlr|Rgs16|Apcs|Serpina1d|Nr0b2|Vnn3|Rpl3|Hsd17b6|Slco1a1|Slco1a4|Hamp2|Rnf125|Serpina12|Upp2|Rarres1|Acot3|Slc22a27|Cyp2c23|Tsku|Cyp2r1|Ahcy|Etfbkmt|Serpina4-ps1|Cyp3a44|Serpina11|C730036E19Rik|C4a|Hectd2os|Mup10|Mup12|Sco2,-18,FLT_cluster_14_liver_secreted
TRRUST,34,TRR01360,Regulated by: Srebf1,,-4.8,11,7.5,17423,34,278,6,2.2,0.87,12575|12686|21835|23957|26874|27410,Cdkn1a|Elovl3|Thrsp|Nr0b2|Abcd2|Abca3,-3.3,FLT_cluster_14_liver_secreted
TRRUST,34,TRR00976,Regulated by: Nr1d1,,-4.8,47,12,17423,4,278,3,1.1,0.62,11865|18030|23957,Bmal1|Nfil3|Nr0b2,-3.2,FLT_cluster_14_liver_secreted
TRRUST,34,TRR00159,Regulated by: Clock,,-4,16,7.5,17423,16,278,4,1.4,0.71,12952|13170|20720|23957,Cry1|Dbp|Serpine2|Nr0b2,-2.6,FLT_cluster_14_liver_secreted
TRRUST,34,TRR00564,Regulated by: Hnf4a,,-3.7,9.2,6.1,17423,34,278,5,1.8,0.8,11808|13086|13094|53973|266645,Apoa4|Cyp2a4|Cyp2b9|Cyp3a41a|Acmsd,-2.4,FLT_cluster_14_liver_secreted
PaGenBase,36,PGB:00007,Tissue-specific: adipose tissue,,-3.1,6.8,5,17423,46,278,5,1.8,0.8,11770|16625|18113|26874|76933,Fabp4|Serpina3c|Nnmt|Abcd2|Ifi27l2a,-1.9,FLT_cluster_14_liver_secreted
TRRUST,34,TRR01316,Regulated by: Smad4,,-2.4,6.3,4.2,17423,40,278,4,1.4,0.71,12550|12575|12739|15951,Cdh1|Cdkn1a|Cldn3|Ifi204,-1.4,FLT_cluster_14_liver_secreted
PaGenBase,36,PGB:00002,Tissue-specific: kidney,,-2.4,2.4,3.3,17423,308,278,12,4.3,1.2,20494|21410|50490|64697|74580|84112|100561|108114|114644|171281|236149|266645,Slc10a2|Hnf1b|Nox4|Keg1|Pyroxd2|Sucnr1|Slc15a4|Slc22a7|Slc13a3|Acot3|Slc22a26|Acmsd,-1.4,FLT_cluster_14_liver_secreted
TRRUST,34,TRR01313,Regulated by: Smad1,,-2.2,7.8,4.3,17423,24,278,3,1.1,0.62,12575|15951|76737,Cdkn1a|Ifi204|Creld2,-1.2,FLT_cluster_14_liver_secreted
TRRUST,34,TRR00238,Regulated by: E2f1,,-2.1,5.1,3.7,17423,49,278,4,1.4,0.71,12122|12443|12575|50490,Bid|Ccnd1|Cdkn1a|Nox4,-1.2,FLT_cluster_14_liver_secreted
PaGenBase,36,PGB:00279,Cell-specific: RAW 264_7,,-2.1,7.2,4,17423,26,278,3,1.1,0.62,110557|231655|630499,H2-Q6|Oasl1|H2-K2,-1.2,FLT_cluster_14_liver_secreted
TRRUST,34,TRR01346,Regulated by: Sox9,,-2,6.7,3.9,17423,28,278,3,1.1,0.62,12550|12575|22361,Cdh1|Cdkn1a|Vnn1,-1.1,FLT_cluster_14_liver_secreted
PaGenBase,36,PGB:00259,Cell-specific: c2c12,,-15,5.9,12,17423,354,267,32,12,2,11464|11474|11811|12292|12372|12373|12862|14239|15464|17906|18011|20391|20536|21384|21952|23828|27389|29818|50795|59006|59091|66106|68016|68828|69253|74511|76294|76757|81840|227721|240892|381339,Actc1|Actn3|Apobec2|Cacna1s|Casq1|Casq2|Cox6a2|Foxs1|Hrc|Myl2|Neurl1a|Sgca|Slc4a3|Tbx15|Tnni1|Popdc1|Dusp13b|Hspb7|Sh3bgr|Myoz2|Jph2|Smpx|Cavin4|Sync|Hspb2|Lrrc17|Asb5|Trdn|Sorcs2|Plpp7|Styxl2|Tmem182,-13,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00028,Tissue-specific: skeletal muscle,,-14,6.6,12,17423,266,267,27,10,1.8,11474|11870|12292|12372|12723|16495|16979|17306|19293|20391|21384|21952|23828|50795|58916|59011|66211|68016|68678|69253|72330|76294|77552|117590|227721|228785|240892,Actn3|Art1|Cacna1s|Casq1|Clcn1|Kcna7|Lrrn1|Sypl2|Pvalb|Sgca|Tbx15|Tnni1|Popdc1|Sh3bgr|Myot|Myoz1|Rpl3l|Cavin4|Smtnl1|Hspb2|Klhl40|Asb5|Shisa4|Asb10|Plpp7|Mylk2|Styxl2,-12,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00226,Tissue-specific: umbilical cord,,-6.5,7.3,7.8,17423,98,267,11,4.1,1.2,12873|17228|19011|21827|50530|51795|71872|74511|99151|121021|242939,Cpa3|Cma1|Endou|Thbs3|Mfap5|Srpx|Aox4|Lrrc17|Cercam|Cspg4|Cpz,-4.7,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00211,Tissue-specific: stomach,,-6.5,4.4,6.8,17423,251,267,17,6.4,1.5,12661|16939|18788|18947|20248|21818|57911|67133|68416|68468|69457|71869|71872|76943|214112|228765|232680,Chl1|Loricrin|Serpinb2|Pnliprp2|Serpinb3a|Tgm3|Gsdma|Gp2|Sycn|Ly6g6c|Tmem45a2|Serpinb12|Aox4|Psapl1|Nipal4|Sdcbp2|Cpa2,-4.7,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00023,Tissue-specific: heart,,-6.3,6.2,7.3,17423,126,267,12,4.5,1.3,11464|12373|17898|17906|29818|59006|68828|69642|74249|76757|244202|668940,Actc1|Casq2|Myl7|Myl2|Hspb7|Myoz2|Sync|Mlip|Lrrc2|Trdn|Nlrp10|Myh7b,-4.5,FLT_cluster_15_contractile_mito
