review_row	term	flight_minus_ground	signed_accession_mean_flt_minus_gc	mean_abs_accession_effect	category	category_label	matched_keyword	rationale	effect_direction
43	R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	0.0525284755491461	0.048963410091142655	0.0628425674928261	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
44	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.1345105513644366	0.08033384986589574	0.146711162148724	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
45	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	0.35515472594419	0.3060397674559543	0.4404988157165603	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
46	R-MMU-9769740_COAGULATION_PATHWAY	0.1438254153591546	0.11828699302999295	0.1627462749592857	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
47	R-MMU-352230_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.1308166922024648	0.11170509724122808	0.1601898925745614	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
48	R-MMU-162582_SIGNAL_TRANSDUCTION	0.1427706622887319	0.13618440309276972	0.1661132397594363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
49	R-MMU-9013406_RHOQ_GTPASE_CYCLE	0.0475883632255281	0.034429534168943815	0.0506757989595161	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_up
50	R-MMU-6806834_SIGNALING_BY_MET	-0.0634541839524647	-0.0493362038697944	0.0668758340179425	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
51	R-MMU-9006936_SIGNALING_BY_TGFB_FAMILY_MEMBERS	0.1258818424529049	0.07385953283372763	0.106528773858475	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
52	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	-0.1845440443485912	-0.19330149347510184	0.1933014934751018	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
53	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.1075910639382042	0.08582809381986749	0.0858280938198674	prior_literature_match	prior literature match	lipid	matches expected tissue/spaceflight biology: lipid	FLT_up
54	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	0.7645169630548412	0.6630485382809012	0.859302858088982	plausible_complementary	plausible/complementary	chromatin	plausible complementary mechanism: chromatin	FLT_up
55	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.1868294160511445	0.15003976601948565	0.208343250723526	likely_artifact	likely artifact/junk	postsynaptic	context-incongruent Reactome term: postsynaptic	FLT_up
56	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.2905779582923415	0.2577938717961678	0.3790903265062688	plausible_complementary	plausible/complementary	glycosylation	plausible complementary mechanism: glycosylation	FLT_up
57	R-MMU-112316_NEURONAL_SYSTEM	0.1851120160739432	0.21474846563485725	0.2619581823015238	likely_artifact	likely artifact/junk	neuronal	context-incongruent Reactome term: neuronal	FLT_up
58	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	0.1942994046478878	0.1950734380247651	0.233601778024765	plausible_complementary	plausible/complementary	vesicle	plausible complementary mechanism: vesicle	FLT_up
