FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Sorbs3,Otub1,Nktr,Eno1b,Ppib,Tmco1,Kcnn3,Norad,,,,,,Lce1g,Zfp750,Pnpla3,Trim56,Hsd17b2,Xpo6,Stag2,Rps3,Zfp346,St3gal6,,,
Slc41a1,Polr2k,Nr1i2,Slmap,Bphl,Uhmk1,Bcl11a,Mthfd1,,,,,,Minar1,Syne3,Irag1,Ikbkb,Rpl8,Lgalsl,Ugt1a6b,Cyp2c70,Ksr1,Rhoq,,,
Abhd12,Ube2v1,Miga2,Tab2,Slc40a1,Oplah,Peg10,Eif4ebp2,,,,,,Was,Bak1,Bicd1,Gsta4,Sntb1,Stub1,Bmp1,Serpina3n,Cdon,Filip1,,,
Trim12c,Tsn,Smarca5,Cd81,Rps27a,Daam1,H2bc14,Cyp4v3,,,,,,Vmn1r61,Snx15,Gm1976,Ubxn7,Cdc42,Phc3,Psmc3,Rpl27a,Cacng1,Tppp3,,,
Rsrc1,Tsc22d2,Eps15,Vps13b,Eef1b2,Gstt3,Cdc20,Edem1,,,,,,Nog,Pknox1,Trmt61a,Slc30a9,Lman1,Hlf,Hspa4,Rps23,Map1b,Ankrd2,,,
Mppe1,Dera,Itsn2,Atrn,Ncoa4,Pex5,Hoxa5,Ap2m1,,,,,,Sema3a,Sntg2,Taf1a,Nr5a2,Slc26a1,Gtf3c2,Gna12,Aldh3a2,Mustn1,Ano10,,,
Rap2a,Atp2c1,Cr1l,Oxr1,Cyp1a2,Znfx1,Prom2,Uba1,,,,,,Btc,Zfp995,Itgb3bp,Nceh1,Eif1,Usp40,Ipo7,Rpl23,Igfbp6,Ubac1,,,
Chic2,Apool,Pdk1,Maged1,Rps27l,Cul3,Ankrd1,Tgoln1,,,,,,Cacna1f,Vps37c,Spice1,Snx9,Selenot,Mrpl9,Edf1,C4bp,Syngr1,Dtna,,,
Dpagt1,Amd1,Ces2g,Arfgef2,Amy1,Ulk2,Cnksr1,Slc17a2,,,,,,Foxo6,Manba,Bcl2l12,Acsf2,Ces1g,Maco1,Smoc1,Rps5,1700120C14Rik,Cystm1,,,
Ganc,Trio,Pcnx1,Ash1l,Slc25a3,Sh3d19,Lrrc17,Slc39a14,,,,,,Greb1l,Cmtm3,Zfp59,Map2k3,Hnrnpu,Acap2,Klf15,Rps15,P2rx5,Acss1,,,
Cog1,Timm17b,Epb41l2,Derl1,Me1,Frmd4b,Cbr3,Mgll,,,,,,Cxcl10,Slc25a36,Bex1,Setx,Ceacam1,Snord104,Akap13,Leap2,Rab11fip5,Etl4,,,
Psmb9,ENSMUSG00000074521,Abhd17c,Ggcx,Usp9x,Gprin3,1700120C14Rik,Sod2,,,,,,E2f1,Ctns,Laptm4b,Elob,Nr1i3,Bet1,Kif5b,Hadha,B3galt2,Ppp1r1a,,,
Mxi1,Sulf2,Acss3,Myo10,Cyc1,Echdc1,Pak6,Aox3,,,,,,Sema5b,Camta2,Shq1,Ifi27,Ptprj,Nus1,Reep3,Ubb,Rbp7,Iqsec2,,,
Inhba,Nfs1,Pik3c2a,Rbm39,Pcbd1,Usp4,ENSMUSG00000084843,C2cd2,,,,,,Lox,Zkscan5,Col13a1,Cct2,Aplp2,Mthfsl,Rab1a,Fmo3,Klhl23,Rcan2,,,
Ddhd2,U2surp,Cyfip1,Ndufb5,Plec,Sorbs2,P2rx5,Gclm,,,,,,Rptn,Poc5,Klhl4,Pmpca,Myo1b,Nrp2,Kpnb1,Dmgdh,Nr4a1,Sgcg,,,
Pdhx,Rps6kb1,Tapt1,Nucb1,Rpl39,Aacs,Mmp11,Gns,,,,,,Ebf1,Prkra,Ccne2,Mapk1ip1l,Slc6a13,Glod4,Lrpprc,Rpph1,Retnla,Rbm24,,,
Erh,Mtch1,Ywhag,Fxyd1,Ptprf,Ap3d1,BC048679,Slco2b1,,,,,,Slc5a1,Tsen34,2210417A02Rik,Gbp7,Nrn1,Ehmt2,Smlr1,Myl6,Cfd,Fkbp3,,,
Actr6,Kdelr1,Ddx50,Osbpl9,Skp1,Prpf19,Amhr2,Gamt,,,,,,Xlr3a,Zfp738,AU021092,Ssh2,Tmem106b,Polr2i,Cox5a,Rps7,Dnase1l1,Itm2a,,,
Trmt2a,Ints6,Ttc17,Wwp1,Sult2a1,Cab39,Siglecg,Hagh,,,,,,Flg2,Mcm2,Grid1,Hp1bp3,Ncor1,Mlx,Rps18,Por,Cd200,Sgca,,,
Col6a2,Phlpp1,Ppp2r1a,Mmd,Man2a1,Il13ra1,Tmod2,Sdc2,,,,,,Pthlh,Taf7,Adipoq,Lrba,Akr1a1,Tmem243,Xdh,Prlr,Cdc42ep3,Sdr39u1,,,
Lurap1l,Tmem170b,Abhd14b,Ces2a,Cd164,Nit1,Plxna3,Fech,,,,,,Kdf1,Prkx,B3gntl1,Top1,Gpi1,Otud6b,Tsc22d3,Hsp90aa1,P2ry2,Klhl40,,,
Usp45,Arap1,Mrpl13,Baz1b,Clpx,Adipor1,Rbp7,Rnf128,,,,,,2500004C02Rik,Lancl2,Cnrip1,Ammecr1l,Tst,Ccdc107,Slc47a1,Tdo2,Msln,Lgals1,,,
Prkg1,Tbca,Myo5b,Nsd1,Uqcrfs1,Ewsr1,Hoxc6,Acadsb,,,,,,Spock3,P3h3,Tmem120b,Taldo1,Caprin1,Higd2a,Ap2m1,Uba52,2310008N11Rik,Epm2a,,,
Med22,Stx5a,Trim24,Sidt2,Fdps,Rab2a,Phgdh,Hyou1,,,,,,Trim30d,Fzr1,Sergef,Spop,Als2,Wdtc1,Larp4,Rps19,Lypd6,Neurl1a,,,
Axin2,Colgalt1,Emc7,Lsr,Ndufa3,Ep400,Ccnb2,0610005C13Rik,,,,,,Ipcef1,Foxa1,Ift43,Yy1,Sec16a,Nr2c2,Ppm1k,Rida,Kcnq5,Schip1,,,
Rsf1,Il4ra,Ppp4r3a,Igf2r,Rack1,Adhfe1,Ankef1,Dpp4,,,,,,Fcrlb,Itfg2,Rgs1,Dera,Itga1,Siae,Rapgef4,Afm,Fsd1l,Cacna1a,,,
Syf2,Ahr,Ppfibp1,Slc17a4,Hgfac,Ahcyl1,Cyb561,Stab2,,,,,,H2ac21,Saysd1,Hmces,B230219D22Rik,Slc25a39,Slc48a1,Isoc1,Acad11,Abcb1b,Alpk2,,,
Traf4,Brox,Pdap1,Rora,Ugt2a3,Eif4g3,Abca12,Sec61a1,,,,,,Dok5,Plk2,Ccdc125,Xpo1,Hykk,Tspo,Vipr1,Trf,Camk2b,Fbln2,,,
Arsb,Dnajb2,Tle1,Ahctf1,Rpl10a,Ufc1,Tnfrsf13b,Abca8a,,,,,,Ssbp4,Ctdspl,Mup19,Atp2c1,Tkfc,Tmem208,Arhgap35,Pygl,Tmem117,Cap2,,,
Ghdc,Tfg,Psmc5,Akr1c13,Gnas,Strap,Il20rb,Rad23b,,,,,,4833412C05Rik,Tnfrsf14,Ada,Nab1,Pdcd4,Eif4e,Mtpn,Slc22a1,Mcf2l,Fhip1a,,,
Foxk2,Fcgr2b,Gstm7,Ythdf3,Rarres2,Ppp6r1,Orc1,Grn,,,,,,Snap25,Ncbp2,Elk1,Stard5,Nadk2,Nfix,Phb1,G6pc1,Ace,Lmcd1,,,
Pi4k2b,Mug2,Zfp638,Mt1,Pten,Parp14,Hmgn3,Nqo2,,,,,,Slc25a14,Hmg20a,ENSMUSG00000084235,Bptf,Arl1,Fus,Sod2,Naca,Hspb3,Zbtb47,,,
Aqp4,Strn3,Rrp1,Qki,Rpl5,Ubxn1,Cdh19,Dst,,,,,,Drd1,Cc2d1b,Rce1,ENSMUSG00000074521,Rpl14,Mien1,Srpra,Ugp2,Phospho1,Amot,,,
Tbl2,Pds5b,Nedd4l,Lrp5,Gldc,Septin2,Adrb3,Dsp,,,,,,Ly6c2,Rassf2,Dync2i1,Nfs1,Erbb3,Ank,Iyd,Acadvl,Slc16a3,Mgp,,,
Crybg3,Ndufs7,Tnpo3,Srp54a,Ppia,Aamp,Pycard,Ilrun,,,,,,Snord34,Il17rc,Tctn2,Mtch1,Oaz1,Pdcd10,App,Fau,Lyz1,Sgcd,,,
Clstn1,Spred1,Usp8,Nbeal1,Mcfd2,Szrd1,Lbx1,Egfr,,,,,,Gabra4,Polr3f,AW554918,Adam9,Rnaset2b,Nomo1,C2cd2,Acaa1b,Myl9,Shisa2,,,
Scaf4,Chtf8,Lamtor1,Zfp91,Insig1,Pls3,Kntc1,Slc31a1,,,,,,Hs3st4,Rfxank,Klk1b4,Fam32a,Gckr,Acot1,Ppp2ca,Atp5mk|Gm35857,Lsp1,Large1,,,
Synpo,Bcr,Ctso,Epb41,Rpl22,Slc25a10,Lypd6,Pcbp2,,,,,,Tcf19,Zfp938,Rgcc,Pon3,C8b,Pex2,Hsdl2,Ambp,Flrt2,Lrrc20,,,
Pphln1,Lrrfip1,Prg4,Map1lc3b,Cyb5b,Igfbp7,Kcnd3,Evi5,,,,,,Duxbl1,Mfap1b,Spi1,Psmd7,Sptan1,Hjv,Nnmt,Rpl10,Upk3b,Asb2,,,
Hlcs,Immp2l,Rap1a,Decr2,Mocs2,Anapc5,Mmp3,Xiap,,,,,,Gpatch3,Cep152,Acap3,Mocs1,Slc22a30,Stag1,Pik3r1,Rpl11|Gm57721,Fhod3,Sypl2,,,
Anapc2,Ptk2b,Rapgef1,Ugt1a6a,Akr1d1,Ptpn11,Rtl3,Arrdc3,,,,,,Il31ra,Gm14295,Gtpbp6,Eng,Vwa8,Cep20,Igfbp7,Cat,Sync,Snta1,,,
Mvd,Pts,Atad1,Ctsa,Sec61g,Dusp6,Dclk1,Ppp1cb,,,,,,Cys1,Commd10,BC028528,Fcgr2b,Magt1,Rbx1,Syne2,Scd1,Plcd4,Tgfb3,,,
Casd1,Trim26,Cnot6l,Notch2,Cox7a2,Agmo,Krt32,Herpud1,,,,,,C1qtnf3,Katnbl1,Aplf,Eif3k,Mgam,Eva1a,Apol7a,Rpsa,Sema3c,Adsl,,,
Rgs3,Rars1,Eny2,Bgn,Dync1h1,Atf4,Traip,Upp2,,,,,,Fsbp,Fbxo4,Snhg3,Strn3,Ddi2,Epb41l5,Nr1h3,Hamp,9330159F19Rik,Art3,,,
Mrps11,Sco2,Mea1,Prdx2,Cpb2,Gstm2,Il1r2,Deptor,,,,,,Mogat1,Med17,Rnf150,Ndufs7,Habp2,Nap1l4,Colec10,Cox7b,Sulf1,Oaz2,,,
Mcts1,Atg5,Cnot8,Prkar1a,Psma7,Ebpl,Tmem117,Hmgcl,,,,,,Brdt,Zfp267,Exoc2,Spred1,Calm1,Zfp970,Stip1,Fasn,Egflam,Unc45b,,,
Asap1,Nudt9,Fcho2,Klhl24,Gstt1,Cab39l,Lrrn4cl,Trap1,,,,,,Saxo2,Camsap3,Col5a3,Bmpr1a,Lrrc3,Ptpra,Hyou1,Pemt,Tmem52,Mlf1,,,
Zfp646,Tm2d2,Tbcel,Cfl1,Pank1,Kidins220,Myrip,Dpys,,,,,,Plekhn1,Piezo1,2810021J22Rik,Psmb2,Dnajc3,Acp1,Ptbp3,Atp5f1e,S100a4,Clip4,,,
Naa80,Cript,Abhd3,Psmc1,Pnpla7,Smarcc2,Galnt17,Ifitm2,,,,,,Egr2,Pdss2,Pitpnm1,Timm13,Rpl36al,Gdf2,Chd4,Gapdh,Ankrd9,Dnaja4,,,
Ssh1,Mtx2,Tmem50a,Ppp6r3,Slc37a4,Actr3,Ccn3,Jak1,,,,,,Slco1a6,L3mbtl3,Bmp4,Ptgr2,Hadhb,Cul5,Rab43,Apon,Cand2,Shisa4,,,
Csgalnact2,Zmiz1,Zdhhc9,Abca8b,Hibadh,Cops5,Acsl6,Cct5,,,,,,Klhdc8a,Myd88,Pars2,Irs1,Apom,Cast,Tcf25,Mug1,Gpr157,Dennd4b,,,
Ubqln2,Zmynd11,Flt4,Rock2,Gpt,Pex19,Endou,Hnrnpf,,,,,,Agrp,Lpcat1,Ppard|1810013A23Rik,Pts,Dstn,Smim20,Cideb,Fgg,Trim16,Rbm20,,,
Tmem186,Sars1,Puf60,Hsd17b10,Rpl27,Capza2,Wt1,Os9,,,,,,Rab7b,Serf1,Vamp1|E130112N10Rik,Ptgr3,Ifitm3,Nek6,Luc7l2,Apoa4,Asb18,Rab12,,,
Rps2,Slc30a5,Wbp2,Clec4f,Pdia4,BC004004,Lyz1,Ndufs1,,,,,,Cfap161,Map2k6,Pde5a,Atg5,Tmem256,Msrb3,Mprip,Itih4,Chrnb1,Rangrf,,,
Dgkz,Cacybp,Naxe,Psmb3,Hspe1,Nr1h4,Gsdmc,Tubb2a,,,,,,Tc2n,Alkbh1|Nrp,Mad2l1,Ide,Tm9sf2,Tm9sf4,Rad23b,Rps3a1,Cdpf1,,,,
Iftap,Cyp4f13,Zfp207,Dcaf8,Rnf13,Bclaf1,Hcar1,Anpep,,,,,,Shisal1,Osbpl5,Ralgps1,Stom,Aifm1,Mrpl20,Ppm1a,Serpinc1,Cilp,,,,
Extl1,Utp6,Ttc3,Gne,Sqstm1,Slc16a12,Ebf2,C130074G19Rik,,,,,,Npl,Tmem267,Ndn,Iars2,Pebp1,Dvl1,Wdfy3,Ndufb9,Smco1,,,,
Stx17,Imp4,Vps26a,Sec24c,Hsd17b6,Sec16b,Bmpr1b,Gabarap,,,,,,Zfp579,Tsr2,Nos1ap,Psma5,Nisch,Rnf144b,Pnpo,Bdh1,Evc,,,,
Plcb1,Klhdc2,Rabep1,Chmp2a,Eif4a1,C4a,A530016L24Rik,Dlst,,,,,,Pidd1,Il18bp,Exd1,Atp2b1,4931406C07Rik,Lamtor5,Slc16a12,Adipor2,Kcnb1,,,,
Acp6,Pja1,Api5,Mlec,ENSMUSG00000089617,Tmem14c,Upk1b,Aco1,,,,,,Sprr2j-ps,Ikbke,1110038F14Rik,Rpn1,Pbld1,Dad1,Nqo2,Abca1,Snai3,,,,
Dhrs7c,Ik,Shc1,Sult3a1,Atp2a2,Cyp4f15,Best3,Rdh16,,,,,,Wnt3,Gemin5,Bbs5,Mme,Rpl13,Tm6sf2,Dsp,Agt,Kcna7,,,,
Slc25a36,Kmt5b,L2hgdh,Car8,Upb1,Acsm3,Ptger3,Tcp1,,,,,,Myh7b,E130311K13Rik,Klhdc8b,A730008H23Rik|Hjurp,Pttg1ip,Thoc7,Cdv3,Ugt2b36,Asb5,,,,
Zer1,Lsm14a,Rpl7l1,Aldh1a7,Rpl27a,Retreg3,Rin1,Fam120a,,,,,,Nalf2,Eral1,Slc37a1,Zmynd11,Flnb,Msmo1,Slc16a7,Cyp2a12,2310022A10Rik,,,,
Cdk2ap1,Tmem242,Ltn1,Gucd1,Lipa,Letm1,Cd79a,Zbtb20,,,,,,Cntf,Bace2,Fam219a,Cpne3,Psma4,Slc30a1,Timm8b,Hsd3b7,Itgb6,,,,
Tmem222,Selenos,Kyat1,Ppa1,Reep6,Rer1,Sema3b,Agmat,,,,,,Gm10532,Mrm2,Zfp169,Ociad1,Acadl,Tor1b,Txnip,Upp2,Reep1,,,,
Prkra,Irf2bp2,Hnrnpul1,Fcgrt,Aldh3a2,Psma2,Mamstr,Gpld1,,,,,,Shbg,Pgs1,Lrrn1,Brk1,Paics,Add1,Ccl9,Rpl35,Dusp10,,,,
Bicd2,Washc5,C1qbp,Psmb1,Pgk1,Gpd2,Trarg1,Arf1,,,,,,Rasl12,Ripor1,Prkcb,Gfm1,Glyat,Dus1l,Bloc1s1,Etfb,Dok7,,,,
Triap1,Med8,Idi1,Ube2l3,Ang,Acat2,Diras2,Sec24a,,,,,,Fbxo16,Exoc8,St6galnac4,Csf1r,Furin,Abcf2,Abcc9,Proz,Plpp7,,,,
Lrrc39,Dph3,Rbl2,Dynlt3,Rpl23,Mga,Pdlim4,Slc4a4,,,,,,Arhgap15os,Rbm14,Eml5,Trak1,Ccs,Dnajc11,Faah,Paqr9,Cst6,,,,
Pex11b,Cstf2t,Noct,Mycbp2,Rpl3,Psme1,Chst11,Shmt1,,,,,,Zfp1004,Iqce,9530026P05Rik,Srp9,Bmpr2,Dele1,Slc22a26,Rps21,Hspb2,,,,
Map2k1,Cdk12,Idh3a,Cct3,Cycs,Txnip,Col8a2,Dennd5b,,,,,,Gm10637,Vipas39,Il34,Ssr1,Snord17,Atg9a,Atp5f1d,Reln,Dand5,,,,
Mecp2,Hnmt,Pard3,Mmp19,Rps5,Tulp4,Riiad1,Rmnd5a,,,,,,ENSMUSG00000115697,Gga3,Trdmt1,AU022252,Cflar,Mesd,Ube3a,Serpina3m,Slco5a1,,,,
Phc2,Galt,Man1a2,Cd36,Rdx,Mtor,Lvrn,Rab7,,,,,,Vmn1r77,Tbc1d10a,Spn,Vamp8,Cpn1,Tymp,Fam210a,Pck1,Sh3rf2,,,,
Smyd2,Cd151,Krcc1,Cldn12,Hsd17b13,Cope,Lypd3,Idh3b,,,,,,Bmp8a,Rnf26,Bloc1s4,Fnip2,Gpt2,Mrpl1,Cyp2d22,Hgd,Igdcc4,,,,
Lrch3,Stard13,Afg3l1,Sbno1,Tmed2,Sepsecs,Sfxn4,Serpina1d,,,,,,Sox17,Tsen15,Casp1,Osbpl8,H1f0,Cpsf6,Pank3,Hsp90ab1,St3gal2,,,,
Npr1,Capza1,Calm3,Arfgap2,Leap2,Dcun1d1,Drp2,Alas1,,,,,,Slc15a1,Eif1b,Nlgn2,Col3a1,Tmem183a,Ifi27l2a,Hspb8,Rpl34|Rpl34-ps1,Bst1,,,,
Rab24,Ubap2l,Atxn2,Ugt1a5,Hadha,Clta,Fap,Dhdh,,,,,,ENSMUSG00000083457,Fam222b,Ufsp1,Mgat1,Srrm2,Sil1,Ctnnd1,Rpl15,Podxl2,,,,
Epha2,Manea,Atp8b1,Hpgd,Slc25a25,Sp1,Ncs1,Eci2,,,,,,Fbxl22,Frmd4a,Dnaaf2,Ern1,Sdhb,Gbp10,Sdr42e1,Ndrg2,Popdc2,,,,
Uspl1,Slc15a4,Usp25,Kmt2d,Myl6,Secisbp2l,Klk14,Cyp2f2,,,,,,Rergl,Cep162,Podn,Tufm,Pdia3,Stim1,Pccb,Atp5pb,Hspa1l,,,,
Ebna1bp2,Timm44,Churc1,Nono,Rps7,Pcca,Fads2b,Pgm1,,,,,,Cenpw,Atp13a2,Il2rb,Ggnbp2,Hpn,Mkks,Pcsk6,Arg1,Ly6a,,,,
Them4,Ski,Rptor,Herc2,Cyp17a1,Palld,Asns,Gjb2,,,,,,Nckap5l,Xpa,ENSMUSG00000112639,Naa60,Tmsb4x,Btaf1,Ecpas,Canx,Tmc7,,,,
Kpna2,Mmp14,Klb,Akap9,Rps4x,Slco1a1,Prx,Tns1,,,,,,Hbegf,Rab29,Bend4,Cd151,Ces2e,Atp6v0c,Rps28,Hamp2,Ehd2,,,,
Desi2,Ctss,Purb,Mrc1,Creb3l3,Ap2b1,Vsig8,Sec14l4,,,,,,Calcb,Zfp870,Lrrn4,Ergic2,Hipk3,Tnxb,Anpep,Abca6,Acta2,,,,
Agtpbp1|A230056J06Rik,Ifnar1,Etfrf1,Mcl1,Por,Trpc4ap,Rrad,Ldlr,,,,,,Blnk,Gprasp1,A630072M18Rik,Naprt,Alad,Snora78,Mknk2,Cyp3a41a,2310020H05Rik,,,,
Cd38,Dgcr6,Ube3c,Sult2a2,Prlr,Cdc42bpb,Xpnpep2,Ubr3,,,,,,Lgi2,Dhx58,Tceal1,Zfp706,Stab1,Ctbp1,Lrrc58,Prdx1,Slc35e4,,,,
Saysd1,Txndc15,Usp32,Prrc2c,Hsp90aa1,Pals2,Arpp21,Sdf4,,,,,,Alx4,Pibf1,Selenoh,Mccc2,Aldh9a1,Plbd2,Helz2,Cyp2c29,Plp2,,,,
Ctdspl,Pgghg,Zkscan1,Ankrd17,Sc5d,Sp3,St8sia6,Slco1a4,,,,,,Pip5kl1,Clcn5,Ints13,Rlim,Psmb6,Aff1,Tns3,Slc38a3,Chac1,,,,
Clns1a,Hspa4l,Pacsin2,Sec63,Ptp4a1,Txnl1,Scx,Neat1,,,,,,Tmem116,Ppan,Papln,Sgms2,Hsd3b3,Cobll1,Onecut2,Fah,Plet1os,,,,
Tmod1,Ywhah,Vps41,H3f3b,Uqcr10,Lasp1,Eid2,Glyctk,,,,,,Cx3cr1,Nt5c3b,Zfp653,Xpo7,Tomm70a,Rnf152,Ddah1,Eif4g2,Yipf7,,,,
Arhgef6,Mrpl2,Taf10,Ddx17,Rplp0,Kif21a,Chst3,Cct6a,,,,,,Itgae,Zfp960,Micall2,Itgav,Plxnb2,Nectin1,Rpl26,Nit2,,,,,
Emc10,Mark3,Stat2,Cnn3,Ssr3,Psma6,Scgb1a1,Scarb1,,,,,,Osbp2,Epn2,Hsf4,Acsl4,Entpd5,Arl8b,Scap,Plin2,,,,,
Polr3f,Lrrc8d,Sra1,Snrnp200,Rps19,Derl2,Zic1,Sppl2a,,,,,,Samsn1,Hexd,Zfp697,Cdc37,1600014C10Rik,Mrpl57,Opa1,Cox4i1,,,,,
Sin3b,Tmem126a,G3bp1,Ivns1abp,Gpam,Spcs3,D330041H03Rik,Chdh,,,,,,Tsks,Frmd6,ENSMUSG00000089726,Slc15a4,Rpl18a,Syngr2,Tecr,Ece1,,,,,
Apex1,Odr4,Lrp4,Stag2,Tmem205,Eif3e,Tgfb2,,,,,,,Slc66a3,Sirt4,Naaa,Hsd17b8,H6pd,Uqcc2,Tuba1c,Ghr,,,,,
Pfdn6,Rapgef2,Atad3a,Rdh9,St13,Ggact,Arxes2,,,,,,,Pitx2,Ift88,Cxcr6,Psmd11,Txn1,Sgta,Lyst,Ttpa,,,,,
Shfl,Zfp809,Kdm5a,Ugt1a6b,Gys2,Trip11,Fzd10,,,,,,,Vmn2r69,Cradd,Klk1,Raf1,Rpl28,Acy1,Ugt2b35,Atp5me,,,,,
Abra,Sec23ip,Anapc1,St3gal1,Ak3,Btd,Vwa7,,,,,,,Vmn2r44,Cbll1,Thsd1,Tjp1,Serpina11,Dglucy,Stard7,Lcat,,,,,
Cask,Socs4,Emc3,Bmp1,Acad11,Nfe2l2,Cxcr5,,,,,,,Tmem255b,Zbtb2,Loxl3,Irgm1,Cyp2d9,Rnf6,Tgm2,Ces1c,,,,,
Piezo1,Ccar1,Mbnl2,Rgs16,Dcaf11,Rb1cc1,Rspo1,,,,,,,Tm4sf5,Nup188,Etv1,Clptm1l,Hebp1,Twsg1,Retreg1,Rps29,,,,,
Exoc6,Tmem64,Sdcbp,Psmc3,Btf3,Brd2,Rab38,,,,,,,Gata2,Cdk19,Cbx7,Pdzd8,Hint1,Dusp1,Rab7,Cyp2e1,,,,,
Atg101,Snap47,Ube2l6,Gna12,G6pc1,Itprid2,Trim59,,,,,,,Clhc1,Ppox,Cdkn2c,Nktr,Oxr1,Mafg,Gcsh,Cfb,,,,,
Zfp946,Pcp4l1,Tmem248,Golim4,Naca,Mknk2,2610028H24Rik,,,,,,,Pcdha5,Pirb,Dbf4,Miga2,Maged1,Smim14,Hs6st1,Alas1,,,,,
Czib,Ncstn,Nav2,Ipo7,Mia3,Stau1,Klk11,,,,,,,Ccn6,Hand2,Itga2b,Smarca5,Ndufb4|Ndufb4c|Ndufb4b,Csnk2b,Calm2,Eci2,,,,,
Armc8,Yod1,Nedd8,Bpnt2,Fau,Vdac3,Gpr15lg,,,,,,,Entpd2,Slc22a29,Lrit2,Dtx3l,Ash1l,Sult1b1,Aff4,Hpx,,,,,
Tbrg4,A930011G23Rik|Rasgef1b,Ulk1,Txnrd1,Srebf1,Aldh1b1,Dok7,,,,,,,Nxpe3,Polh,Cmtm7,Tnks2,Amfr,Nlrp12,Sh3glb1,Gjb1,,,,,
Prkci,Nptn,Tfpi2,Scaf11,Acaa1b,Anapc13,Kcnk3,,,,,,,H2bc13,Snai2,Kera,Eps15,Col14a1,Tmpo,Prox1,Cox7c,,,,,
Dusp22,Enpp3,Litaf,Atxn7l3b,Eif4a2,Ube2h,Aloxe3,,,,,,,Cfap126,Cd53,Tspan2,Itsn2,Rps20,Cdc73,Chuk,Apcs,,,,,
Mtr,Wdr48,Fkbp5,Smoc1,Atp5mk|Gm35857,Hdgf,Blk,,,,,,,F830045P16Rik,Tlr3,Ikzf2,Cr1l,Rbm39,Ikbkg,Lpin1,Got2,,,,,
Alkbh3,Bms1,1810055G02Rik,Clic4,Eno1,Arf4,Lgi4,,,,,,,Bnipl,Ripk4,Mxra8,Pdk1,Copa,Irs2,Arfgef1,Inmt,,,,,
Ikbke,Memo1,Mgat2,Klf15,Rpl11|Gm57721,Lyst,Hs3st5,,,,,,,Epb41l4a,Dip2a,Sys1,Tmed10,Arhgap5,Inppl1,Park7,Khk,,,,,
Sltm,Atp1b3,Lgalsl,Hipk2,Atp5mj,Net1,Cacna1c,,,,,,,Cacna2d3,Fam50a,Tmem67,Ces2g,Etfa,Cox16,Clmn,Rps14,,,,,
Zfp36l2,Snap29,Cops6,Xbp1,Lipc,Bnip3l,Itga11,,,,,,,Csf2ra,Bcl2l11,Setmar,Hs3st3b1,Qsox1,Mff,Kat2b,Insig2,,,,,
Pak1ip1,Tcf4,Elk4,Akap13,Ctnnb1,Cd2ap,Kcnc4,,,,,,,Gabrr2,Alg14,Eda2r,Tmem64,Papss2,Mrps18a,Ndufs6,Tpt1,,,,,
Cep170b,Ubp1,Aqp11,Kif5b,Psma3,Spin1,Fam13c,,,,,,,Naip6,Itpk1,Lrfn3,Pcnx1,Ppib,Ptprc,Myo18a,Atp5f1b,,,,,
Rnf185,Mars1,Dlat,Reep3,Bche,Rtraf,Gpnmb,,,,,,,Atp2b3,Asap2,Col20a1,Polr2b,Ndufs2,Gatb,Usp24,Aass,,,,,
Setd1a,Zfp318,Capn2,Aox1,Suclg2,Tmem33,Myoc,,,,,,,Nrip3,Cbx2,Arhgap20,Epb41l2,Bphl,Ppp1r37,Sdhc,Comt,,,,,
Asb8,Tbc1d20,Slc25a20,Lars2,Atp5f1e,Carhsp1,Myod1,,,,,,,Npy4r,Ttc21b,ENSMUSG00000092368,Pcp4l1,Slc40a1,Kmt2e,Zhx3,Fmo5,,,,,
Dnmt3a,Vps26b,Eif5b,Perp,Apon,Paip2,Gxylt2,,,,,,,Nacad,Atp2b2,Pierce2,Abhd17c,Sidt2,Pnpla2,Psmc6,Rps25,,,,,
Strn4,Pafah1b2,Bnip2,Rab1a,Nme2,Bltp3b,Stc2,,,,,,,Tmc8,Vamp4,Hmga1,Ipo8,Ces3b,Iars1,Nrp1,Hspa8,,,,,
Adap2,Zdhhc3,Slc39a8,Kpnb1,Esd,Degs1,Aqp7,,,,,,,Tmem44,Alg2,Smyd3,Acss3,Met,Pura,Mylk,Dnaja1,,,,,
Ctsf,Ppm1f,Zfp266,Lrpprc,Ndufa7,Arhgap42,Tmem178b,,,,,,,Bcas1,Hinfp,Dusp28,Pik3c2a,Lsr,Hcfc1r1,Sh3bgrl,Abcc2|Gm10768,,,,,
Gadd45gip1,Usp3,Pik3ap1,Psmd4,Rps3a1,Abcg5,Rhbdl3,,,,,,,Spata9,Prcp,Ccdc166,Ctsc,Eef1b2,Tmem254,Ndufb7,Mtarc2,,,,,
Jsrp1,Mpzl2,Rangap1,M6pr,Ndufb9,Gspt1,Dusp13b,,,,,,,1700016L21Rik|Gm38673,Ogfod1,Apobec3,Crls1,Gpd1,Map3k5,Spag9,Tmprss6,,,,,
