FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Rffl,Denr,Lrat,Serpina7,Sar1b,Aup1,Rab7b,Fkbp4,Akr1c6,Slc25a47,Csrp3,Tmsb4x,Fbn1,Mlc1,Mblac2,Ap3m2,Nploc4,Tmem176b,Hint3,Gng5,Cd302,Agbl1,Synpo,Cacna2d1,Aco2,Rrp9
Tbc1d23,Oxsr1,Supt5,Rnf141,Bnip3,Ak4,Myh7b,Brap,Thrsp,Slc27a5,Trdn,Stab1,Tuba8,Amh,Pex12,Ripk3,Glrx3,Cyp2c40,Rnf115,Utrn,Angptl3,Ky,Gyg1,Mdh2,Rdh7,Klc2
Prkag1,Cops7a,Impa1,Prodh2,Abhd2,Ndufa8,Rasl12,Tspan31,Apoe,Proc,Myom1,Ran,Tead1,Stambpl1,Nfrkb,Alkbh2,Commd3,Sema4g,Ubqln4,Mup17,Cox6c,Ptgfr,Mettl22,Myh6,Sephs2,Col1a1
Tmem63a,Abcf1,Acp5,Chchd3,Cmbl,Cmpk1,Vwa1,Pdhb,Hp,Serping1,Obscn,Pfdn5,Ipo13,Crisp3,Kptn,Tmem8b,Usp5,Cxcl12,Mrps24,Lyz2,Eif4g1,G6pc3,Dhrs7c,Tmod4,H2-D1,Eif4e3
Zap70,Ppm1l,Rhobtb1,Mrpl12,Hectd1,Fggy,Dipk1b,Cyp2c38,Rpl32,Ugt2b5,Fabp3,Snora74a,Hspb7,Homer3,2310010J17Rik,Nfkbie,Hnrnpa1,Serp1,Saa2,Hipk1,Abca3,Cdnf,Lrrc39,Idh3g,Apoa1,
Rxrb,Tnrc18,Setd5,Dhrs1,Chchd10,Ddrgk1,Bnipl,Fetub,Mat1a,Sptbn1,Tnnt1,Pdha1,Cav1,5730405O15Rik,Dclre1b,Kif26a,Gpd1l,Il6st,Ankle2,Rpl36,Slc2a2,Ttc9,Uaca,Lynx1,Sdc4,
Esrra,Flot2,Atp6v0b,Copb1,Atp5mc3,Colec12,Cacna2d3,Atp13a3,Rbp4,Idh1,Myoz1,Scarna6,Tnxb,Cdr1os,Caskin2,Tbkbp1,Lrat,Cox5b,Ncoa3,Timd2,Lonp2,Htra3,Tmod1,Smtnl1,Cyp2a4,
Cdk7,St3gal3,Rnf14,Lnpep,Cd302,Qprt,Nacad,Cfhr1,Slco1b2,Ldha,Myl2,Ndufb4|Ndufb4c|Ndufb4b,Gpx3,Gm10390,Orm3,Gdpgp1,Supt5,Cyp3a16,Naa15,1810008I18Rik,Apoc4,Mfsd4a,Arhgef6,Tpm2,Serpina1b,
Ubl7,Mmadhc,Myo1c,Pcdh1,Actg1,Suds3,Aldh1a3,Dld,Ndufa4,Slc38a4,Mybpc2,Rps20,Phka1,Usp35,Zfp72,Calhm2,Wasl,Cmbl,Gsk3b,Rpl30,F2,Arl2,Carnmt1,Pbxip1,Slc38a4,
Cog3,Dusp11,Cog4,Ccni,Eif4g1,Samm50,Mfsd4a,Wbp1l,Pigr,Rpl7,Tcap,Ccng1,Tmem65,Pitpnm3,Fbrsl1,ENSMUSG00000112880,Impa1,C1rl,Cltb,Fkbp4,Abat,Camta1,Phkg1,Csrp3,Cyp2b13,
Arfgap1,Srp14,Pikfyve,Itpr1,Tuba4a,Ddx1,Asb4,Phb2,Rps17,Psap,Txlnb,Map4,Fundc2,Cox6b2,Pelp1,Abcb9,Fat1,H3f3a,Asxl2,Eif3h,Hspd1,Sh3kbp1,Jsrp1,Trdn,C1s1,
Eps15l1,Clk1,Ip6k1,Papola,Bltp2,Cldn2,Ier3,Fkbp8,Rdh7,Ctsb,Tacc2,Eif3i,Akr1b1,Sgsm1,Xk,1190005I06Rik,Dctn2,Atp5mc3,Trappc11,Picalm,Rps8|Gm15501,6430571L13Rik,Pak1,Myom1,Hsp90b1,
Aak1,Slc43a3,Nipsnap3b,Utrn,Abca3,Calcrl,Slc6a17,Ephx1,Rps12,Stard10,Pygm,Ndufs5,Rragd,1700110I01Rik|Gm46464|Gm46465,Olfm3,Tigd5,Acp5,Chchd3,Prxl2a,Slk,Cox6b1,Esrrb,Itgb1bp2,Obscn,Gdi2,
Cdc26,Foxo1,Cdc37l1,Hipk1,Uqcr11,Rnf4,ENSMUSG00000085786,Serbp1,Kng1,Atp5f1a,Ldhb,Ndufa1,Pdlim7,Scn3a,Snip1,Cacna1d,Rhobtb1,Actg1,Gpc4,Pdhb,Lamp2,Ackr3,Cacnb1,Fxr1,Fabp1,
Mrpl3,Prxl2c,Reps2,Timd2,Lonp2,Tuba1b,Mgat3,St6gal1,Hdlbp,Gcdh,Eno3,Ndufb3,Usp13,Chrdl1,Pik3cd,Zbtb12,Setd5,Dhrs1,Abhd18,Eef1d,Uqcrh,F13a1,Rbm38,Fabp3,Tpi1,
Atg13,Mup20,Phldb2,Rab18,1810008I18Rik,Rab5c,Bex1,Cnot1,F5,Cfhr4,Apobec2,Uqcrq,Slc44a2,Med9os,Ripk2,Prim2,Atp6v0b,Lnpep,Tbc1d15,Trp53inp2,Aldh1a1|E030003E18Rik,Dpf3,Plaat3,Tnnt1,Ghitm,
Riox2,Zfp260,Rbm47,Actr2,Abat,Ninj1,Sfrp5,Slc25a13,Hmgcs2,Ces1f,Myot,Edf1,Map1lc3a,1700067K01Rik,Dnttip1,Sycn,Rnf14,Ak4,Rmdn1,Erap1,Apoh,Pmm1,Speg,Myoz1,Itih3,
Mrpl40,Dis3l,Tpmt,Fam91a1,Cyp2a5,Gnpnat1,Slc6a4,Ap3m1,Rps6,Inhca,Mef2c,Smlr1,Phtf2,Mbd4,Rwdd2b,Ctbp2,Myo1c,Bltp2,Zfand3,F7,Cfi,Gm16062,Prkab2,Myl2,Ugt2b1,
