x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
-1.5927372,15.036037,-14.595524,AT1G02780,FLT,11,2,4,9
-0.34523198,13.732306,13.584405,AT1G02800,FLT,0,14,2,6
9.472764,-12.803947,-5.578651,AT1G02810,FLT,17,5,20,2
-5.361855,11.494879,1.9033401,AT1G02813,FLT,0,13,2,1
7.9975653,-1.8083663,-17.29519,AT1G02816,FLT,17,7,3,14
-11.042309,1.8138818,-0.9422351,AT1G02820,FLT,0,13,2,1
-14.904142,2.7921965,-18.9769,AT1G02840,FLT,7,3,24,13
3.3037548,5.8418584,-0.7802782,AT1G02850,FLT,4,6,6,2
9.899802,-9.467975,-9.038739,AT1G02860,FLT,17,5,20,2
-4.510777,-5.4271736,-4.448549,AT1G02870,FLT,17,5,12,2
5.176338,5.6033845,-15.428711,AT1G02880,FLT,9,7,22,14
-16.086262,10.193011,-17.45169,AT1G02890,FLT,11,3,13,0
3.4871898,-21.999071,-4.6494784,AT1G02900,FLT,18,5,16,8
8.628954,9.845043,-5.2229614,AT1G02910,FLT,9,8,22,4
3.4269152,7.871628,0.89871705,AT1G02920,FLT,10,6,6,16
-5.4597106,8.331929,-16.468271,AT1G02930,FLT,11,1,4,9
1.8868005,3.8638756,19.482107,AT1G02940,FLT,0,14,0,6
16.710957,-1.1801748,5.4118557,AT1G02950,FLT,9,11,17,4
-2.7174754,-6.2599792,-10.638974,AT1G02960,FLT,17,6,12,2
15.837464,11.479524,6.29421,AT1G02970,FLT,0,10,15,6
-12.929034,10.741698,-0.009711099,AT1G02980,FLT,0,13,1,1
-2.802925,-1.1165833,1.3272634,AT1G02990,FLT,17,5,6,2
-1.1282475,-10.836331,-1.0315692,AT1G03000,FLT,17,5,5,2
13.446469,-2.6881468,6.1142125,AT1G03010,FLT,9,11,17,4
-15.834498,1.947839,-6.575638,AT1G03020,FLT,8,13,7,1
6.164626,8.174958,-8.685164,AT1G03030,FLT,9,7,22,14
2.8135133,1.7550429,6.2538695,AT1G03040,FLT,12,4,6,12
-20.912573,-11.764091,4.4401517,AT1G03050,FLT,8,13,8,1
-10.229319,13.895277,3.4521084,AT1G03055,FLT,0,13,1,1
-14.903734,-2.7163575,-17.26531,AT1G03060,FLT,7,3,24,13
-11.049915,7.4101906,13.4010515,AT1G03070,FLT,0,14,9,6
-16.459585,11.734138,-15.869761,AT1G03080,FLT,11,3,13,0
5.066551,-9.544148,2.622488,AT1G03090,FLT,12,4,5,12
14.465689,12.050674,4.850473,AT1G03100,FLT,0,10,15,6
-23.244308,-5.0680637,0.7102453,AT1G03106,FLT,8,13,8,1
2.7944078,3.4653347,-15.129116,AT1G03110,FLT,17,6,22,2
-12.204922,3.7340055,-3.524885,AT1G03120,FLT,8,13,7,1
-1.9469426,12.787687,-20.396343,AT1G03130,FLT,11,1,4,9
3.4317746,-21.580278,8.570206,AT1G03140,FLT,14,4,16,10
9.16231,9.213415,-11.924376,AT1G03150,FLT,9,7,22,14
-1.1591493,2.5465536,-10.153065,AT1G03160,FLT,4,6,22,2
-6.5688066,14.414195,5.715909,AT1G03170,FLT,0,13,2,1
18.518955,8.838633,8.767814,AT1G03180,FLT,0,11,15,6
8.31368,7.7355366,-14.796768,AT1G03190,FLT,9,7,22,14
-16.399769,11.927186,5.9183407,AT1G03200,FLT,0,13,1,1
0.4255498,-5.087461,-14.3168125,AT1G03210,FLT,17,6,12,2
-15.481848,14.21666,-12.377623,AT1G03220,FLT,11,3,13,0
4.409443,-22.648794,-0.85857314,AT1G03230,FLT,14,4,16,10
-21.12726,-8.200896,-2.3977199,AT1G03240,FLT,8,13,8,1
0.91416943,4.2688675,-10.654985,AT1G03250,FLT,17,6,22,2
19.255196,11.673017,-2.8202755,AT1G03260,FLT,9,8,11,4
16.145786,11.141181,8.99352,AT1G03270,FLT,0,11,15,6
9.544099,-18.10531,7.9704,AT1G03280,FLT,19,4,21,10
-1.2897015,-0.40174928,4.3779535,AT1G03290,FLT,12,4,6,12
7.0756493,9.95593,11.713091,AT1G03300,FLT,0,12,0,6
0.7057773,-19.218958,10.271806,AT1G03310,FLT,15,4,16,10
-16.094725,-2.5707324,-6.311505,AT1G03320,FLT,8,13,7,1
4.8334394,-2.777588,-16.736622,AT1G03330,FLT,17,6,3,2
-2.0705018,13.558212,11.17868,AT1G03340,FLT,0,14,2,6
3.5054262,-23.177042,1.9132261,AT1G03350,FLT,14,4,16,10
-4.2884493,-4.4848256,-6.403029,AT1G03360,FLT,17,5,12,2
-3.7753363,-6.3850584,0.7709208,AT1G03365,FLT,17,5,12,2
10.148371,-13.58579,1.124343,AT1G03370,FLT,12,4,5,12
3.544034,-23.186457,1.5794926,AT1G03380,FLT,14,4,16,10
2.030297,14.255864,10.983105,AT1G03400,FLT,0,14,2,6
20.377079,4.0666313,-8.118362,AT1G03410,FLT,9,8,14,4
19.950626,5.797032,-9.709306,AT1G03430,FLT,9,8,14,4
13.737322,12.342009,4.8261995,AT1G03440,FLT,0,10,15,6
