x,y,gene_id,Location,gmm,hdbscan,spectral,consensus
1.9817586,-42.918526,AT1G60110,0,2,15,17,9
-1.3741978,-35.01602,AT1G60130,0,20,15,17,9
60.083317,33.011333,AT1G60140,0,24,6,14,4
19.01371,-49.730587,AT1G60160,0,20,14,17,9
86.31429,12.093062,AT1G60170,0,10,0,14,3
-62.09123,-22.776875,AT1G60190,0,2,13,9,12
76.49428,26.73484,AT1G60200,0,21,6,14,4
-60.609226,60.427174,AT1G60220,0,14,9,8,10
-37.87006,47.925396,AT1G60230,0,20,11,12,14
13.036865,-46.893467,AT1G60270,0,2,14,17,9
-2.513421,-55.71678,AT1G60350,0,2,15,7,5
-47.340996,-10.677857,AT1G60360,0,2,13,1,12
-32.843025,-90.953995,AT1G60380,0,2,13,18,12
-21.292398,61.567078,AT1G60390,0,20,11,12,14
45.257298,51.530262,AT1G60420,0,24,6,13,4
-47.11302,43.466206,AT1G60430,0,14,11,11,6
4.294152,76.70793,AT1G60440,0,14,7,2,10
-47.019974,-25.757093,AT1G60460,0,2,13,16,12
24.468876,61.290287,AT1G60490,0,7,6,2,2
-23.718187,-67.08922,AT1G60500,0,2,15,16,5
-5.293009,9.334452,AT1G60505,0,20,12,5,8
5.3872657,26.877708,AT1G60525,0,20,12,3,8
-63.23279,-54.23745,AT1G60530,0,2,13,9,12
5.2761574,17.466625,AT1G60545,0,20,12,3,8
-33.963116,-15.768301,AT1G60550,0,2,13,1,12
-10.378736,15.791636,AT1G60560,0,20,12,3,8
-46.731815,-32.960983,AT1G60600,0,2,13,16,12
4.0195627,81.31577,AT1G60610,0,14,7,2,10
-32.28927,70.95115,AT1G60620,0,14,9,12,10
-50.706287,-36.506954,AT1G60630,0,2,13,9,12
61.372616,33.281643,AT1G60640,0,24,6,14,4
-55.335426,67.85409,AT1G60650,0,14,9,8,10
77.612015,-28.776423,AT1G60660,0,19,1,6,0
-46.098953,51.023262,AT1G60670,0,14,10,11,6
55.79741,42.833084,AT1G60680,0,24,6,13,4
-16.78533,15.286462,AT1G60690,0,20,12,5,8
-1.698504,19.524529,AT1G60700,0,20,12,3,8
51.043278,-44.792725,AT1G60710,0,13,2,19,13
-30.516472,-77.41452,AT1G60720,0,2,13,0,12
86.79563,-3.0321445,AT1G60730,0,3,0,6,0
9.794813,6.7374387,AT1G60740,0,20,12,5,8
