profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1663	flight	RR8_LVR_FLT_ISS-T_OLD_FI16	FL_ISS_16	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1664	flight	RR8_LVR_FLT_ISS-T_OLD_FI17	FL_ISS_17	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1665	flight	RR8_LVR_FLT_ISS-T_OLD_FI18	FL_ISS_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI19	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1666	flight	RR8_LVR_FLT_ISS-T_OLD_FI19	FL_ISS_19	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1667	flight	RR8_LVR_FLT_ISS-T_OLD_FI20	FL_ISS_20	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1668	flight	RR8_LVR_FLT_ISS-T_YNG_FI1	FL_ISS_01	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1669	flight	RR8_LVR_FLT_ISS-T_YNG_FI10	FL_ISS_10	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1670	flight	RR8_LVR_FLT_ISS-T_YNG_FI2	FL_ISS_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI3	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1671	flight	RR8_LVR_FLT_ISS-T_YNG_FI3	FL_ISS_03	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI4	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1672	flight	RR8_LVR_FLT_ISS-T_YNG_FI4	FL_ISS_04	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
