gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000027171	-0.3955338	-0.07568545	-0.018239144	0
ENSMUSG00000031539	-0.37637407	-0.07423872	-0.016300641	0
ENSMUSG00000022221	-0.38340268	-0.0706331	-0.0181514	0
ENSMUSG00000025410	0.16113067	0.023724169	0.0654013	0
ENSMUSG00000027332	0.38249066	-0.022341875	0.14263462	0
ENSMUSG00000025268	-0.3131973	-0.045122787	0.0023485622	0
ENSMUSG00000026519	-0.27132702	-0.06959208	-0.012197549	0
ENSMUSG00000043323	-0.3418387	-0.076836206	-0.007729016	0
ENSMUSG00000060803	0.8777409	0.33077386	-0.01119229	0
ENSMUSG00000026117	-0.24634972	-0.0331949	-0.07167695	0
ENSMUSG00000098912	-0.39509222	-0.07534795	-0.018134477	0
ENSMUSG00000062175	-0.38947055	-0.07545124	-0.017692659	0
ENSMUSG00000028035	-0.14815597	0.04931201	0.06700093	0
ENSMUSG00000039656	-0.27156118	-0.047318347	-0.005549827	0
ENSMUSG00000024955	-0.2480033	0.05311387	0.044436317	0
ENSMUSG00000018921	-0.34336743	-0.06436243	-0.0044915336	0
ENSMUSG00000032257	-0.39583915	-0.07559887	-0.018296577	0
ENSMUSG00000015342	-0.35133755	-0.07254329	-0.010249865	0
ENSMUSG00000047904	-0.39546844	-0.075593814	-0.018381096	0
ENSMUSG00000001348	0.02959527	-0.060356647	-0.01131419	0
ENSMUSG00000027965	-0.35842052	-0.07958216	-0.016264515	0
ENSMUSG00000031891	-0.39579532	-0.07560539	-0.0183006	0
ENSMUSG00000069089	-0.29804596	-0.05289793	-0.025158815	0
ENSMUSG00000027186	-0.39583558	-0.0756031	-0.018292107	0
ENSMUSG00000030934	5.652866	0.0016513285	-0.24020207	0
ENSMUSG00000040037	-0.3949484	-0.07437864	-0.017489584	0
ENSMUSG00000055720	-0.28102383	-0.0519537	0.009218132	0
ENSMUSG00000050213	-0.33348447	-0.06270115	-0.021750692	0
ENSMUSG00000054423	-0.39572302	-0.07513407	-0.018095806	0
ENSMUSG00000053914	-0.39560908	-0.07549657	-0.018211922	0
ENSMUSG00000097520	-0.39571327	-0.075589664	-0.018339	0
ENSMUSG00000019944	0.16239047	0.04563204	-0.0690682	0
ENSMUSG00000034893	-0.2556607	-0.055148922	-0.01674271	0
ENSMUSG00000034269	-0.017893622	-0.07346354	0.013567658	0
ENSMUSG00000044339	-0.3816142	-0.07376287	-0.01956696	0
ENSMUSG00000027575	-0.27112317	-0.055718627	-0.0055574803	0
ENSMUSG00000085162	-0.39570948	-0.0754126	-0.018260047	0
ENSMUSG00000040247	-0.3866153	-0.07357306	-0.017281028	0
