direction	term	clean_term	study_count	accessions	best_dgea_fdr_bh	best_glare_fdr_bh	mean_wald_stat_shift_mean	example_glare_clusters
down_in_flight	REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	Fatty Acid Triacylglycerol And Ketone Body Metabolism	3	OSD-137,OSD-168,OSD-48	1.1313554178541936e-06	1.325016576293957e-26	-0.32611613907114884	GC8;FLT7;FLT4;GC5;FLT2;FLT10;GC3;GC9;FLT7;FLT11;GC2;GC10;FLT3;GC6;FLT8;GC9;GC8
up_in_flight	REACTOME_ER_PHAGOSOME_PATHWAY	Er Phagosome Pathway	3	OSD-137,OSD-379,OSD-48	1.6200749142023647e-06	1.5749118979547739e-21	0.7231221391176806	GC3;FLT7;FLT10;FLT5;GC5;FLT6;FLT8;FLT8;GC6;GC8;FLT3
up_in_flight	REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	Cyclin E Associated Events During G1 S Transition 	3	OSD-379,OSD-463,OSD-48	1.8990133977918491e-06	3.627307996624965e-15	0.7096979891389856	GC3;FLT7;FLT5;GC5;FLT6;GC4;FLT4;FLT6
up_in_flight	REACTOME_S_PHASE	S Phase	3	OSD-137,OSD-379,OSD-48	2.2192310244853932e-06	5.739320474213391e-10	0.4879017789796687	FLT7;GC3;GC6;FLT1;FLT5;GC5;FLT6;GC3;FLT8;GC6;GC8;FLT3;GC2
up_in_flight	REACTOME_HIV_INFECTION	Hiv Infection	3	OSD-137,OSD-379,OSD-48	5.052760838906506e-06	1.6439479001227882e-10	0.41554740651547784	GC5;FLT6;FLT5;GC6;GC4;FLT9;FLT3;GC7;FLT7;GC3;GC7;GC2;FLT5;FLT3;FLT11;FLT8;FLT3;GC1;GC8;GC6;GC7;GC9;FLT2
up_in_flight	REACTOME_G1_S_TRANSITION	G1 S Transition	3	OSD-137,OSD-379,OSD-48	5.644235612027459e-06	6.825104443013828e-10	0.40003657141751886	FLT7;GC3;GC6;FLT5;GC5;FLT6;FLT8;GC8;GC6;FLT3;GC9
up_in_flight	REACTOME_CELL_CYCLE_MITOTIC	Cell Cycle Mitotic	3	OSD-379,OSD-463,OSD-48	5.644235612027459e-06	1.0551790004373312e-09	0.3346267730164088	GC5;FLT6;GC3;FLT1;FLT3;FLT5;FLT9;GC4;FLT4;GC4;FLT1;GC2;GC7;GC3;FLT2;FLT7;GC3;FLT1;GC2;GC6;FLT5
up_in_flight	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	Apc C Cdc20 Mediated Degradation Of Mitotic Proteins	3	OSD-379,OSD-463,OSD-48	1.026502604443171e-05	3.4025744396585487e-16	0.831660741436116	GC5;FLT6;GC6;FLT3;FLT7;GC3;FLT5;FLT4;GC4;GC7;FLT6;FLT2
up_in_flight	REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	Regulation Of Mitotic Cell Cycle	3	OSD-379,OSD-463,OSD-48	2.2527755764810675e-05	8.959518085118586e-15	0.7616342559059425	GC5;FLT6;FLT7;GC3;FLT5;FLT4;GC4;FLT6
up_in_flight	REACTOME_CELL_CYCLE	Cell Cycle	3	OSD-379,OSD-463,OSD-48	2.2527755764810675e-05	7.376031223584181e-09	0.3207188236962437	GC5;FLT6;GC3;FLT1;FLT3;FLT5;GC7;FLT9;FLT4;FLT1;GC2;GC4;GC7;GC3;GC8;FLT7;GC3;FLT1;GC2;FLT5;GC6;FLT3;GC7
up_in_flight	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	Regulation Of Mrna Stability By Proteins That Bind Au Rich Elements	3	OSD-137,OSD-379,OSD-48	2.8730445370801295e-05	3.814688554187045e-19	0.593826661026711	GC5;FLT6;FLT5;GC3;FLT7;FLT10;FLT5;FLT8;FLT3;GC8;GC6;GC9;GC7
down_in_flight	REACTOME_COMPLEMENT_CASCADE	Complement Cascade	3	OSD-137,OSD-245,OSD-463	4.8090096708597865e-05	2.2018783896198595e-14	-1.1431847975026874	FLT6;GC4;GC7;FLT8;GC10;FLT3;GC6
