gene_id	location	flight_probability	mean_absolute_shap	sum_signed_shap
ENSMUSG00000006360	FLT	1.0	0.9086692	18.795517
ENSMUSG00000006373	GC	0.006760213	0.9080067	-4.991565
ENSMUSG00000020354	GC	8.2334767e-10	0.90782547	-20.919289
ENSMUSG00000119320	GC	3.304657e-09	0.9073511	-19.52959
ENSMUSG00000029361	FLT	1.0	0.90687686	21.778566
ENSMUSG00000027868	FLT	1.0	0.9067059	20.027218
ENSMUSG00000079017	FLT	0.9999999	0.9066312	16.152277
ENSMUSG00000028464	GC	1.413219e-07	0.90648067	-15.77387
ENSMUSG00000025075	FLT	0.99962497	0.90638757	7.8864045
ENSMUSG00000003555	FLT	0.9978169	0.90629965	6.1231995
ENSMUSG00000040287	FLT	1.0	0.9062805	22.63155
ENSMUSG00000026818	GC	9.492984e-06	0.90619886	-11.566592
ENSMUSG00000032096	FLT	0.9998022	0.90590763	8.526067
ENSMUSG00000027048	GC	0.001199705	0.9047338	-6.7261286
ENSMUSG00000038132	FLT	1.0	0.9044669	16.699747
ENSMUSG00000052974	GC	0.00018078797	0.90407234	-8.619662
ENSMUSG00000078937	GC	3.7179928e-09	0.9034464	-19.411734
ENSMUSG00000021536	GC	3.6550226e-08	0.9031658	-17.126242
ENSMUSG00000034926	GC	0.00074415875	0.9022484	-7.2041636
ENSMUSG00000032018	FLT	0.99951434	0.9020679	7.62775
ENSMUSG00000026579	GC	0.0009608311	0.9020337	-6.9484034
ENSMUSG00000030630	GC	0.0011378451	0.9018964	-6.7791305
ENSMUSG00000035923	FLT	1.0	0.9017168	22.093903
ENSMUSG00000040118	GC	1.6264936e-09	0.9014146	-20.238504
ENSMUSG00000027227	FLT	0.99849904	0.9013567	6.4985256
ENSMUSG00000020889	FLT	0.9999653	0.9010139	10.266231
ENSMUSG00000028834	FLT	1.0	0.9008755	19.860338
ENSMUSG00000027861	FLT	1.0	0.90067977	21.54821
ENSMUSG00000046818	GC	7.530701e-07	0.9004151	-14.100759
ENSMUSG00000023176	GC	0.000117068616	0.8996665	-9.054288
ENSMUSG00000042254	GC	5.963625e-08	0.89908403	-16.63666
ENSMUSG00000032826	GC	2.291692e-07	0.89830303	-15.290448
ENSMUSG00000005534	FLT	0.9999025	0.8980967	9.233844
ENSMUSG00000039202	FLT	0.99980694	0.89777845	8.550515
ENSMUSG00000116207	GC	1.0793021e-08	0.8974816	-18.346012
ENSMUSG00000010492	GC	3.4382165e-07	0.89740956	-14.884789
ENSMUSG00000091898	FLT	1.0	0.89705426	19.959661
ENSMUSG00000028088	GC	3.465576e-05	0.8963146	-10.271651
ENSMUSG00000064966	FLT	1.0	0.89565396	18.607668
ENSMUSG00000030630	FLT	0.9981142	0.8955094	6.2699027
ENSMUSG00000021676	GC	0.02874919	0.8952165	-3.5216222
ENSMUSG00000010025	FLT	0.99699473	0.89513963	5.8027167
ENSMUSG00000028737	GC	0.005801707	0.89495957	-5.1454363
ENSMUSG00000014846	FLT	1.0	0.894956	23.897614
ENSMUSG00000032523	GC	5.740415e-07	0.89482033	-14.3722105
ENSMUSG00000031519	FLT	1.0	0.89441913	21.354
ENSMUSG00000049091	GC	0.025412472	0.89437455	-3.6484234
ENSMUSG00000040462	FLT	0.9999317	0.8942365	9.589926
ENSMUSG00000065016	GC	3.1649355e-10	0.89389944	-21.875374
ENSMUSG00000022445	GC	0.0009639863	0.89355063	-6.9451194
ENSMUSG00000094806	GC	0.0020881463	0.89336604	-6.171039
ENSMUSG00000024617	FLT	1.0	0.89330214	16.936794
ENSMUSG00000031896	GC	1.5971028e-06	0.89328665	-13.3489685
ENSMUSG00000039349	FLT	0.9995695	0.89281154	7.748515
ENSMUSG00000028517	FLT	0.9993536	0.8928092	7.3417273
ENSMUSG00000079057	FLT	0.99994516	0.892747	9.809584
ENSMUSG00000038201	GC	9.651675e-08	0.89253664	-16.155195
ENSMUSG00000028980	GC	0.0009790354	0.8919679	-6.929614
ENSMUSG00000025153	GC	0.0016604214	0.8919302	-6.400669
ENSMUSG00000034460	GC	5.6941136e-08	0.89191973	-16.682909
ENSMUSG00000050315	GC	1.1759617e-08	0.89163184	-18.26025
ENSMUSG00000096688	GC	1.36810695e-05	0.8912883	-11.201132
ENSMUSG00000022403	FLT	0.99993813	0.89114463	9.689176
ENSMUSG00000031791	FLT	1.0	0.8911108	21.99694
ENSMUSG00000022871	FLT	0.99988604	0.8909858	9.077824
ENSMUSG00000021373	GC	1.3397289e-07	0.890546	-15.82726
ENSMUSG00000021228	FLT	0.9998665	0.8904987	8.919988
ENSMUSG00000021373	FLT	0.99999917	0.8903132	13.991725
ENSMUSG00000028410	GC	0.00639229	0.89009225	-5.0478997
ENSMUSG00000057280	GC	6.2624146e-08	0.88977575	-16.587774
ENSMUSG00000040017	GC	4.4933604e-05	0.8896211	-10.011926
ENSMUSG00000087090	FLT	1.0	0.88956046	20.292635
ENSMUSG00000027961	GC	2.74536e-08	0.88946533	-17.412426
ENSMUSG00000046959	GC	0.00031954766	0.88935614	-8.049938
ENSMUSG00000032816	GC	1.5658672e-09	0.88865006	-20.276493
ENSMUSG00000024892	GC	0.009375078	0.8884283	-4.661928
ENSMUSG00000008658	GC	2.0200983e-05	0.88835454	-10.811408
ENSMUSG00000045545	FLT	1.0	0.8881974	27.212746
ENSMUSG00000036371	FLT	0.99997234	0.8880968	10.494237
ENSMUSG00000049173	FLT	1.0	0.8878953	24.386616
ENSMUSG00000036427	FLT	0.995516	0.8877288	5.401096
ENSMUSG00000031980	GC	0.000293693	0.88768226	-8.13433
ENSMUSG00000019818	GC	0.0035610958	0.8876587	-5.6357684
ENSMUSG00000047517	GC	1.8686125e-05	0.88719046	-10.889352
ENSMUSG00000024900	GC	0.023181776	0.88690215	-3.7425823
ENSMUSG00000059895	GC	1.7900177e-08	0.88680524	-17.840109
ENSMUSG00000031239	GC	5.6826888e-08	0.88671416	-16.684898
