sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-463_RR23_LVR_FLT_F6	OSD-463_RR23_LVR_FLT_F6	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F7_techrep1	OSD-463_RR23_LVR_FLT_F7_techrep1	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F7_techrep2	OSD-463_RR23_LVR_FLT_F7_techrep2	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F8_techrep1	OSD-463_RR23_LVR_FLT_F8_techrep1	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F8_techrep2	OSD-463_RR23_LVR_FLT_F8_techrep2	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F8_techrep3	OSD-463_RR23_LVR_FLT_F8_techrep3	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F9	OSD-463_RR23_LVR_FLT_F9	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep1_F1	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep1_F1	FLT	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep2_F2	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep2_F2	FLT	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	FLT	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep4_F4	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep4_F4	FLT	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep5_F5	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep5_F5	FLT	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep1_F1	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep1_F1	FLT	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep2_F2	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep2_F2	FLT	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep3_F3	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep3_F3	FLT	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep4_F4	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep4_F4	FLT	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep5_F5	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep5_F5	FLT	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep6_F6	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep6_F6	FLT	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-47_Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47_Mmus_C57-6T_LVR_FLT_Rep1_F1	FLT	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
OSD-47_Mmus_C57-6T_LVR_FLT_Rep1_F1__dup2	OSD-47_Mmus_C57-6T_LVR_FLT_Rep1_F1	FLT	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
OSD-47_Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47_Mmus_C57-6T_LVR_FLT_Rep2_F2	FLT	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
