sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F1	OSD-463_RR23_LVR_FLT_F1	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F2	OSD-463_RR23_LVR_FLT_F2	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F3	OSD-463_RR23_LVR_FLT_F3	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F4	OSD-463_RR23_LVR_FLT_F4	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_FLT_F5	OSD-463_RR23_LVR_FLT_F5	FLT	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
