gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000045107	0	12	0	0	0
ENSMUSG00000029452	0	3	3	0	0
ENSMUSG00000076983	0	3	3	0	0
ENSMUSG00000031424	0	3	3	0	0
ENSMUSG00000068437	0	3	3	0	0
ENSMUSG00000052336	0	3	3	0	0
ENSMUSG00000005947	0	3	3	0	0
ENSMUSG00000021256	0	3	3	0	0
ENSMUSG00000029110	12	11	13	11	1
ENSMUSG00000020435	0	3	3	0	0
ENSMUSG00000006143	0	3	3	0	0
ENSMUSG00000020295	0	3	3	0	0
ENSMUSG00000025439	12	0	11	0	3
ENSMUSG00000028023	0	3	3	0	0
ENSMUSG00000023243	12	7	8	0	5
ENSMUSG00000039087	12	2	5	0	9
ENSMUSG00000002981	12	2	5	0	9
ENSMUSG00000031133	0	12	3	0	0
ENSMUSG00000052730	0	3	3	0	0
ENSMUSG00000024232	0	3	3	0	0
ENSMUSG00000022231	0	12	0	0	14
ENSMUSG00000091006	0	12	3	0	0
ENSMUSG00000089139	0	3	3	0	0
ENSMUSG00000044701	0	3	3	0	0
ENSMUSG00000094098	0	3	3	0	0
ENSMUSG00000031622	12	0	8	0	14
ENSMUSG00000036186	0	3	3	0	0
ENSMUSG00000079557	12	7	8	0	5
ENSMUSG00000107623	0	3	3	0	0
ENSMUSG00000048222	0	0	0	0	14
ENSMUSG00000001655	0	3	3	0	0
ENSMUSG00000021795	0	3	3	0	0
ENSMUSG00000031162	0	3	3	0	0
ENSMUSG00000026042	0	3	3	0	0
ENSMUSG00000044433	0	12	3	0	0
ENSMUSG00000045331	0	3	3	0	0
ENSMUSG00000038240	0	12	0	0	14
ENSMUSG00000053799	12	9	11	0	3
ENSMUSG00000039089	0	12	0	0	0
ENSMUSG00000047889	0	3	3	0	0
ENSMUSG00000074441	0	3	3	0	0
ENSMUSG00000037966	12	2	5	0	9
ENSMUSG00000043727	0	3	3	0	0
ENSMUSG00000069823	0	3	3	0	0
ENSMUSG00000020623	0	12	0	0	14
ENSMUSG00000079036	0	12	0	0	14
ENSMUSG00000066007	0	3	3	0	0
ENSMUSG00000000384	12	12	0	0	14
ENSMUSG00000074634	0	12	0	0	14
ENSMUSG00000073538	0	3	3	0	0
ENSMUSG00000034997	0	3	3	0	0
ENSMUSG00000020916	0	3	3	0	0
ENSMUSG00000037643	0	0	0	0	14
ENSMUSG00000110521	0	3	3	0	0
ENSMUSG00000050106	0	3	3	0	0
ENSMUSG00000070427	0	12	0	0	14
ENSMUSG00000030751	12	11	6	0	12
ENSMUSG00000101483	0	3	3	0	0
ENSMUSG00000045102	0	3	3	0	0
ENSMUSG00000092847	0	3	3	0	0
ENSMUSG00000041923	0	3	3	0	0
ENSMUSG00000022142	12	9	11	0	3
ENSMUSG00000038523	0	3	3	0	0
ENSMUSG00000027581	0	3	3	0	0
ENSMUSG00000072825	12	7	8	0	5
ENSMUSG00000037275	0	12	0	0	14
ENSMUSG00000042195	0	3	3	0	0
ENSMUSG00000048175	0	12	0	0	14
ENSMUSG00000030374	12	0	0	0	14
ENSMUSG00000063446	0	3	3	0	0
ENSMUSG00000014077	5	11	13	11	2
ENSMUSG00000038604	0	12	3	0	0
ENSMUSG00000083282	0	12	0	0	14
ENSMUSG00000105987	0	12	0	0	14
ENSMUSG00000065686	0	3	3	0	0
ENSMUSG00000066306	12	2	5	0	9
ENSMUSG00000062892	0	3	3	0	0
ENSMUSG00000045237	0	12	0	0	14
ENSMUSG00000040918	8	11	6	11	12
ENSMUSG00000069041	0	3	3	0	0
ENSMUSG00000044254	12	6	4	0	1
ENSMUSG00000043286	0	3	3	0	0
ENSMUSG00000051917	0	3	3	0	0
ENSMUSG00000039967	12	6	11	0	3
ENSMUSG00000065521	0	3	3	0	0
ENSMUSG00000021403	0	3	3	0	0
ENSMUSG00000053128	0	3	3	0	0
ENSMUSG00000054497	0	3	3	0	0
ENSMUSG00000014980	0	12	3	0	0
ENSMUSG00000022905	12	6	4	0	1
ENSMUSG00000078958	0	3	3	0	0
ENSMUSG00000085786	0	3	3	0	0
ENSMUSG00000000049	9	8	12	2	11
ENSMUSG00000049047	0	12	0	0	14
ENSMUSG00000027870	12	7	11	0	7
