gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
8	1000	high	20	OSD-237	3816.3103	0.8737862563866143
8	1000	low	1	OSD-955	356.4403	-1.3844369195521022
8	1000	low	2	OSD-419	372.9401	-1.3736676621064894
8	1000	low	3	OSD-881	547.12024	-1.2599819950333766
8	1000	low	4	OSD-876	588.46	-1.2329999396036222
8	1000	low	5	OSD-318	607.76013	-1.2204029342639329
8	1000	low	6	OSD-420	636.118	-1.201894030965758
8	1000	low	7	OSD-825	642.4703	-1.1977479471300891
8	1000	low	8	OSD-720	650.69275	-1.192381234752746
8	1000	low	9	OSD-426	663.2186	-1.1842057354512314
8	1000	low	10	OSD-719	683.0977	-1.1712308420775488
8	1000	low	11	OSD-714	696.72235	-1.162338166805341
8	1000	low	12	OSD-599	715.54266	-1.1500543352682164
8	1000	low	13	OSD-686	729.54266	-1.140916672736635
8	1000	low	14	OSD-421	749.438	-1.1279311796744158
8	1000	low	15	OSD-202	809.48083	-1.0887418141043372
8	1000	low	16	OSD-48	839.5257	-1.0691318224711064
8	1000	low	17	OSD-322	869.3634	-1.0496570486626378
8	1000	low	18	OSD-294	884.26117	-1.0399334204674153
8	1000	low	19	OSD-255	919.1537	-1.0171594087521958
8	1000	low	20	OSD-49	990.06683	-0.9708751051094706
9	1631	high	1	OSD-758	371.24173	3.7156893669062225
9	1631	high	2	OSD-162	312.1431	2.8690159483592894
9	1631	high	3	OSD-194	311.08017	2.853787937544553
9	1631	high	4	OSD-759	272.03745	2.2944444601784832
9	1631	high	5	OSD-464	253.72423	2.0320810757480485
9	1631	high	6	OSD-613	235.67776	1.7735392711816027
9	1631	high	7	OSD-900	219.68274	1.5443874572880054
9	1631	high	8	OSD-308	215.71318	1.4875177644486424
9	1631	high	9	OSD-161	209.34024	1.3962161742765098
9	1631	high	10	OSD-100	202.19124	1.2937964012768308
9	1631	high	11	OSD-237	200.21384	1.2654672840395158
9	1631	high	12	OSD-248	196.74628	1.2157894678326664
9	1631	high	13	OSD-243	195.12218	1.1925218844883132
9	1631	high	14	OSD-612	190.04987	1.1198537016957546
9	1631	high	15	OSD-163	186.72478	1.0722169744606864
9	1631	high	16	OSD-512	180.42645	0.9819842805346729
