gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
4	2310	low	13	MHU4_PG1	1	55.67185974121094	-1.3687548637390137
4	2310	low	14	A1402_3AL - GAMMA10	1	56.803462982177734	-1.3610963821411133
4	2310	low	15	control_10w_1	1	58.17099380493164	-1.3518412113189697
4	2310	low	16	RR-10_VIV-06	1	58.17489242553711	-1.351814866065979
4	2310	low	17	MMS_1d_2	1	59.57402420043945	-1.3423458337783813
4	2310	low	18	MMS_1d_3	1	60.15108108520508	-1.3384404182434082
4	2310	low	19	MMS_3d_1	1	61.593074798583984	-1.328681230545044
4	2310	low	20	EU229	1	62.2748908996582	-1.3240668773651123
5	1347	high	1	RRRM-2_FL_ISS_16	1	18567.650390625	9.82759952545166
5	1347	high	2	RRRM-2_HGC_ISS_02	1	15763.673828125	8.227876663208008
5	1347	high	3	RRRM-2_HGC_ISS_19	1	14393.36328125	7.44608736038208
5	1347	high	4	RRRM-2_FL_ISS_08	1	14213.5771484375	7.343515872955322
5	1347	high	5	RRRM-2_FL_ISS_02	1	14098.236328125	7.277711868286133
5	1347	high	6	RRRM-2_HGC_ISS_18	1	13255.2158203125	6.796751976013184
5	1347	high	7	RRRM-2_FL_ISS_14	1	11757.00390625	5.94199275970459
5	1347	high	8	RRRM-2_FL_ISS_20	1	11493.759765625	5.791806697845459
5	1347	high	9	RR-10_GC-09	4	10263.00390625	5.08963680267334
5	1347	high	10	RRRM-2_HGC_ISS_07	1	9681.8056640625	4.758051872253418
5	1347	high	11	RR3_GC_G9	2	9625.4931640625	4.725924491882324
5	1347	high	12	RRRM-2_HGC_ISS_09	1	8687.251953125	4.190639019012451
5	1347	high	13	RRRM-2_FL_ISS_07	3	8385.94140625	4.018735408782959
5	1347	high	14	RR-10_FL-09	3	8300.9482421875	3.970245122909546
5	1347	high	15	RR-10_FL-01	4	8147.64404296875	3.882782220840454
5	1347	high	16	RR-10_GC-01	4	8110.2744140625	3.861462116241455
5	1347	high	17	RRRM-2_FL_ISS_10	2	8054.7177734375	3.829766035079956
5	1347	high	18	RRRM-2_FL_ISS_05	3	8027.71875	3.8143625259399414
5	1347	high	19	MHU-8_HGC02	2	8025.58544921875	3.813145399093628
5	1347	high	20	MHU-8_FLT20	2	7900.669921875	3.7418785095214844
5	1347	low	1	A1402_2JR - CAPE17	1	10.46919059753418	-0.7596350312232971
