gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029865	3	0	9	0
ENSMUSG00000022706	12	8	1	7
ENSMUSG00000006575	14	4	5	5
ENSMUSG00000025236	2	1	3	3
ENSMUSG00000061981	0	9	1	10
ENSMUSG00000065401	22	0	7	0
ENSMUSG00000005089	18	6	18	13
ENSMUSG00000000889	3	0	13	0
ENSMUSG00000069917	6	2	8	9
ENSMUSG00000042345	16	0	19	6
ENSMUSG00000035642	12	8	1	7
ENSMUSG00000021294	10	10	2	12
ENSMUSG00000026333	20	1	3	3
ENSMUSG00000091468	22	10	0	0
ENSMUSG00000024558	17	10	15	8
ENSMUSG00000039725	9	1	17	4
ENSMUSG00000085886	22	0	12	0
ENSMUSG00000112707	17	10	15	8
ENSMUSG00000038517	14	4	5	5
ENSMUSG00000039555	22	0	7	0
ENSMUSG00000037962	1	0	0	1
ENSMUSG00000050973	14	4	5	5
ENSMUSG00000001420	17	10	2	8
ENSMUSG00000018470	1	0	15	1
ENSMUSG00000050217	3	0	7	0
ENSMUSG00000029716	18	6	6	13
ENSMUSG00000078453	5	4	5	5
ENSMUSG00000028538	24	2	4	2
ENSMUSG00000026766	15	2	4	2
ENSMUSG00000012520	3	0	11	0
ENSMUSG00000101655	21	0	2	4
ENSMUSG00000001155	6	2	8	9
ENSMUSG00000023092	20	1	3	3
ENSMUSG00000030607	3	0	14	0
ENSMUSG00000025949	7	7	6	11
ENSMUSG00000024182	2	3	3	3
ENSMUSG00000042750	22	0	7	0
ENSMUSG00000033033	10	10	2	12
ENSMUSG00000047669	17	0	15	8
ENSMUSG00000031168	6	2	8	9
ENSMUSG00000111564	22	0	0	0
ENSMUSG00000096009	22	0	7	0
ENSMUSG00000045438	0	8	1	10
ENSMUSG00000030002	7	7	6	11
ENSMUSG00000032594	7	7	6	11
ENSMUSG00000033214	3	0	9	0
ENSMUSG00000075269	3	0	16	0
ENSMUSG00000097756	22	0	7	0
ENSMUSG00000041642	21	1	17	4
ENSMUSG00000112880	16	0	19	6
ENSMUSG00000056832	17	0	15	8
ENSMUSG00000031616	20	1	17	3
ENSMUSG00000090291	1	0	0	1
ENSMUSG00000027233	3	0	14	0
ENSMUSG00000106053	4	1	2	4
ENSMUSG00000029408	10	10	2	12
ENSMUSG00000037331	6	2	8	9
ENSMUSG00000043687	4	0	2	4
ENSMUSG00000033902	9	1	17	4
ENSMUSG00000041248	22	0	11	0
ENSMUSG00000115236	3	0	11	0
ENSMUSG00000046062	6	2	8	9
ENSMUSG00000054619	18	6	18	13
ENSMUSG00000024563	24	2	4	2
ENSMUSG00000021362	22	0	7	0
ENSMUSG00000054679	22	0	0	0
ENSMUSG00000045678	16	0	19	6
ENSMUSG00000061601	16	0	19	6
ENSMUSG00000086628	23	1	3	3
ENSMUSG00000027962	23	1	3	3
ENSMUSG00000022132	22	0	0	0
ENSMUSG00000103906	16	0	19	6
ENSMUSG00000071424	22	0	7	0
ENSMUSG00000015968	14	0	5	5
ENSMUSG00000078625	22	0	7	0
ENSMUSG00000050198	22	0	0	0
ENSMUSG00000075220	3	0	13	0
