sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
OSD-463_RR23_LVR_FLT_F4	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-35.38483	-97.1541	14.151442	40.099342	-18.188847	41.89613	15.909879	-14.153366	-2.1953683	-37.50062	5.9778757	27.372898	7.2443333	3.3925874	-1.0430256	29.695349	20.702097	-8.025517	-17.80595	11.430635
OSD-463_RR23_LVR_FLT_F5	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	2.5129688	-33.581467	4.808303	22.200289	-33.41956	63.29088	23.703808	-1.6169343	4.812115	-9.325924	8.95172	-6.4720325	-34.185482	6.2917123	23.890263	21.328646	12.197022	4.003673	-16.823992	-0.23887385
OSD-463_RR23_LVR_FLT_F6	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-62.732414	-87.30051	-15.646138	30.977741	-12.672378	28.354277	-11.501285	6.6861124	12.378299	2.006358	27.094465	-18.165865	-7.6266966	2.1253862	25.925016	12.4996395	-10.3194895	-3.3346035	-10.723423	3.4000556
OSD-463_RR23_LVR_FLT_F7_techrep1	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-63.85087	-101.27612	18.61147	18.188288	-4.667164	9.809567	8.326388	3.6847534	2.7755089	-0.3984358	30.759045	-19.836304	-13.6437435	-8.565629	8.539165	0.64758354	-11.611943	10.215443	-9.649151	9.793979
OSD-463_RR23_LVR_FLT_F7_techrep2	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-67.15014	-100.284904	20.071402	18.16369	-5.7047443	10.27735	8.54554	3.7410457	1.700096	-0.44992247	30.336273	-19.482748	-15.326874	-9.99329	7.3693585	0.19670917	-11.563516	10.114213	-9.842401	10.506486
OSD-463_RR23_LVR_FLT_F8_techrep1	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-71.05245	-110.73637	21.939905	15.765051	7.988308	-9.619817	3.8959637	-12.425431	-15.475267	-8.253669	39.133	-17.459377	-28.19354	-24.148151	11.861659	-11.642068	1.0795277	19.286358	0.7158419	4.62756
OSD-463_RR23_LVR_FLT_F8_techrep2	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-39.047344	-56.800854	20.754766	19.675533	-4.679495	31.151146	13.391017	-29.44123	-33.356728	-14.0999975	22.805244	-5.159107	-20.090958	-20.643585	12.4568615	-8.4171505	15.311022	15.261661	15.699853	4.06322
OSD-463_RR23_LVR_FLT_F8_techrep3	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-45.055294	-54.446186	40.64664	4.7119765	-1.5208544	10.638167	13.267616	-23.550344	-30.468138	-15.050928	5.5101576	0.2290552	-21.289251	-47.246624	12.392637	-11.24537	20.945368	23.01699	16.712	7.2678356
OSD-463_RR23_LVR_FLT_F9	C57BL/6J	Male	FLT	FLT	RR-23	OSD-463	OSD-463	-44.033676	-63.024178	31.166517	8.8727455	-13.2720175	19.91917	12.507234	-4.2748976	-7.8604007	-17.064938	-1.3364587	6.55685	-31.691267	-37.63496	17.675283	1.371674	15.50085	7.992629	-6.1194453	10.721089
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep1_F1	C57BL/6J	Male	FLT	FLT	RR-9	OSD-242	OSD-242	-33.166553	-43.556763	22.767859	-26.74848	-24.35122	4.2027197	-15.265436	39.467194	34.4111	7.7739305	-16.850504	-3.2481549	-3.304209	-15.316068	11.186473	-19.83636	-6.8463097	-15.474542	-2.6264486	-14.800696
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep2_F2	C57BL/6J	Male	FLT	FLT	RR-9	OSD-242	OSD-242	-12.681291	-15.307715	31.504889	-31.46187	-33.325253	28.957426	2.7517169	39.72549	35.988342	5.416313	-19.512442	-6.2091613	-5.284685	-12.905307	13.620295	-11.55626	-4.5700483	-8.70892	-7.5442686	-23.690474
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	C57BL/6J	Male	FLT	FLT	RR-9	OSD-242	OSD-242	6.279945	-6.2962723	15.098435	-21.461964	-39.200623	47.178955	-0.6267206	41.980366	44.951447	14.32152	-22.527426	-10.242019	-13.442501	-9.605513	19.357761	-9.367505	-7.4636307	-5.8378935	-4.7454224	-10.840413
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep4_F4	C57BL/6J	Male	FLT	FLT	RR-9	OSD-242	OSD-242	-22.915964	2.0202112	10.800693	-12.2125025	-38.55544	55.97701	-7.895139	37.217224	35.77899	26.717653	-17.97091	-11.2914295	2.5516822	-9.399065	0.5390857	-16.822865	-6.082082	-8.427717	21.669613	-0.8854896
OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep5_F5	C57BL/6J	Male	FLT	FLT	RR-9	OSD-242	OSD-242	-13.173005	-20.129267	9.796928	-17.373226	-43.58612	41.607143	-4.4772143	41.03243	40.507732	9.014992	-32.659523	2.5323434	-11.872994	-7.4486275	1.6585319	-11.806908	-7.4131246	-6.308917	7.992801	-6.277665
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep1_F1	BALB/c	Female	FLT	FLT	RR-3	OSD-137	OSD-137	-30.82748	18.449429	3.4847143	-33.743427	2.576474	-54.95748	-1.2581105	22.484846	10.990906	-19.154703	21.124727	8.046443	-3.9473374	21.894207	-4.8291283	20.694872	-26.343718	7.8971853	-4.915421	0.5452759
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep2_F2	BALB/c	Female	FLT	FLT	RR-3	OSD-137	OSD-137	-23.724346	15.256397	-5.795204	-22.51681	5.4644375	-45.38191	-13.416439	11.85984	2.0140905	-18.509975	-0.95843697	14.06678	-16.859074	14.921491	6.121063	16.23736	-16.539608	-2.6475987	2.9086442	-2.861766
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep3_F3	BALB/c	Female	FLT	FLT	RR-3	OSD-137	OSD-137	-22.49074	23.0356	-26.354605	-24.042274	-0.6552206	-43.514896	-6.1928186	31.518963	28.877815	-13.768557	35.88407	-0.8240146	-5.0151277	-3.9064987	-15.057724	4.22066	0.5348539	9.889056	0.81703115	2.6565726
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep4_F4	BALB/c	Female	FLT	FLT	RR-3	OSD-137	OSD-137	-18.482859	43.87065	-20.531776	-26.085102	-15.135762	-24.66519	3.833633	34.571682	35.521614	-7.146379	25.144472	-0.34593192	-7.108969	10.59829	-21.35964	17.465128	-0.9665636	13.203723	0.27303156	2.089424
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep5_F5	BALB/c	Female	FLT	FLT	RR-3	OSD-137	OSD-137	-4.3916435	58.136654	-14.019861	-24.682589	-3.4975536	-19.109005	4.535794	33.221775	24.857925	-20.218554	27.525906	-0.6086063	3.4244583	15.127572	-5.1429505	2.8216481	-8.536901	7.695606	0.9290743	-6.148824
