sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI16	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI16	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI16	1698	RR8_LVR_GC_ISS-T_OLD_GI16	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI17	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI17	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI17	1699	RR8_LVR_GC_ISS-T_OLD_GI17	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI18	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI18	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI18	1700	RR8_LVR_GC_ISS-T_OLD_GI18	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI19	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI19	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI19	1701	RR8_LVR_GC_ISS-T_OLD_GI19	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI20	OSD-379	ground	ISS-T_OLD	RR8_LVR_GC_ISS-T_OLD_GI20	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI20	1702	RR8_LVR_GC_ISS-T_OLD_GI20	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI1	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI1	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI1	1703	RR8_LVR_GC_ISS-T_YNG_GI1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI2	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI2	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI2	1705	RR8_LVR_GC_ISS-T_YNG_GI2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI3	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI3	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI3	1706	RR8_LVR_GC_ISS-T_YNG_GI3	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI4	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI4	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI4	1707	RR8_LVR_GC_ISS-T_YNG_GI4	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI5	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI5	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI5	1708	RR8_LVR_GC_ISS-T_YNG_GI5	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
