GO,Description,_LogP_FLT_cluster_02,_LogP_FLT_cluster_03,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_07,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_13,_LogP_FLT_cluster_14,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_07,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13,_LogP_GC_cluster_14
GO:0006641,triglyceride metabolic process,0.0,0.0,0.0,0.0,-4.505963568764418,0.0,0.0,0.0,-10.208245387066967,-5.314155446408556,0.0,0.0,-2.4720296063552185,0.0,0.0,0.0,0.0,-2.726904371744534,0.0,0.0,-11.246795531210328,0.0,0.0,0.0,-4.280003350073015,0.0
GO:0006639,acylglycerol metabolic process,0.0,0.0,0.0,0.0,-4.716540723809232,0.0,0.0,0.0,-9.719046818154844,-5.41906340136657,0.0,0.0,-2.0967647295168366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.105925602727558,0.0,0.0,0.0,-4.46935319931115,0.0
GO:0006959,humoral immune response,0.0,0.0,0.0,0.0,-2.7764689724646767,0.0,0.0,0.0,-11.082932482387852,-3.922674252166125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.720376132765196,0.0,0.0,0.0,-4.809070178902693,0.0
WP449,Complement and coagulation cascades,0.0,0.0,0.0,0.0,-3.1629902149473965,0.0,0.0,0.0,-11.838617126181257,-4.995447961480403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.451869975659294,0.0,0.0,0.0,-6.255702884148131,0.0
mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.6384642692161093,0.0,0.0,0.0,-20.067448855902978,-5.964623506900182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.263691312598149,0.0,0.0,-14.624338863073605,-2.376073146301222,0.0,0.0,-12.199333953213063,0.0
R-MMU-174824,"Plasma lipoprotein assembly, remodeling, and clearance",0.0,0.0,0.0,0.0,-2.361388467202223,0.0,0.0,-3.104611309424847,-13.06062333280564,-3.7868385825220177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.092671664731376,-14.470959111189401,0.0,0.0,0.0,-3.818413277028035,0.0
mmu03320,PPAR signaling pathway - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.36659932342103,0.0,0.0,-2.4763757446089096,-10.139958778595235,-4.210689527243433,-2.5035307920496814,0.0,0.0,0.0,0.0,0.0,0.0,-2.6842698544701804,0.0,0.0,-9.018156230017484,0.0,0.0,-2.7678831839412577,-7.659531378609858,0.0
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.106144691897974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.249621574401852,0.0,0.0,0.0,-5.53233494010915,0.0
R-MMU-8963898,Plasma lipoprotein assembly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.234650395428808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.078615625596518,0.0,0.0,0.0,-4.93920145066367,0.0
R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.330668202152996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6818888455279755,0.0,0.0,0.0,-2.5485823494435214,0.0
