analysis_scope	tissue	gene_id	gene_symbol	expimap_pathway_member	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	expimap_gene_effect	expimap_flt_gc_direction	analysis_roles	generative_any_arm_real_stable	generative_stable_synthetic_arms	generative_all_compared_arms	generative_all_arm_patterns	generative_max_arm_real_permutation_roc_auc	generative_max_arm_minus_real_permutation_roc_auc	generative_any_arm_stable_feature	generative_selected_arm_stable_feature	generative_selected_arm	generative_selection_pattern	real_stable	arm_stable	real_selection_frequency	arm_selection_frequency	real_permutation_roc_auc	arm_real_permutation_roc_auc	arm_minus_real_permutation_roc_auc	selected_arm_importance_rank	real_linear_shap_flight_minus_ground	selected_linear_shap_flight_minus_ground	matched_primary	consensus_secondary	generative_real_meta_effect	generative_real_meta_fdr	generative_flt_gc_direction
canonical_tissue	skeletal_muscle	ENSMUSG00000015176	Nolc1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_reinforced	0.0056834795321637	0.0016483918128655	True	True	guided_real_only	real_only	True	False	0.625	0.0	0.0040350877192982	0.0	-0.0040350877192982	123.0	-0.0238387257455182	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000028978	Nos3	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	generated_only;real_plus_generated	generated_only;real_plus_generated	synthetic_emergent_real_transfer	0.0059523809523809	0.0059523809523809	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000024413	Npc1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_synthetic_domain_only	0.0034173976608187	-0.0066494360902255	True	True	guided_real_only	real_only	True	False	0.875	0.875	0.0100668337510442	-0.0008354218880534	-0.0109022556390977	260.0	0.1940150911584432	0.0344350248085031	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000027852	Nras	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True		generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only	0.0	-0.0072222222222222	True	True	guided_real_only	real_only	True	False	0.625	0.0	0.0072222222222222	0.0	-0.0072222222222222	123.0	-0.051376461774636	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000039509	Nup133	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight;guided_real_only	guided_low_weight;guided_real_only	synthetic_emergent_real_transfer	0.0093201754385964	0.0093201754385964	True	True	guided_real_only	synthetic_emergent_real_transfer	False	True	0.0	0.75	0.0	0.0039473684210526	0.0039473684210526	45.0	NA	0.0739040695778027	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000109511	Nup62	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True		generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only	0.00567738791423	0.0027534113060429	True	True	guided_real_only	real_only	True	False	0.625	0.0	0.0029239766081871	0.0	-0.0029239766081871	123.0	-0.0130726935319778	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000040667	Nup88	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_real_only	guided_real_only	synthetic_domain_only	0.0014912280701754	-0.0084502923976608	True	True	guided_real_only	synthetic_domain_only	False	True	0.125	0.625	0.0099415204678362	0.0014912280701754	-0.0084502923976608	71.0	-0.0143001510836542	0.0837116494071117	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000032939	Nup93	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True		generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only	0.008375104427736	0.0037802840434419	True	True	guided_real_only	real_only	True	False	0.875	0.0	0.004594820384294	0.0	-0.004594820384294	123.0	-0.1101925098625331	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000028587	Orc1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True		generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only	0.0	0.0031067251461988	True	True	guided_real_only	real_only	True	False	0.5	0.0	-0.0031067251461988	0.0	0.0031067251461988	123.0	0.0034101496421473	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000022186	Oxct1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight;guided_real_only	guided_low_weight;guided_real_only	synthetic_emergent_real_transfer	0.0244395711500974	0.0244395711500974	True	True	guided_real_only	synthetic_emergent_real_transfer	False	True	0.0	0.875	0.0	0.0119883040935672	0.0119883040935672	9.0	NA	0.2046624586227252	False	False	NA	NA	NA
