method	analysis_scope	tissue	gene_id	gene_symbol	comparison_role	independently_selected_gene	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	n_discordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	project_balanced_gene_log2cpm_effect	gene_flt_gc_direction	analysis_roles	pathway_robustness_statuses
expiMap	canonical_tissue	liver	ENSMUSG00000030560	Ctsc	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.4422358156012957	-0.1759306318751178	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000023004	Tuba1b	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.4714404256899159	-0.2358070077014273	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000058672	Tubb2a	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0	1	False	0.4789351594267495	0.3444335786445285	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000030677	Kif22	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.5184748404386635	-0.1552337906874552	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000041417	Pik3r1	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.5453514591594429	-0.0722501244921264	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000003779	Kif20a	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.5529227735175649	-0.1332881048164914	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000036752	Tubb4b	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0	1	False	0.6154486706909879	0.1650080450547483	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000001473	Tubb6	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.7214600053734048	-0.1038236997877227	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000009013	Dynll1	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.786458749432176	-0.1013657622579087	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000026825	Dnm1	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0	1	False	0.8053228602657161	0.0280793377261127	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000043091	Tuba1c	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0	1	False	0.8498772841821642	0.0703863984941416	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000026202	Tuba4a	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0	1	False	0.8723397437716558	0.0667701100011797	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000021025	Nfkbia	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	0	1	False	0.8877381800318399	0.0221825542260596	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000045136	Tubb2b	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.8877381800318399	-0.0193103522336754	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000062380	Tubb3	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.923087215231164	-0.0053859330338252	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000067889	Sptbn2	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0	1	False	0.9448561944697844	0.0176866993625984	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000031284	Pak3	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	0	1	False	0.9895332779051518	0.0010001043033874	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000004552	Ctse	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.9947393976793256	-0.001024376257417	FLT_lower	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000000275	Trim25	member_of_retained_expimap_pathway	False	1	R-MMU-73894	R-MMU-73894_DNA_REPAIR	DNA repair	0	1	False	0.5869713003186572	0.149561339855885	FLT_higher	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000001657	Hoxc8	member_of_retained_expimap_pathway	False	1	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0	1	False	0.5869713003186572	0.3209537264821538	FLT_higher	main	internally robust, incomplete conventional support
expiMap	canonical_tissue	skin	ENSMUSG00000002028	Kmt2a	member_of_retained_expimap_pathway	False	1	R-MMU-3247509	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	0	1	False	0.5869713003186572	0.1259250199362969	FLT_higher	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000002289	Angptl4	member_of_retained_expimap_pathway	False	1	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0	1	False	0.5869713003186572	0.2757117173418943	FLT_higher	main	internally robust, incomplete conventional support
expiMap	canonical_tissue	skin	ENSMUSG00000002633	Shh	member_of_retained_expimap_pathway	False	1	R-MMU-5358351	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	1	0	False	0.5869713003186572	-0.5923101922681314	FLT_lower	main	triangulated
