Network,Annotation
GC_cluster_09_SUB1_MCODE_5,mmu04610|Complement and coagulation cascades - Mus musculus (house mouse)|-23.6;WP449|Complement and coagulation cascades|-19.7;R-MMU-9769743|Amplification and propagation of coagulation cascade|-15.3
GC_cluster_09_SUB1_MCODE_6,R-MMU-163210|Formation of ATP by chemiosmotic coupling|-7.0;R-MMU-8949613|Cristae formation|-7.0;R-MMU-1592230|Mitochondrial biogenesis|-6.3
GC_cluster_09_SUB1_MCODE_7,GO:0006107|oxaloacetate metabolic process|-11.9;GO:0043648|dicarboxylic acid metabolic process|-11.3;WP662|Amino acid metabolism|-8.2
GC_cluster_09_SUB1_MCODE_8,"R-MMU-983170|Antigen Presentation: Folding, assembly and peptide loading of class I MHC|-11.5;mmu04612|Antigen processing and presentation - Mus musculus (house mouse)|-9.4;mmu05166|Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)|-7.3"
GC_cluster_09_SUB1_MCODE_9,mmu00071|Fatty acid degradation - Mus musculus (house mouse)|-7.5;GO:0006635|fatty acid beta-oxidation|-7.2;GO:0019395|fatty acid oxidation|-6.7
GC_cluster_09_SUB1_MCODE_10,mmu00480|Glutathione metabolism - Mus musculus (house mouse)|-7.1;GO:0006749|glutathione metabolic process|-7.0;GO:0098869|cellular oxidant detoxification|-6.8
GC_cluster_09_SUB2_MCODE_12,R-MMU-2046105|Linoleic acid (LA) metabolism|-10.0;R-MMU-2046106|alpha-linolenic acid (ALA) metabolism|-9.4;R-MMU-2046104|alpha-linolenic (omega3) and linoleic (omega6) acid metabolism|-9.4
GC_cluster_10_MCODE_ALL,GO:0010757|negative regulation of plasminogen activation|-7.4;GO:0070613|regulation of protein processing|-6.7;GO:1903317|regulation of protein maturation|-6.6
GC_cluster_10_SUB1_MCODE_1,GO:0010757|negative regulation of plasminogen activation|-8.7;GO:0010755|regulation of plasminogen activation|-7.6;GO:0010955|negative regulation of protein processing|-7.3
GC_cluster_10_SUB3_MCODE_2,mmu04141|Protein processing in endoplasmic reticulum - Mus musculus (house mouse)|-5.0
GC_cluster_11_MCODE_ALL,CORUM:349|Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex|-18.8;mmu05410|Hypertrophic cardiomyopathy - Mus musculus (house mouse)|-15.7;mmu05414|Dilated cardiomyopathy - Mus musculus (house mouse)|-15.4
GC_cluster_11_SUB1_MCODE_1,CORUM:349|Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex|-23.7;mmu05416|Viral myocarditis - Mus musculus (house mouse)|-18.5;mmu05412|Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse)|-18.4
GC_cluster_11_SUB1_MCODE_2,GO:0034762|regulation of transmembrane transport|-6.0;GO:1904062|regulation of monoatomic cation transmembrane transport|-4.5;GO:0007268|chemical synaptic transmission|-4.5
GC_cluster_11_SUB1_MCODE_3,R-MMU-9013406|RHOQ GTPase cycle|-6.8;GO:0090257|regulation of muscle system process|-4.7;GO:0071375|cellular response to peptide hormone stimulus|-4.7
GC_cluster_11_SUB3_MCODE_4,GO:0030036|actin cytoskeleton organization|-5.9;GO:0030029|actin filament-based process|-5.7
GC_cluster_11_SUB1_MCODE_5,R-MMU-390522|Striated Muscle Contraction|-8.0;WP216|Striated muscle contraction|-7.6;R-MMU-397014|Muscle contraction|-6.1
GC_cluster_12_MCODE_ALL,WP216|Striated muscle contraction|-43.9;R-MMU-390522|Striated Muscle Contraction|-39.3;R-MMU-397014|Muscle contraction|-34.1
GC_cluster_12_SUB1_MCODE_1,R-MMU-390522|Striated Muscle Contraction|-47.6;WP216|Striated muscle contraction|-40.4;R-MMU-397014|Muscle contraction|-34.9
GC_cluster_12_SUB1_MCODE_2,mmu04814|Motor proteins - Mus musculus (house mouse)|-13.6;mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-10.2;WP216|Striated muscle contraction|-8.6
GC_cluster_12_SUB1_MCODE_3,WP434|TCA cycle|-7.3;mmu00020|Citrate cycle (TCA cycle) - Mus musculus (house mouse)|-7.2;R-MMU-1428517|Aerobic respiration and respiratory electron transport|-6.8
GC_cluster_12_SUB1_MCODE_4,GO:0030036|actin cytoskeleton organization|-4.4;GO:0030029|actin filament-based process|-4.3
GC_cluster_12_SUB1_MCODE_5,GO:0006099|tricarboxylic acid cycle|-8.4;WP434|TCA cycle|-8.3;mmu00020|Citrate cycle (TCA cycle) - Mus musculus (house mouse)|-8.2
GC_cluster_12_SUB1_MCODE_6,R-MMU-5578775|Ion homeostasis|-7.5;GO:1904427|positive regulation of calcium ion transmembrane transport|-7.2;R-MMU-2672351|Stimuli-sensing channels|-6.8
GC_cluster_12_SUB2_MCODE_7,"GO:0006123|mitochondrial electron transport, cytochrome c to oxygen|-9.2;GO:0019646|aerobic electron transport chain|-7.6;GO:0042773|ATP synthesis coupled electron transport|-7.4"
GC_cluster_13_MCODE_ALL,GO:0006805|xenobiotic metabolic process|-11.3;mmu00830|Retinol metabolism - Mus musculus (house mouse)|-10.9;GO:0008202|steroid metabolic process|-10.3
GC_cluster_13_SUB1_MCODE_1,GO:0006805|xenobiotic metabolic process|-17.6;GO:0071466|cellular response to xenobiotic stimulus|-16.3;mmu00830|Retinol metabolism - Mus musculus (house mouse)|-16.3
GC_cluster_13_SUB1_MCODE_2,WP662|Amino acid metabolism|-12.0;GO:0046395|carboxylic acid catabolic process|-11.9;GO:0044282|small molecule catabolic process|-10.6
GC_cluster_13_SUB1_MCODE_3,GO:0008203|cholesterol metabolic process|-10.1;GO:0016125|sterol metabolic process|-9.9;GO:1902652|secondary alcohol metabolic process|-9.9
GC_cluster_13_SUB1_MCODE_4,GO:0009060|aerobic respiration|-9.6;R-MMU-1428517|Aerobic respiration and respiratory electron transport|-9.4;GO:0045333|cellular respiration|-9.3
