gene_id	gmm	hdbscan	spectral	consensus	gene_symbol	gene_label	eligible_meta	significant_fdr05_abs_log2fc1	meta_log2_fold_change	consistent_direction
ENSMUSG00000040209	15	0	1	4	Zfp704	Zfp704	True	False	0.0123680732246674	mixed
ENSMUSG00000078496	14	0	12	8	Zfp982	Zfp982	True	False	-0.0582283740070545	mixed
ENSMUSG00000045410	17	0	8	5	Akr1e1	Akr1e1	True	False	0.0001813963583077	mixed
ENSMUSG00000021147	24	0	1	4	Wdr37	Wdr37	True	False	-0.061487271330743	mixed
ENSMUSG00000109487	8	0	0	0	NA	ENSMUSG00000109487	False	False	NA	NA
ENSMUSG00000018800	24	0	1	4	Abca5	Abca5	True	False	0.140971949999706	mixed
ENSMUSG00000087598	15	0	12	8	Zfp111	Zfp111	True	False	0.0212285185433199	mixed
ENSMUSG00000019891	18	0	12	8	Dcbld1	Dcbld1	True	False	-0.0600601761590886	mixed
ENSMUSG00000032766	15	0	12	8	Gng11	Gng11	True	False	-0.0720270898849638	mixed
ENSMUSG00000031730	18	0	9	6	Dhodh	Dhodh	True	False	-0.016399321571526	mixed
ENSMUSG00000093617	10	1	7	7	4933438K21Rik	4933438K21Rik	True	False	0.0413651973585283	mixed
ENSMUSG00000045039	4	0	9	6	Megf8	Megf8	True	False	-0.0163269354385994	mixed
ENSMUSG00000004591	20	0	17	9	Pkn2	Pkn2	True	False	0.002652103777342	mixed
ENSMUSG00000095957	0	1	16	1	Olfr832	Olfr832	True	False	-0.0601336652622964	mixed
ENSMUSG00000073699	8	0	0	0	NA	ENSMUSG00000073699	False	False	NA	NA
ENSMUSG00000065440	8	0	0	0	NA	ENSMUSG00000065440	False	False	NA	NA
ENSMUSG00000085238	8	0	0	0	NA	ENSMUSG00000085238	False	False	NA	NA
ENSMUSG00000019214	5	1	4	2	Chtf18	Chtf18	True	False	-0.180271777797308	mixed
ENSMUSG00000095201	0	1	16	1	Vmn1r91	Vmn1r91	False	False	-0.590621584905048	all_down
ENSMUSG00000002741	12	0	10	11	Ykt6	Ykt6	True	False	-0.000935658861014	mixed
ENSMUSG00000002660	9	0	15	3	Clpp	Clpp	True	False	0.160605760413365	mixed
ENSMUSG00000028412	20	0	17	9	Slc44a1	Slc44a1	True	False	-0.0027494576878957	mixed
ENSMUSG00000100585	0	1	18	1	1700108J01Rik	1700108J01Rik	True	False	-0.245937825727521	mixed
ENSMUSG00000004707	22	1	4	2	Ly9	Ly9	True	False	-0.31164388235748	all_down
ENSMUSG00000038619	9	0	8	5	Ensa	Ensa	True	False	0.0099054149161682	mixed
ENSMUSG00000010755	1	0	15	3	Cars	Cars	True	False	0.180455301328456	mixed
