tissue	term	heldout_project_direction_concordance	heldout_projects	heldout_top_decile_selection_fraction	heldout_selected_direction_concordance	heldout_selected_folds
kidney	R-MMU-5689880_UB_SPECIFIC_PROCESSING_PROTEASES	0.0	6	0.0	NA	NA
kidney	R-MMU-5693532_DNA_DOUBLE_STRAND_BREAK_REPAIR	0.5	6	0.0	NA	NA
kidney	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-5693565_RECRUITMENT_AND_ATM_MEDIATED_PHOSPHORYLATION_OF_REPAIR_AND_SIGNALING_PROTEINS_AT_DNA_DOUBLE_STRAND_BREAKS	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-5693567_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR_OR_SINGLE_STRAND_ANNEALING_SSA	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-5693571_NONHOMOLOGOUS_END_JOINING_NHEJ	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-5693606_DNA_DOUBLE_STRAND_BREAK_RESPONSE	0.5	6	0.0	NA	NA
kidney	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-606279_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-6794362_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-6805567_KERATINIZATION	1.0	6	0.6666666666666666	1.0	4.0
kidney	R-MMU-6806667_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.5	6	0.0	NA	NA
kidney	R-MMU-6806834_SIGNALING_BY_MET	0.8333333333333334	6	0.0	NA	NA
