tissue	term	display_term	decision	manual_category	pathway_seed_median_effect	pathway_genes_in_hvg_model	member_gene_same_direction_fraction	median_member_gene_log2cpm_effect	decoder_direction_match_fraction_median	decoder_abs_weight_direction_match_fraction_median	decoder_abs_weight_direction_match_fraction_minimum	decoder_gene_effect_spearman_median	top_decoder_concordant_member_genes
kidney	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	Cell Junction Organization	supporting	composition_sensitive	0.0572602026900583	73	0.7808219178082192	0.07095696959752089	0.5616438356164384	0.6015598631114517	0.5973324206326591	0.08138960878686907	Itgb4 (raw +0.16, weight +0.53); Flnc (raw +0.24, weight +0.49); Acta1 (raw +0.05, weight +0.44); Actg2 (raw +0.17, weight +0.40); Cdh3 (raw +0.07, weight +0.40); Krt14 (raw +0.00, weight +0.37); Cdh13 (raw +0.17, weight +0.35); Sdk1 (raw +0.11, weight +0.35)
kidney	R-MMU-500792_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	exclude	broad_redundant	-0.0974449197953216	97	0.3402061855670103	0.060365637138280165	0.5670103092783505	0.6105392210078197	0.4879723378448451	0.42744196902834924	Ccl3 (raw -0.17, weight +0.71); Ccl12 (raw -0.27, weight +0.68); Adgre1 (raw -0.02, weight +0.66); Ccl4 (raw -0.10, weight +0.55); Ccl7 (raw -0.08, weight +0.52); Ccl6 (raw -0.02, weight +0.49); Cxcl9 (raw -0.25, weight +0.46); Ccl9 (raw -0.03, weight +0.39)
kidney	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	Neutrophil Degranulation	exclude	seed_inconsistent	-0.0902320552777778	161	0.30434782608695654	0.05270047542955266	0.5838509316770186	0.5756831269275495	0.3994901726613387	0.1566396365309409	Abca13 (raw -0.05, weight +0.78); Mgam (raw -0.03, weight +0.52); Orm1 (raw +0.19, weight -0.37); Pkp1 (raw +0.16, weight -0.34); Cfd (raw +0.30, weight -0.31); Itgax (raw -0.07, weight +0.29); Slc27a2 (raw -0.05, weight +0.28); Fcna (raw +0.06, weight -0.28)
kidney	R-MMU-6805567_KERATINIZATION	Keratinization	exclude	tissue_incongruent	0.0658423939327485	23	0.782608695652174	0.07932217158923603	0.7391304347826086	0.8010764196650078	0.7638714653706017	0.24802371541501977	Krt18 (raw +0.18, weight +0.66); Krt8 (raw +0.15, weight +0.65); Krt19 (raw +0.22, weight +0.54); Krt7 (raw +0.12, weight +0.52); Krt20 (raw +0.17, weight +0.50); Perp (raw +0.01, weight +0.40); Ppl (raw +0.14, weight +0.34); Krt80 (raw +0.15, weight +0.27)
kidney	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism Of Amino Acids And Derivatives	exclude	latent_gene_discordant	-0.1399779505994154	75	0.26666666666666666	0.06934095377440641	0.4	0.4166140308583976	0.4146448151390016	0.22019914651493594	Pah (raw -0.18, weight +0.84); Aass (raw -0.06, weight +0.62); Dbh (raw +0.09, weight -0.60); Agxt2 (raw -0.00, weight +0.58); Th (raw +0.07, weight -0.55); Kmo (raw -0.05, weight +0.51); Dmgdh (raw -0.02, weight +0.50); Gatm (raw -0.05, weight +0.44)
kidney	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Response To Elevated Platelet Cytosolic Ca2	supporting	broad_redundant	0.1347827466228069	69	0.8695652173913043	0.1424348891294264	0.5942028985507246	0.7269325642053801	0.5328955513475775	0.21355498721227625	Cfd (raw +0.30, weight +0.55); Ahsg (raw +0.36, weight +0.43); Fgg (raw +0.53, weight +0.41); Serpinf2 (raw +0.20, weight +0.39); Rarres2 (raw +0.14, weight +0.39); Apoh (raw +0.26, weight +0.36); Fga (raw +0.39, weight +0.36); Plg (raw +0.15, weight +0.36)
kidney	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	Golgi To Er Retrograde Transport	exclude	seed_inconsistent	-0.037186147253207555	19	0.21052631578947367	0.10789188520454851	0.4473684210526315	0.4380050434116485	0.3712117387459431	0.2456140350877193	Kif20b (raw -0.23, weight +0.55); Kif11 (raw -0.02, weight +0.53); Kif1a (raw +0.21, weight -0.20); Tubb3 (raw +0.12, weight -0.14); Kif20a (raw -0.01, weight +0.09); Tubb2a (raw +0.20, weight -0.08); Tuba1a (raw +0.16, weight -0.08); Kif26a (raw +0.17, weight -0.07)
kidney	R-MMU-8978868_FATTY_ACID_METABOLISM	Fatty Acid Metabolism	exclude	seed_inconsistent	-0.1106688202046784	60	0.21666666666666667	0.1114717296316002	0.55	0.5716458201930961	0.5381669140778205	0.26296193387051964	Acsbg1 (raw +0.22, weight +0.44); Ptgds (raw +0.25, weight +0.40); Scd1 (raw +0.04, weight +0.39); Thrsp (raw +0.36, weight +0.38); Hacd4 (raw +0.13, weight +0.33); Fasn (raw +0.35, weight +0.31); Elovl3 (raw +0.32, weight +0.23); Akr1c21 (raw -0.07, weight -0.22)
kidney	R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Cellular Response To Chemical Stress	exclude	sensitivity_dependent	-0.0681619099415202	29	0.3103448275862069	0.046129901555682494	0.4827586206896552	0.48673435048123215	0.3288272631116161	0.20344827586206893	Gpx6 (raw -0.10, weight +0.37); Nox4 (raw -0.19, weight +0.32); Gpx8 (raw +0.05, weight -0.23); Helz2 (raw +0.22, weight -0.18); Cox6a2 (raw -0.09, weight +0.10); Blvrb (raw +0.10, weight -0.10); Gpx1 (raw -0.00, weight +0.10); Hmox1 (raw +0.05, weight -0.09)
kidney	R-MMU-9757110_PREDNISONE_ADME	Prednisone Adme	exclude	seed_inconsistent	0.0156625471803801	19	0.5	-0.0066683976096283916	0.5263157894736842	0.6289218241304755	0.5266561876834509	0.13070175438596493	Serpina6 (raw +0.20, weight -0.50); Ugt1a2 (raw +0.38, weight -0.30); Ugt2b37 (raw +0.04, weight -0.18); Ugt2b1 (raw -0.01, weight +0.18); Ugt1a5 (raw -0.40, weight +0.14); Cyp3a13 (raw -0.02, weight +0.08); Akr1c21 (raw -0.07, weight +0.04); Ugt2b34 (raw -0.06, weight +0.02)
kidney	R-MMU-9764274_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_I_CLASSICAL_CADHERINS	Regulation Of Expression And Function Of Type I Classical Cadherins	supporting	plausible_complementary	0.1044010590994152	45	0.8	0.05168924235438096	0.7111111111111111	0.8605698477495152	0.39165251770860693	0.3372859025032938	Gm28635 (raw +0.10, weight +0.74); H3c14 (raw -0.15, weight -0.38); H3c2 (raw +0.13, weight +0.33); H3c11 (raw +0.11, weight +0.32); H2ac23 (raw +0.01, weight +0.30); H3c13 (raw +0.03, weight +0.28); H4c18 (raw +0.02, weight +0.28); H2ac10 (raw +0.17, weight +0.27)
spleen	R-MMU-1474290_COLLAGEN_FORMATION	Collagen Formation	supporting	small_after_multiseed	0.0355869860833333	21	0.7619047619047619	0.15625527370981515	0.6190476190476191	0.6604504254534501	0.6106460624559988	0.2571428571428571	Plod2 (raw +0.19, weight +0.30); Col1a2 (raw +0.16, weight +0.24); Col4a1 (raw +0.22, weight +0.17); Col4a2 (raw +0.28, weight +0.16); Col5a2 (raw +0.32, weight +0.16); Col16a1 (raw +0.10, weight +0.14); Col6a3 (raw +0.21, weight +0.14); Col12a1 (raw +0.36, weight +0.09)
spleen	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	Post Translational Modification Synthesis Of Gpi Anchored Proteins	supporting	plausible_complementary	-0.0720657628638887	20	0.75	-0.05924981635494149	0.6	0.7406404712575382	0.7326175358361875	0.060150375939849614	Ly6d (raw -0.17, weight +0.51); Ly6k (raw -0.15, weight +0.41); Plaur (raw -0.05, weight +0.39); Ceacam2 (raw -0.07, weight +0.38); Cpm (raw -0.11, weight +0.37); Lypd6b (raw -0.07, weight +0.35); Pgap1 (raw -0.03, weight +0.30); Gpld1 (raw +0.07, weight -0.26)
