gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000043286	3	2	1	0	0
ENSMUSG00000051917	3	2	1	0	0
ENSMUSG00000039967	11	4	6	6	3
ENSMUSG00000065521	3	2	1	0	0
ENSMUSG00000021403	3	2	1	0	0
ENSMUSG00000053128	3	8	2	0	4
ENSMUSG00000054497	3	2	1	0	0
ENSMUSG00000014980	3	2	1	0	0
ENSMUSG00000022905	11	0	0	6	6
ENSMUSG00000078958	3	2	1	0	0
ENSMUSG00000085786	13	11	3	0	14
ENSMUSG00000000049	12	10	11	10	5
ENSMUSG00000049047	13	13	0	0	6
ENSMUSG00000027870	11	0	13	13	8
ENSMUSG00000075102	3	2	1	0	0
ENSMUSG00000039115	0	4	12	0	2
ENSMUSG00000057072	3	2	1	0	0
ENSMUSG00000031312	13	1	2	0	4
ENSMUSG00000029655	11	10	6	6	3
ENSMUSG00000056919	13	3	2	0	14
ENSMUSG00000030890	0	10	12	6	2
ENSMUSG00000069816	3	2	1	0	0
ENSMUSG00000099370	3	2	1	0	0
ENSMUSG00000036622	0	4	3	0	2
ENSMUSG00000005611	13	12	7	0	4
ENSMUSG00000031583	13	11	6	0	14
ENSMUSG00000003452	13	13	0	0	6
ENSMUSG00000078962	3	2	1	0	0
ENSMUSG00000038650	0	10	12	6	13
ENSMUSG00000028329	3	2	1	0	0
ENSMUSG00000057411	13	12	2	0	4
ENSMUSG00000026433	3	8	1	0	0
ENSMUSG00000024286	11	0	6	6	6
ENSMUSG00000005628	13	1	2	0	4
ENSMUSG00000042428	13	13	9	0	1
ENSMUSG00000040017	7	12	11	0	5
ENSMUSG00000040612	13	13	9	0	1
ENSMUSG00000014351	3	2	1	0	0
ENSMUSG00000050394	3	2	1	0	0
ENSMUSG00000029426	9	14	6	6	3
ENSMUSG00000043384	11	5	9	9	11
ENSMUSG00000023026	0	10	6	6	3
ENSMUSG00000022439	13	11	3	0	12
ENSMUSG00000027670	3	2	1	0	0
ENSMUSG00000022064	13	8	2	0	14
ENSMUSG00000115139	3	2	1	0	0
ENSMUSG00000073916	3	2	1	0	0
ENSMUSG00000086918	3	2	1	0	0
ENSMUSG00000024215	3	2	1	0	0
ENSMUSG00000003190	3	8	1	0	0
ENSMUSG00000022711	13	11	7	0	13
ENSMUSG00000032504	11	10	6	6	2
