direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
up_in_flight	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Pyruvate Metabolism And Citric Acid Tca Cycle	2	OSD-379,OSD-463	0.011240447394519803	0.8262480065659639	
down_in_flight	REACTOME_COMMON_PATHWAY	Common Pathway	2	OSD-245,OSD-463	0.012829638187249156	-1.4444101292806049	
down_in_flight	REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	Keratan Sulfate Keratin Metabolism	2	OSD-245,OSD-463	0.015515003080184945	-0.8383315526960149	
down_in_flight	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Asparagine N Linked Glycosylation	2	OSD-245,OSD-463	0.019514669549061406	-0.5164218809590448	
down_in_flight	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Initial Triggering Of Complement	2	OSD-245,OSD-463	0.019514669549061406	-1.0563788991038132	immune_complement_coagulation
up_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Respiratory Electron Transport	1	OSD-463	1.085385365709399e-23	2.366125508438087	
up_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	Respiratory Electron Transport Atp Synthesis By Chemiosmotic Coupling And Heat Production By Uncoupling Proteins 	1	OSD-463	1.085385365709399e-23	2.331694396854236	
down_in_flight	REACTOME_PEPTIDE_CHAIN_ELONGATION	Peptide Chain Elongation	1	OSD-245	2.256789426737078e-22	-1.9521929547116477	
up_in_flight	REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Tca Cycle And Respiratory Electron Transport	1	OSD-463	6.109237897962383e-22	1.8447155353364562	
down_in_flight	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	Influenza Viral Rna Transcription And Replication	1	OSD-245	6.925439546169408e-22	-1.7039428125410407	
down_in_flight	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Srp Dependent Cotranslational Protein Targeting To Membrane	1	OSD-245	6.925439546169408e-22	-1.6448643826694829	translation_ribosome
down_in_flight	REACTOME_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	1	OSD-245	5.765557970122429e-21	-0.7161765557733364	
down_in_flight	REACTOME_TRANSLATION	Translation	1	OSD-245	1.4143749662194744e-18	-1.2192834174132896	translation_ribosome
down_in_flight	REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	3 Utr Mediated Translational Regulation	1	OSD-245	3.0812546712844595e-18	-1.4755532382107444	translation_ribosome
