x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
9.285888,-6.5351987,3.3814077,AT1G03820,GC,13,3,2,6
15.044643,7.7670665,2.6832042,AT1G03830,GC,6,8,15,0
10.690193,17.846777,6.2728014,AT1G03840,GC,6,9,0,0
15.987303,-16.193565,-2.5267859,AT1G03850,GC,12,1,1,5
6.7381024,-15.33313,8.004961,AT1G03860,GC,17,1,19,5
10.508241,-3.856782,13.221789,AT1G03870,GC,3,0,13,1
-21.712757,-1.4099106,6.437379,AT1G03880,GC,0,17,17,3
19.06486,-6.806338,8.163447,AT1G03900,GC,22,0,13,1
-0.36288854,2.7790148,-9.54896,AT1G03905,GC,18,5,3,2
8.747534,-17.685757,8.273199,AT1G03910,GC,17,1,19,5
7.9903755,22.88414,-2.000681,AT1G03920,GC,6,10,0,0
8.85318,3.086708,-8.280907,AT1G03930,GC,18,4,3,2
-15.640866,6.4586434,11.21757,AT1G03940,GC,0,17,17,3
6.5755014,3.8734486,-3.564634,AT1G03950,GC,18,5,3,2
8.934502,15.185881,9.023063,AT1G03960,GC,6,8,0,0
5.1314173,4.2439556,-7.69766,AT1G03970,GC,18,5,3,2
-9.708573,-4.9480906,-4.2715425,AT1G03980,GC,20,15,18,4
-7.964505,-12.29352,9.535799,AT1G03990,GC,0,16,11,3
-17.359524,3.0594668,12.782816,AT1G03993,GC,0,16,17,3
6.0560565,12.849675,10.12419,AT1G04000,GC,6,8,7,0
10.280677,15.577535,8.085552,AT1G04010,GC,6,8,0,0
-11.789052,10.5646105,9.169495,AT1G04017,GC,0,0,12,3
4.518366,24.125843,-4.9969172,AT1G04020,GC,6,10,16,0
8.000681,3.1758428,5.7105174,AT1G04030,GC,6,6,15,0
10.101554,-2.1902702,14.616684,AT1G04040,GC,16,0,9,8
-10.878027,5.2511086,15.897469,AT1G04047,GC,0,16,6,3
3.8343248,12.768796,-11.649323,AT1G04050,GC,6,11,10,0
-7.945103,-1.5220819,-1.0810547,AT1G04053,GC,20,15,18,4
11.436796,19.407398,2.9988759,AT1G04070,GC,6,9,0,0
-16.105436,5.4063725,11.672335,AT1G04077,GC,0,16,17,3
12.78538,-16.566774,9.315423,AT1G04080,GC,1,1,19,5
-7.6987276,0.016430331,3.210987,AT1G04090,GC,20,15,18,4
-3.1341162,22.474817,-7.407664,AT1G04100,GC,20,11,16,4
-9.051551,-8.10053,-1.302962,AT1G04103,GC,0,15,11,11
-18.017126,2.5991921,11.9509945,AT1G04110,GC,0,16,17,3
-16.579384,2.8285708,16.151722,AT1G04117,GC,0,16,17,3
11.703059,-6.6453643,12.351302,AT1G04120,GC,3,0,13,1
-22.753397,1.2666595,5.8730783,AT1G04123,GC,0,17,17,3
13.786579,10.461426,-1.7436461,AT1G04130,GC,6,11,10,0
17.760988,-10.558529,9.771214,AT1G04140,GC,8,0,13,1
-17.27555,-7.354552,7.0520883,AT1G04150,GC,0,16,5,3
14.50696,10.264896,0.56701374,AT1G04160,GC,6,9,15,0
-13.614324,-5.508124,19.011896,AT1G04163,GC,0,16,5,3
16.859886,-11.022296,10.36923,AT1G04170,GC,8,0,13,1
6.3384075,19.081514,-9.6639805,AT1G04180,GC,20,11,16,4
-3.293768,-5.898515,-17.290625,AT1G04183,GC,18,2,14,2
-17.63729,1.3496195,16.66418,AT1G04187,GC,0,16,5,3
-1.5083406,-16.228277,-0.14368773,AT1G04190,GC,19,1,8,5
-18.515726,3.0528126,11.04989,AT1G04193,GC,0,16,17,3
-11.137744,11.194167,10.587214,AT1G04197,GC,0,0,12,3
6.2952404,-8.316033,-4.534288,AT1G04200,GC,14,3,2,6
1.6772308,-16.353958,3.3197656,AT1G04210,GC,17,1,19,5
8.909127,-7.040611,-1.1665117,AT1G04220,GC,4,3,2,6
-6.9843507,-6.1530695,16.906548,AT1G04223,GC,0,16,6,3
5.2751074,5.6722593,8.150696,AT1G04230,GC,6,7,15,0
0.76099205,14.875698,6.532426,AT1G04240,GC,6,9,7,0
-13.263453,-10.717245,3.4116702,AT1G04247,GC,0,15,11,11
11.291075,-11.936819,10.835467,AT1G04250,GC,23,1,13,1
-2.6327832,7.8460217,-0.9464957,AT1G04260,GC,6,7,7,0
6.205909,0.5199244,19.239952,AT1G04270,GC,2,0,9,8
-17.74308,-3.1495671,16.979939,AT1G04273,GC,0,16,5,3
