flt_cluster	gc_cluster	gene_count	fraction_of_flt_cluster	fraction_of_gc_cluster	mean_latent_shift	median_latent_shift	p90_latent_shift	eligible_dgea_genes	significant_dgea_genes	mean_meta_log2fc_eligible	mean_abs_meta_log2fc_sig	top_shift_genes	top_significant_genes	primary_gc_for_flt	primary_flt_for_gc	is_primary_flt_to_gc	is_primary_gc_to_flt	edge_role
7	7	200	0.18761726078799248	0.14925373134328357	1.8420593613284075	1.7611918447559274	2.77496031905036	200	0	-0.022583160326325145	NA	Slc4a1,Spta1,Gm5111,Dnah11,Gzmb,Nek2,Ccnb2,Ttll13,Noxo1,A630076J17Rik,D7Ertd443e,Zfp879		2	4	False	False	secondary
7	10	72	0.0675422138836773	0.06883365200764818	1.417267107690992	1.4095245918772337	1.9982468386079455	72	0	-0.032132946357743684	NA	Pax9,Vmn1r193,Tmprss11g,Tmprss11b,Angptl1,Vmn1r1,1500015L24Rik,Olfr1264,Kcnk4,Olfr1410,Vmn1r188,Olfr1204		2	4	False	False	secondary
8	3	636	0.6809421841541756	0.38804148871262967	1.2840051905604715	1.148008245537818	1.9839974115615129	636	0	0.04900731412483181	NA	Fam193b,Leng8,Gsn,Id3,Mid1ip1,Ehbp1l1,Bola2,Zfpm1,Per1,Dock6,Tln2,Hnf1a		3	8	True	True	reciprocal_primary
8	4	188	0.2012847965738758	0.11691542288557213	1.4396061430492388	1.2795581873483357	2.1278507440820054	188	0	0.05350810148517007	NA	Josd2,1810019D21Rik,Mapk8ip3,Dynll1,Dct,1810037I17Rik,Pnpla6,Zfp710,Tmem25,Slc35c1,Cish,Klc1		3	2	False	False	secondary
8	6	97	0.10385438972162742	0.07217261904761904	1.888141000172915	1.877918181998764	2.5964209252785535	97	0	0.07587802293347341	NA	Tjp3,AI661453,Tnk2,Pfkm,Atoh8,Capn15,Adck5,Camta2,Cep250,Map4k2,Rexo1,Zfp335		3	12	False	False	secondary
8	8	13	0.013918629550321198	0.011082693947144074	2.057759819209426	1.817426729032186	3.051137638633517	13	0	0.003729752806923646	NA	Snrpg,Plin4,Uqcc2,Avpi1,Timm10,Cox19,Sdf2l1,Pltp,Tspo,Rcan1,Mrps24,Atp6v0e		3	2	False	False	secondary
9	2	411	0.45016429353778753	0.1953422053231939	2.485831024200383	2.29753060957674	3.6307338908922793	411	0	-0.06892296977771821	NA	Ttn,Tpm2,Eno3,Cryab,Acta2,Ada,Tafa2,Slc2a4,Pkia,Jph1,Snora21,Smpd3		2	7	True	False	flt_primary_only
9	8	239	0.2617743702081051	0.20375106564364875	2.8408467615228963	2.596798707266125	4.281664818366721	239	0	-0.07319549084463553	NA	Rnu12,Snora44,Snora78,Snora7a,Gstp2,Snord118,Gvin1,Adgrf1,AI506816,Mcm6,Trim30d,Trim12a		2	2	False	False	secondary
9	13	107	0.1171960569550931	0.9727272727272728	2.8730740682295153	2.7125326502007394	4.221762662737481	107	0	-0.05634141812457154	NA	Synm,Snora3,Acpp,Raet1d,Snora81,Disp2,Scara5,Camk2b,Cyp26a1,2900076A07Rik,Lad1,Isoc2b		2	9	False	True	gc_primary_only
9	6	93	0.10186199342825848	0.06919642857142858	2.896322750894851	2.647679612465694	4.574106310910276	93	0	0.025769010472188648	NA	Des,Ctse,Gm12191,H4c14,Krt23,C1s2,Sult2a5,Chrna2,Rprl3,A330049N07Rik,Gm11127,Gucy2c		2	12	False	False	secondary
9	7	57	0.0624315443592552	0.04253731343283582	3.250239763568776	3.12091885402105	4.8460397346263075	57	4	0.0668037352395899	1.3410709734281177	Pygm,Xirp1,Eps8l1,Tuba8,H2ac18,Srl,Snord89,Snora5c,H1f5,H4c12,Terc,H2bc15	Treh,Pitx3,Trim80,Tuba8	2	4	False	False	secondary
9	14	6	0.0065717415115005475	0.07142857142857142	3.3757844925085245	3.2171698249707177	4.422531233886988	6	0	0.0015088546680600498	NA	Scand1,H2bc12,H4c6,H2bc13,H4c1,Guca1a		2	6	False	False	secondary
10	9	805	0.9106334841628959	0.7024432809773123	1.4771959007119349	1.409339676954643	1.9724256495636	805	0	0.017037094075398794	NA	Kcnq1ot1,Serpina7,Ugt1a5,Acot4,1810008I18Rik,Cyp17a1,Mme,Gng5,Cyp2d37-ps,Dsc2,Neat1,Fmo2		9	10	True	True	reciprocal_primary
10	12	34	0.038461538461538464	0.05501618122977346	0.9602048756563086	0.8818604307860229	1.341769300834494	34	0	0.036887560541691886	NA	Abca8a,Sqor,Npc1,Maob,Pgm1,4932438A13Rik,Eif1,Nrn1,Hsd3b3,Acadl,Ganab,Sec24a		9	11	False	False	secondary
10	11	31	0.03506787330316742	0.03708133971291866	1.4499806928327295	1.4012972126184011	1.954281325159226	31	0	0.034102802499408884	NA	Rdh9,Hsd17b11,Slc16a2,Zadh2,Lect2,Aldh5a1,Slk,Glg1,Mmp19,Nrp1,Pm20d1,Zdhhc9		9	5	False	False	secondary
10	5	12	0.013574660633484163	0.008869179600886918	1.6326812742543313	1.584338918199458	1.7624296156186536	12	0	0.02053876541455857	NA	Tnrc6a,Setd5,Zscan26,Cdk13,Asxl2,Sbf2,Sfpq,Usp32,Sesn3,Pura,Gsk3b,Ep300		9	1	False	False	secondary
10	8	2	0.0022624434389140274	0.0017050298380221654	1.3654318722759262	1.3654318722759262	1.4082906896379712	2	0	0.2262761478147465	NA	Msmo1,Cyp51		9	2	False	False	secondary
11	12	502	0.7880690737833596	0.8122977346278317	1.4723633029609238	1.3183778751587525	2.2530473782938887	502	0	0.014018639769023237	NA	Alb,Trf,Apob,Selenop,Apoe,C3,Cyp2e1,Ahsg,Apoa2,Serpina1b,Apoc1,Scd1		12	11	True	True	reciprocal_primary
11	9	125	0.19623233908948196	0.10907504363001745	1.4813887211606174	1.3656996814517792	2.1560458261086506	125	0	-0.0017744655980124113	NA	Rps27l,Rps12,Atp5md,Rps23,Cox7a2,Atp5l,Fabp2,Rpl31,Rps25,Cox7c,Rps27a,Ndufa4		12	10	False	False	secondary
11	8	5	0.007849293563579277	0.004262574595055414	1.9431461167727957	2.0209194206317043	2.0836782573713535	5	1	0.3355302024806377	1.21703823618171	Lpin1,Rpl13a,Cyp3a11,Cyp4a14,Egfr	Cyp4a14	12	2	False	False	secondary
11	11	5	0.007849293563579277	0.005980861244019139	1.7880981371611615	1.6068496948476465	2.3657842706687533	5	0	-0.02336719960144534	NA	Rpl41,Rps8,Rack1,Fau,Nr1i3		12	5	False	False	secondary
12	6	571	0.9596638655462185	0.42485119047619047	2.0818926968024525	2.002718225307661	2.689909788766656	571	0	0.0364182530350859	NA	Adamts10,Ptp4a3,Dmpk,Phldb1,Gm3219,Lgals1,Niban2,Slc12a9,Smtn,Slc2a1,Gpc1,Card10		6	12	True	True	reciprocal_primary
12	3	16	0.02689075630252101	0.009762050030506406	1.4525154735317671	1.3146855384585323	2.0126272658451394	16	0	-0.031856411427532004	NA	9030025P20Rik,Slc5a6,Endog,Gstm5,Prex1,Haus7,Uba7,Tmed1,Limd2,Vasp,Dqx1,Ogfod2		6	8	False	False	secondary
12	4	5	0.008403361344537815	0.003109452736318408	1.972980263520283	2.1208449313211664	2.3412531766143267	5	0	-0.002752565436678156	NA	Tuba1a,Tmem141,Tsr3,Dedd2,Bbln		6	2	False	False	secondary
12	8	3	0.005042016806722689	0.0025575447570332483	3.4709425493328268	3.6892139872577703	4.317851449147676	3	0	0.029963580373829107	NA	Synpo,1110038B12Rik,H1f3		6	2	False	False	secondary
13	7	252	0.7730061349693251	0.1880597014925373	2.76485039617012	2.276751674812834	4.614589415254642	249	2	0.04497875791146096	1.27148667784441	Ckm,Myh8,Cmya5,Obscn,Atp2a1,Ryr1,Mylpf,Txlnb,Nrap,Flnc,Pgam2,Alpk3	Adipoq,Cyp2c53-ps	7	4	True	False	flt_primary_only
13	1	32	0.09815950920245399	0.014645308924485127	6.694277158153993	7.738389286922297	8.79538878224418	25	9	1.388787385234307	3.019061124409099	Acta1,Myh1,Tnnc2,Tnnt3,Tnni2,Mb,Tcap,Xirp2,Mybpc2,Myh2,Myl1,Sln	Myl1,Tnnt3,Acta1,Myh4,Myh2,Mybpc1,Myh1,Xirp2,Ckmt1	7	3	False	False	secondary
13	2	21	0.06441717791411043	0.009980988593155894	3.625626321634898	3.3033575214505837	7.601247922388592	21	0	0.0673025654715315	NA	Amy2a5,Myom1,Actn2,Klhl31,Dtna,Mfap3l,Akap6,Klf4,Scn7a,Nol3,Snora31,Meg3		7	7	False	False	secondary
13	10	17	0.05214723926380368	0.016252390057361378	4.349026834325297	4.16035714627993	6.650812017116589	17	0	0.1678462060617747	NA	Ldb3,Perm1,Itgb1bp2,Synpo2l,Myh7,Nos1,Abca12,Trim63,Aspn,Il36g,Sgcd,Igdcc4		7	4	False	False	secondary
13	0	2	0.006134969325153374	0.0004520795660036166	8.101406758396031	8.101406758396031	8.204207088510454	0	0	NA	NA	ENSMUSG00000044041,ENSMUSG00000041984		7	0	False	False	secondary
13	14	2	0.006134969325153374	0.023809523809523808	4.207321455754361	4.207321455754361	5.85034925829329	2	0	0.17033582703311084	NA	Pnlip,Gm13889		7	6	False	False	secondary
14	8	163	0.5379537953795379	0.13895993179880647	3.4192445315599422	3.257203888650005	4.810635686897376	163	3	-0.06771594320696667	1.2812021855673368	Scarna6,Slc25a4,Snora23,Snord22,Cyp3a44,Cyp3a16,Snord104,Cyp2a4,Cyp2b13,Cyp2b9,Ifi27l2a,Sult3a1	Mup15,Mup17,Cdkn1a	8	2	True	False	flt_primary_only
14	3	39	0.12871287128712872	0.023794996949359364	2.648540360051721	2.495878388470729	3.920151602972982	39	0	-0.004514891948649478	NA	Gpat3,Snord15b,Gbp11,Gbp10,Lsm7,Inhba,Slc13a3,Fmo4,Cd163,Sco2,Morf4l1-ps1,Hmgn5		8	8	False	False	secondary
