gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000041079	11	0	6	2
ENSMUSG00000030127	13	0	11	5
ENSMUSG00000055971	2	0	3	0
ENSMUSG00000066149	5	0	7	1
ENSMUSG00000032563	5	0	7	1
ENSMUSG00000027244	5	0	7	1
ENSMUSG00000028523	2	0	3	0
ENSMUSG00000038762	13	0	11	5
ENSMUSG00000077972	2	0	3	0
ENSMUSG00000027784	5	0	7	1
ENSMUSG00000026792	6	0	16	8
ENSMUSG00000059201	8	1	19	13
ENSMUSG00000022724	11	0	6	2
ENSMUSG00000078716	16	1	22	7
ENSMUSG00000054901	4	0	24	3
ENSMUSG00000045648	2	0	3	0
ENSMUSG00000020524	4	0	20	3
ENSMUSG00000017774	13	0	11	5
ENSMUSG00000091863	2	0	3	0
ENSMUSG00000065422	2	0	3	0
ENSMUSG00000077457	4	0	20	3
ENSMUSG00000059031	8	0	4	15
ENSMUSG00000032192	9	0	10	4
ENSMUSG00000031410	4	0	4	3
ENSMUSG00000002910	15	0	2	2
ENSMUSG00000023947	15	1	5	6
ENSMUSG00000031125	4	0	20	3
ENSMUSG00000039477	13	0	16	5
ENSMUSG00000022707	17	0	0	11
ENSMUSG00000047594	4	0	24	3
ENSMUSG00000052364	16	0	22	7
ENSMUSG00000034730	2	0	3	0
ENSMUSG00000031753	1	0	11	5
ENSMUSG00000036169	4	0	20	3
ENSMUSG00000029865	2	0	3	0
ENSMUSG00000022706	5	0	7	1
ENSMUSG00000006575	3	1	18	12
ENSMUSG00000025236	5	0	7	1
ENSMUSG00000061981	13	0	11	5
ENSMUSG00000065401	2	0	3	0
ENSMUSG00000005089	17	0	14	11
ENSMUSG00000000889	2	0	3	0
ENSMUSG00000069917	1	0	8	5
ENSMUSG00000042345	16	0	22	7
ENSMUSG00000035642	11	0	6	2
ENSMUSG00000021294	9	1	5	6
ENSMUSG00000026333	19	0	6	2
ENSMUSG00000091468	10	0	23	4
ENSMUSG00000024558	16	0	22	7
ENSMUSG00000039725	3	1	18	12
ENSMUSG00000085886	4	0	20	3
ENSMUSG00000112707	16	1	10	7
ENSMUSG00000038517	3	1	18	12
ENSMUSG00000039555	2	0	3	0
ENSMUSG00000037962	4	0	24	3
ENSMUSG00000050973	3	1	18	12
ENSMUSG00000001420	9	1	5	6
ENSMUSG00000018470	8	0	10	15
ENSMUSG00000050217	2	0	3	0
ENSMUSG00000029716	1	0	8	5
ENSMUSG00000078453	19	0	2	2
ENSMUSG00000028538	13	0	11	5
ENSMUSG00000026766	14	0	21	1
ENSMUSG00000012520	2	0	3	0
ENSMUSG00000101655	15	1	5	6
ENSMUSG00000001155	1	0	8	5
ENSMUSG00000023092	0	0	6	14
ENSMUSG00000030607	2	0	3	0
ENSMUSG00000025949	7	0	21	10
ENSMUSG00000024182	6	0	16	8
ENSMUSG00000042750	4	0	20	3
ENSMUSG00000033033	18	1	5	9
ENSMUSG00000047669	16	0	22	7
ENSMUSG00000031168	17	0	8	11
ENSMUSG00000111564	4	0	24	3
ENSMUSG00000096009	2	0	3	0
ENSMUSG00000045438	6	0	16	8
ENSMUSG00000030002	14	0	21	1
ENSMUSG00000032594	13	0	11	5
ENSMUSG00000033214	2	0	3	0
ENSMUSG00000075269	2	0	3	0
ENSMUSG00000097756	2	0	3	0
ENSMUSG00000041642	15	1	5	6
ENSMUSG00000112880	18	1	1	9
ENSMUSG00000056832	16	0	22	7
ENSMUSG00000031616	19	0	2	2
ENSMUSG00000090291	10	0	23	4
ENSMUSG00000027233	2	0	13	0
ENSMUSG00000106053	12	1	5	6
ENSMUSG00000029408	9	1	5	6
ENSMUSG00000037331	1	0	8	5
ENSMUSG00000043687	15	1	5	6
ENSMUSG00000033902	6	0	18	8
ENSMUSG00000041248	4	0	20	3
ENSMUSG00000115236	2	0	3	0
ENSMUSG00000046062	7	0	0	10
ENSMUSG00000054619	17	0	14	11
ENSMUSG00000024563	14	0	7	1
ENSMUSG00000021362	4	0	20	3
ENSMUSG00000054679	4	0	24	3
ENSMUSG00000045678	16	0	1	7
ENSMUSG00000061601	18	1	1	9
ENSMUSG00000086628	11	0	6	2
ENSMUSG00000027962	19	0	6	2
ENSMUSG00000022132	4	0	20	3
ENSMUSG00000103906	15	1	5	6
ENSMUSG00000071424	4	0	24	3
ENSMUSG00000015968	12	1	2	6
ENSMUSG00000078625	4	0	20	3
ENSMUSG00000050198	4	0	20	3
ENSMUSG00000075220	2	0	3	0
ENSMUSG00000000171	17	0	14	11
ENSMUSG00000030785	8	0	12	15
ENSMUSG00000049823	9	1	5	6
ENSMUSG00000026134	19	1	2	2
ENSMUSG00000075095	2	0	3	0
ENSMUSG00000015247	14	0	21	1
