term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	0.0147497858310651	0.2320198432649874	0.0147497858310651	0.03275773057913515	0.019391066116756984	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-5688426_DEUBIQUITINATION	0.0783642326818663	0.243121622031865	0.0783642326818663	0.1752240683531986	0.1045255845531986	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	0.2885513409157219	0.243121622031865	0.2885513409157219	0.48368367845869215	0.29678094066508937	0.03824113312427363	prior_literature_match	prior literature match	dna damage	matches expected tissue/spaceflight biology: dna damage
R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	-0.0668700779137325	0.2448205386343242	0.0668700779137325	0.14341370267003364	0.07208535681144783	0.03824113312427363	prior_literature_match	prior literature match	respiratory	matches expected tissue/spaceflight biology: respiratory
R-MMU-418555_G_ALPHA_S_SIGNALLING_EVENTS	-0.0570733738415494	0.2448205386343242	0.0570733738415494	0.11167498814362924	0.028117640790093917	0.03824113312427363	plausible_complementary	plausible/complementary	g alpha	plausible complementary mechanism: g alpha
R-MMU-75153_APOPTOTIC_EXECUTION_PHASE	0.0142777128397887	0.2448205386343242	0.0142777128397887	0.020397807157540266	0.0014247655666312323	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9013026_RHOB_GTPASE_CYCLE	-0.0258875351399647	0.2448205386343242	0.0258875351399647	0.0282849860918261	0.0010869347617091993	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-73927_DEPURINATION	-0.006915823009419	0.2448205386343242	0.006915823009419	0.011592783839011815	0.00241904873714315	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-1971475_GLYCOSAMINOGLYCAN_PROTEIN_LINKAGE_REGION_BIOSYNTHESIS	0.0902842374471831	0.2480741847786975	0.0902842374471831	0.1563276715855927	0.1340115452522595	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	-0.0052125681168486	0.2493668626892807	0.0052125681168486	0.01265166426180705	0.0027129509946353836	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-5673001_RAF_MAP_KINASE_CASCADE	0.0380754092253519	0.2585119103166847	0.0380754092253519	0.0321016246083644	0.001642281830586632	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8948216_COLLAGEN_CHAIN_TRIMERIZATION	-0.0708557580985917	0.2636224075552604	0.0708557580985917	0.11253932064859108	0.024098549098883693	0.03824113312427363	prior_literature_match	prior literature match	collagen	matches expected tissue/spaceflight biology: collagen
R-MMU-8874081_MET_ACTIVATES_PTK2_SIGNALING	-0.0051808221912852	0.2690110941168682	0.0051808221912852	0.011596917219526813	0.0069074033895268165	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-6803157_ANTIMICROBIAL_PEPTIDES	0.1067382965669365	0.295766737813301	0.1067382965669365	0.08897369036069193	0.06140127569597467	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-211859_BIOLOGICAL_OXIDATIONS	0.1413208558001757	0.2964557551281765	0.1413208558001757	0.31247354040465175	0.08472404003394478	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9764265_REGULATION_OF_CDH1_EXPRESSION_AND_FUNCTION	-0.289051989141549	0.3057747472288341	0.289051989141549	0.5649350597588074	0.3363073966678983	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	0.021424862669595	0.3116721190328851	0.021424862669595	0.0209266410230927	0.0183758545147594	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-1638091_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.0017146577612551	0.3181637420517373	0.0017146577612551	0.004843169680541233	0.0010933731947432666	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9013106_RHOC_GTPASE_CYCLE	0.0021816876598415	0.3269822198755186	0.0021816876598415	0.0038408999626447665	0.0022692494910589336	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9764274_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_I_CLASSICAL_CADHERINS	-0.0071893217542781	0.3359929358280661	0.0071893217542781	0.016616718829627803	0.006941198359728867	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9769735_INITIATION_OF_COAGULATION_CASCADE	0.026634324791338	0.3377107689123546	0.026634324791338	0.036427354845458934	0.017657766284347832	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	-0.0098702256961971	0.3378587480768096	0.0098702256961971	0.023750999474395667	0.015411026708937632	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-73886_CHROMOSOME_MAINTENANCE	0.0042668134744014	0.3436736811348053	0.0042668134744014	0.006941818713835216	0.005679120399020417	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
