term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-211981_XENOBIOTICS	-0.0010736916124344	0.1216634793902005	0.0010736916124344	0.002684690433892484	0.0017959307911439666	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	-0.0340804288167691	0.1268979519992015	0.0340804288167691	0.035770337691337424	0.027441360670504147	0.014249067531992898	plausible_complementary	plausible/complementary	akt	plausible complementary mechanism: akt
R-MMU-9754706_ATORVASTATIN_ADME	-0.0005026530218559	0.1286966474706719	0.0005026530218559	0.0008608570715287915	0.0003996561354732584	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9937850_NURD_COMPLEX_ASSEMBLY	0.0006627166117687	0.1294891408182912	0.0006627166117687	0.0011299473697958333	0.0005971829517681168	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	-0.0762852212544622	0.1297894522637024	0.0762852212544622	0.08221413619374988	0.07382254313819435	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-5357801_PROGRAMMED_CELL_DEATH	-0.0569157681040946	0.1304427546647291	0.0569157681040946	0.0900192504225954	0.04572008454957959	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.0614215736500671	0.1304427546647291	0.0614215736500671	0.11263759213855973	0.09575142735068738	0.014249067531992898	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac
R-MMU-9909649_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION	0.0003782002174505	0.1304427546647291	0.0003782002174505	0.000867046100518457	0.0007997926212132598	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	0.0399668245095246	0.1304427546647291	0.0399668245095246	0.04911144166825326	0.015457328516206506	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-3214858_RMTS_METHYLATE_HISTONE_ARGININES	-0.0006143518642923	0.1304427546647291	0.0006143518642923	0.0007672107229153943	0.0003375909006376389	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-983712_ION_CHANNEL_TRANSPORT	-0.0392751952377381	0.1321143023131432	0.0392751952377381	0.06192815121324833	0.047853830975153035	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-2454202_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	-0.0019421876525821	0.1321143023131432	0.0019421876525821	0.0036946617224285004	0.0018799068274292328	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-5684996_MAPK1_MAPK3_SIGNALING	0.0701937282608367	0.1343378896873826	0.0701937282608367	0.08908775978628236	0.06179968673072678	0.014249067531992898	plausible_complementary	plausible/complementary	mapk	plausible complementary mechanism: mapk
R-MMU-112316_NEURONAL_SYSTEM	-0.0551659628768557	0.1343378896873826	0.0551659628768557	0.1004923304789415	0.06393083397100502	0.014249067531992898	likely_artifact	likely artifact/junk	neuronal	context-incongruent Reactome term: neuronal
