gene_cluster	n_genes	profile	id.accession	investigation.study.comment.project identifier	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source	official_material_type	official_tissue_type	mean_expression
0	1781	Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7	OSD-168	RR-1, RR-3	RR3_BSL_B7	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		134.60753
0	1781	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	OSD-168	RR-1, RR-3	RR3_FLT_F1	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		131.12184
0	1781	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	OSD-168	RR-1, RR-3	RR3_FLT_F2	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		125.318924
0	1781	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	OSD-168	RR-1, RR-3	RR3_FLT_F3	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		115.28299
0	1781	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	OSD-168	RR-1, RR-3	RR3_FLT_F4	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		152.33072
0	1781	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	OSD-168	RR-1, RR-3	RR3_GC_G1	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		139.26501
0	1781	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	OSD-168	RR-1, RR-3	RR3_GC_G2	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		194.16507
0	1781	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	OSD-168	RR-1, RR-3	RR3_GC_G3	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		145.87422
0	1781	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	OSD-168	RR-1, RR-3	RR3_GC_G5	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		129.75856
0	1781	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4	OSD-168	RR-1, RR-3	RR1_BSL_M4	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		106.645706
0	1781	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5	OSD-168	RR-1, RR-3	RR1_BSL_M5	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		119.07131
0	1781	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7	OSD-168	RR-1, RR-3	RR1_BSL_M7	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		131.10556
0	1781	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8	OSD-168	RR-1, RR-3	RR1_BSL_M8	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		129.47333
0	1781	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10	OSD-168	RR-1, RR-3	RR1_BSL_M10	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		133.27232
0	1781	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4	OSD-168	RR-1, RR-3	RR1_BSL_M4	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		116.444695
0	1781	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5	OSD-168	RR-1, RR-3	RR1_BSL_M5	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		122.7799
