location	term	study_count	accessions	cluster_count	best_fdr_bh	max_overlap	example_clusters
FLT	REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	5.7873503443205685e-25	53	OSD-48:FLT10;OSD-168:FLT4;OSD-463:FLT6;OSD-379:FLT6;OSD-48:FLT7;OSD-137:FLT8;OSD-245:FLT8;OSD-463:FLT4
FLT	REACTOME_BIOLOGICAL_OXIDATIONS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	7.963927635460529e-24	45	OSD-168:FLT7;OSD-245:FLT8;OSD-48:FLT10;OSD-379:FLT8;OSD-463:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-48:FLT7
GC	REACTOME_DEFENSINS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	7	4.5681501996247163e-23	49	OSD-245:GC4;OSD-48:GC1;OSD-463:GC1;OSD-168:GC2;OSD-379:GC1;OSD-137:GC0;OSD-168:GC11
FLT	REACTOME_DEFENSINS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	7	1.9157960070464147e-22	48	OSD-168:FLT1;OSD-48:FLT0;OSD-137:FLT1;OSD-245:FLT0;OSD-379:FLT4;OSD-463:FLT0;OSD-245:FLT12
GC	REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	5.813625785425096e-22	36	OSD-48:GC3;OSD-463:GC4;OSD-379:GC5;OSD-168:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC5;OSD-245:GC7
GC	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	5.813625785425096e-22	34	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-245:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC9
GC	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	9	9.945249013415468e-22	35	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC5;OSD-245:GC9
GC	REACTOME_ER_PHAGOSOME_PATHWAY	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	1.574911897954774e-21	36	OSD-48:GC3;OSD-463:GC4;OSD-379:GC5;OSD-168:GC5;OSD-137:GC6;OSD-245:GC5;OSD-137:GC8;OSD-245:GC7
GC	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	26	3.403448256321185e-21	126	OSD-379:GC5;OSD-48:GC3;OSD-168:GC5;OSD-463:GC4;OSD-463:GC7;OSD-245:GC5;OSD-137:GC8;OSD-379:GC6
GC	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	3.55127572747383e-21	39	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-245:GC5;OSD-137:GC8;OSD-245:GC9
GC	REACTOME_GPCR_LIGAND_BINDING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	5.780885146457204e-21	237	OSD-137:GC0;OSD-245:GC0;OSD-379:GC2;OSD-168:GC1;OSD-48:GC5;OSD-48:GC0;OSD-463:GC1;OSD-463:GC0
GC	REACTOME_SIGNALING_BY_WNT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	8.587653755820882e-21	39	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-245:GC5;OSD-137:GC8;OSD-245:GC7
FLT	REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	9.359272399718308e-21	23	OSD-245:FLT8;OSD-48:FLT10;OSD-379:FLT8;OSD-463:FLT6;OSD-168:FLT4;OSD-137:FLT3;OSD-463:FLT4;OSD-168:FLT7
GC	REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	9.420229564309022e-21	33	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC5;OSD-245:GC9
GC	REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	9.420229564309022e-21	33	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC5;OSD-245:GC9
FLT	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	21	1.7684953163796394e-20	125	OSD-168:FLT4;OSD-463:FLT4;OSD-137:FLT3;OSD-379:FLT6;OSD-48:FLT7;OSD-245:FLT3;OSD-48:FLT5;OSD-379:FLT5
GC	REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	1.8671063256087966e-20	182	OSD-137:GC0;OSD-245:GC0;OSD-168:GC1;OSD-379:GC2;OSD-48:GC0;OSD-48:GC5;OSD-463:GC1;OSD-463:GC0
FLT	REACTOME_APOPTOSIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	4.9427658153201017e-20	50	OSD-48:FLT7;OSD-463:FLT4;OSD-168:FLT4;OSD-379:FLT6;OSD-137:FLT3;OSD-137:FLT8;OSD-245:FLT3;OSD-245:FLT9
GC	REACTOME_REGULATION_OF_APOPTOSIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	8.063093953865528e-20	36	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC5;OSD-245:GC9
GC	REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	8.743560527666278e-20	33	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC5;OSD-245:GC9
GC	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	8.743560527666278e-20	33	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC5;OSD-245:GC7
