gene_id	flt_cluster	gc_cluster	procrustes_latent_shift
ENSMUSG00000098912	10	2	1.3240663434405697
ENSMUSG00000062175	2	1	2.7265697360522116
ENSMUSG00000028035	7	4	1.047644232883859
ENSMUSG00000039656	5	6	1.8643367728364788
ENSMUSG00000024955	5	11	2.752031642155004
ENSMUSG00000018921	12	10	1.3871336849012377
ENSMUSG00000047751	0	0	0.43841443149948217
ENSMUSG00000032257	0	0	0.43841443149948217
ENSMUSG00000015342	4	7	2.0703243575255
ENSMUSG00000059623	2	2	1.8288240892376015
ENSMUSG00000047904	2	2	1.314739350962319
ENSMUSG00000001348	3	9	1.8095678191580922
ENSMUSG00000027965	4	7	2.0848198194849124
ENSMUSG00000031891	1	3	0.4325435736672632
ENSMUSG00000069089	11	4	1.0386773730230194
ENSMUSG00000027186	8	2	2.23323178686367
ENSMUSG00000030934	9	8	1.542859297538734
ENSMUSG00000040037	1	3	0.6374162521347102
ENSMUSG00000055720	5	6	2.2882093713637985
ENSMUSG00000060688	0	0	0.43841443149948217
ENSMUSG00000050213	4	7	1.5896273736967168
ENSMUSG00000054423	2	1	0.46376424463922294
ENSMUSG00000053914	1	3	0.3517918885020213
ENSMUSG00000017211	1	1	0.42881794315383587
ENSMUSG00000097520	2	2	1.3827968471788314
ENSMUSG00000019944	3	5	1.0710513085799827
ENSMUSG00000034893	11	4	1.0870737034966107
ENSMUSG00000034269	3	5	1.1280678579378443
ENSMUSG00000044339	6	2	2.8902612121915436
ENSMUSG00000027575	5	6	1.1773746630220931
ENSMUSG00000085162	2	1	0.5257178819803593
ENSMUSG00000040247	2	2	2.639984404708274
ENSMUSG00000090862	3	12	2.1976459966774478
ENSMUSG00000023106	7	4	1.6521995519643795
ENSMUSG00000075201	0	0	0.43841443149948217
ENSMUSG00000054598	8	1	0.9845710724541579
ENSMUSG00000006276	11	4	1.0651832043496692
ENSMUSG00000038199	0	0	0.43841443149948217
ENSMUSG00000060187	0	0	0.43841443149948217
ENSMUSG00000047502	1	3	0.8483647643285066
ENSMUSG00000059689	4	6	1.6282834241519297
ENSMUSG00000036737	7	5	0.9048421373483494
ENSMUSG00000033379	3	12	3.026272086611901
ENSMUSG00000040749	8	1	1.4545503021605577
ENSMUSG00000096714	2	1	1.34866318263884
ENSMUSG00000112223	0	0	0.43841443149948217
ENSMUSG00000039936	6	10	1.5769653186940875
ENSMUSG00000062433	0	0	0.43841443149948217
ENSMUSG00000060450	3	5	1.1087870703135783
ENSMUSG00000091204	0	0	0.43841443149948217
ENSMUSG00000075113	2	1	1.1993015785772754
ENSMUSG00000027530	2	1	0.9579508196449567
ENSMUSG00000041135	4	7	1.6017500752289318
ENSMUSG00000018340	9	8	1.7431375636589959
ENSMUSG00000017299	12	6	1.6298309186163438
ENSMUSG00000057230	7	4	0.6324403101864445
