term	reactome_id	name	url	n_genes
R-MMU-428157_SPHINGOLIPID_METABOLISM	R-MMU-428157	Sphingolipid metabolism	https://reactome.org/PathwayBrowser/#/R-MMU-428157	92
R-MMU-428559_PROTON_COUPLED_NEUTRAL_AMINO_ACID_TRANSPORTERS	R-MMU-428559	Proton-coupled neutral amino acid transporters	https://reactome.org/PathwayBrowser/#/R-MMU-428559	2
R-MMU-428643_ORGANIC_ANION_TRANSPORT_BY_SLC5_17_25_TRANSPORTERS	R-MMU-428643	Organic anion transport by SLC5/17/25 transporters	https://reactome.org/PathwayBrowser/#/R-MMU-428643	6
R-MMU-428890_ROLE_OF_ABL_IN_ROBO_SLIT_SIGNALING	R-MMU-428890	Role of ABL in ROBO-SLIT signaling	https://reactome.org/PathwayBrowser/#/R-MMU-428890	3
R-MMU-428930_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	R-MMU-428930	Thromboxane signalling through TP receptor	https://reactome.org/PathwayBrowser/#/R-MMU-428930	23
R-MMU-429593_INOSITOL_TRANSPORTERS	R-MMU-429593	Inositol transporters	https://reactome.org/PathwayBrowser/#/R-MMU-429593	3
R-MMU-429914_DEADENYLATION_DEPENDENT_MRNA_DECAY	R-MMU-429914	Deadenylation-dependent mRNA decay	https://reactome.org/PathwayBrowser/#/R-MMU-429914	53
R-MMU-429947_DEADENYLATION_OF_MRNA	R-MMU-429947	Deadenylation of mRNA	https://reactome.org/PathwayBrowser/#/R-MMU-429947	23
R-MMU-429958_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	R-MMU-429958	mRNA decay by 3' to 5' exoribonuclease	https://reactome.org/PathwayBrowser/#/R-MMU-429958	16
R-MMU-430039_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	R-MMU-430039	mRNA decay by 5' to 3' exoribonuclease	https://reactome.org/PathwayBrowser/#/R-MMU-430039	14
R-MMU-430116_GP1B_IX_V_ACTIVATION_SIGNALLING	R-MMU-430116	GP1b-IX-V activation signalling	https://reactome.org/PathwayBrowser/#/R-MMU-430116	11
R-MMU-432030_TRANSPORT_OF_GLYCEROL_FROM_ADIPOCYTES_TO_THE_LIVER_BY_AQUAPORINS	R-MMU-432030	Transport of glycerol from adipocytes to the liver by Aquaporins	https://reactome.org/PathwayBrowser/#/R-MMU-432030	2
R-MMU-432040_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS	R-MMU-432040	Vasopressin regulates renal water homeostasis via Aquaporins	https://reactome.org/PathwayBrowser/#/R-MMU-432040	32
R-MMU-432047_PASSIVE_TRANSPORT_BY_AQUAPORINS	R-MMU-432047	Passive transport by Aquaporins	https://reactome.org/PathwayBrowser/#/R-MMU-432047	11
R-MMU-432142_PLATELET_SENSITIZATION_BY_LDL	R-MMU-432142	Platelet sensitization by LDL	https://reactome.org/PathwayBrowser/#/R-MMU-432142	17
R-MMU-432720_LYSOSOME_VESICLE_BIOGENESIS	R-MMU-432720	Lysosome Vesicle Biogenesis	https://reactome.org/PathwayBrowser/#/R-MMU-432720	34
R-MMU-432722_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	R-MMU-432722	Golgi Associated Vesicle Biogenesis	https://reactome.org/PathwayBrowser/#/R-MMU-432722	55
R-MMU-433137_SODIUM_COUPLED_SULPHATE_DI_AND_TRI_CARBOXYLATE_TRANSPORTERS	R-MMU-433137	Sodium-coupled sulphate, di- and tri-carboxylate transporters	https://reactome.org/PathwayBrowser/#/R-MMU-433137	2
R-MMU-433692_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT	R-MMU-433692	Proton-coupled monocarboxylate transport	https://reactome.org/PathwayBrowser/#/R-MMU-433692	6
R-MMU-434313_INTRACELLULAR_METABOLISM_OF_FATTY_ACIDS_REGULATES_INSULIN_SECRETION	R-MMU-434313	Intracellular metabolism of fatty acids regulates insulin secretion	https://reactome.org/PathwayBrowser/#/R-MMU-434313	3
R-MMU-434316_FATTY_ACIDS_BOUND_TO_GPR40_FFAR1_REGULATE_INSULIN_SECRETION	R-MMU-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	https://reactome.org/PathwayBrowser/#/R-MMU-434316	7
R-MMU-435354_ZINC_TRANSPORTERS	R-MMU-435354	Zinc transporters	https://reactome.org/PathwayBrowser/#/R-MMU-435354	11
R-MMU-435368_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY	R-MMU-435368	Zinc efflux and compartmentalization by the SLC30 family	https://reactome.org/PathwayBrowser/#/R-MMU-435368	3
R-MMU-437239_RECYCLING_PATHWAY_OF_L1	R-MMU-437239	Recycling pathway of L1	https://reactome.org/PathwayBrowser/#/R-MMU-437239	36
R-MMU-438064_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS	R-MMU-438064	Post NMDA receptor activation events	https://reactome.org/PathwayBrowser/#/R-MMU-438064	16
R-MMU-438066_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	R-MMU-438066	Unblocking of NMDA receptors, glutamate binding and activation	https://reactome.org/PathwayBrowser/#/R-MMU-438066	21
R-MMU-4419969_DEPOLYMERIZATION_OF_THE_NUCLEAR_LAMINA	R-MMU-4419969	Depolymerization of the Nuclear Lamina	https://reactome.org/PathwayBrowser/#/R-MMU-4419969	11
R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	R-MMU-4420097	VEGFA-VEGFR2 Pathway	https://reactome.org/PathwayBrowser/#/R-MMU-4420097	93
R-MMU-442380_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY	R-MMU-442380	Zinc influx into cells by the SLC39 gene family	https://reactome.org/PathwayBrowser/#/R-MMU-442380	8
R-MMU-442660_SLC_MEDIATED_TRANSPORT_OF_NEUROTRANSMITTERS	R-MMU-442660	SLC-mediated transport of neurotransmitters	https://reactome.org/PathwayBrowser/#/R-MMU-442660	21
R-MMU-442720_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE	R-MMU-442720	CREB1 phosphorylation through the activation of Adenylate Cyclase	https://reactome.org/PathwayBrowser/#/R-MMU-442720	5
R-MMU-442729_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE	R-MMU-442729	CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	https://reactome.org/PathwayBrowser/#/R-MMU-442729	5
R-MMU-442742_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	R-MMU-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	https://reactome.org/PathwayBrowser/#/R-MMU-442742	5
R-MMU-442755_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	R-MMU-442755	Activation of NMDA receptors and postsynaptic events	https://reactome.org/PathwayBrowser/#/R-MMU-442755	35
R-MMU-444209_FREE_FATTY_ACID_RECEPTORS	R-MMU-444209	Free fatty acid receptors	https://reactome.org/PathwayBrowser/#/R-MMU-444209	4
R-MMU-444257_RSK_ACTIVATION	R-MMU-444257	RSK activation	https://reactome.org/PathwayBrowser/#/R-MMU-444257	4
R-MMU-444411_RHESUS_GLYCOPROTEINS_MEDIATE_AMMONIUM_TRANSPORT	R-MMU-444411	Rhesus glycoproteins mediate ammonium transport	https://reactome.org/PathwayBrowser/#/R-MMU-444411	3
R-MMU-444473_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	R-MMU-444473	Formyl peptide receptors bind formyl peptides and many other ligands	https://reactome.org/PathwayBrowser/#/R-MMU-444473	12
R-MMU-444821_RELAXIN_RECEPTORS	R-MMU-444821	Relaxin receptors	https://reactome.org/PathwayBrowser/#/R-MMU-444821	8
R-MMU-445095_INTERACTION_BETWEEN_L1_AND_ANKYRINS	R-MMU-445095	Interaction between L1 and Ankyrins	https://reactome.org/PathwayBrowser/#/R-MMU-445095	10
R-MMU-445144_SIGNAL_TRANSDUCTION_BY_L1	R-MMU-445144	Signal transduction by L1	https://reactome.org/PathwayBrowser/#/R-MMU-445144	19
R-MMU-445355_SMOOTH_MUSCLE_CONTRACTION	R-MMU-445355	Smooth Muscle Contraction	https://reactome.org/PathwayBrowser/#/R-MMU-445355	34
R-MMU-445717_AQUAPORIN_MEDIATED_TRANSPORT	R-MMU-445717	Aquaporin-mediated transport	https://reactome.org/PathwayBrowser/#/R-MMU-445717	39
R-MMU-445989_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION	R-MMU-445989	TAK1-dependent IKK and NF-kappa-B activation  	https://reactome.org/PathwayBrowser/#/R-MMU-445989	38
R-MMU-446107_TYPE_I_HEMIDESMOSOME_ASSEMBLY	R-MMU-446107	Type I hemidesmosome assembly	https://reactome.org/PathwayBrowser/#/R-MMU-446107	9
R-MMU-446193_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	R-MMU-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	https://reactome.org/PathwayBrowser/#/R-MMU-446193	76
R-MMU-446199_SYNTHESIS_OF_DOLICHYL_PHOSPHATE	R-MMU-446199	Synthesis of dolichyl-phosphate	https://reactome.org/PathwayBrowser/#/R-MMU-446199	7
R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	R-MMU-446203	Asparagine N-linked glycosylation	https://reactome.org/PathwayBrowser/#/R-MMU-446203	267
R-MMU-446205_SYNTHESIS_OF_GDP_MANNOSE	R-MMU-446205	Synthesis of GDP-mannose	https://reactome.org/PathwayBrowser/#/R-MMU-446205	5
R-MMU-446210_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE	R-MMU-446210	Synthesis of UDP-N-acetyl-glucosamine	https://reactome.org/PathwayBrowser/#/R-MMU-446210	8
R-MMU-446219_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	R-MMU-446219	Synthesis of substrates in N-glycan biosythesis	https://reactome.org/PathwayBrowser/#/R-MMU-446219	65
R-MMU-446343_LOCALIZATION_OF_THE_PINCH_ILK_PARVIN_COMPLEX_TO_FOCAL_ADHESIONS	R-MMU-446343	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	https://reactome.org/PathwayBrowser/#/R-MMU-446343	4
R-MMU-446353_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	R-MMU-446353	Cell-extracellular matrix interactions	https://reactome.org/PathwayBrowser/#/R-MMU-446353	18
R-MMU-446388_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS	R-MMU-446388	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	https://reactome.org/PathwayBrowser/#/R-MMU-446388	8
R-MMU-446652_INTERLEUKIN_1_FAMILY_SIGNALING	R-MMU-446652	Interleukin-1 family signaling	https://reactome.org/PathwayBrowser/#/R-MMU-446652	110
R-MMU-446728_CELL_JUNCTION_ORGANIZATION	R-MMU-446728	Cell junction organization	https://reactome.org/PathwayBrowser/#/R-MMU-446728	256
R-MMU-447043_NEUROFASCIN_INTERACTIONS	R-MMU-447043	Neurofascin interactions	https://reactome.org/PathwayBrowser/#/R-MMU-447043	3
R-MMU-447115_INTERLEUKIN_12_FAMILY_SIGNALING	R-MMU-447115	Interleukin-12 family signaling	https://reactome.org/PathwayBrowser/#/R-MMU-447115	16
R-MMU-448424_INTERLEUKIN_17_SIGNALING	R-MMU-448424	Interleukin-17 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-448424	60
R-MMU-448706_INTERLEUKIN_1_PROCESSING	R-MMU-448706	Interleukin-1 processing	https://reactome.org/PathwayBrowser/#/R-MMU-448706	9
R-MMU-449147_SIGNALING_BY_INTERLEUKINS	R-MMU-449147	Signaling by Interleukins	https://reactome.org/PathwayBrowser/#/R-MMU-449147	277
R-MMU-449836_OTHER_INTERLEUKIN_SIGNALING	R-MMU-449836	Other interleukin signaling	https://reactome.org/PathwayBrowser/#/R-MMU-449836	15
R-MMU-450282_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	R-MMU-450282	MAPK targets/ Nuclear events mediated by MAP kinases	https://reactome.org/PathwayBrowser/#/R-MMU-450282	28
R-MMU-450294_MAP_KINASE_ACTIVATION	R-MMU-450294	MAP kinase activation	https://reactome.org/PathwayBrowser/#/R-MMU-450294	60
R-MMU-450302_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	R-MMU-450302	activated TAK1 mediates p38 MAPK activation	https://reactome.org/PathwayBrowser/#/R-MMU-450302	24
R-MMU-450321_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	R-MMU-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	https://reactome.org/PathwayBrowser/#/R-MMU-450321	24
R-MMU-450341_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	R-MMU-450341	Activation of the AP-1 family of transcription factors	https://reactome.org/PathwayBrowser/#/R-MMU-450341	10
R-MMU-450385_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA	R-MMU-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	https://reactome.org/PathwayBrowser/#/R-MMU-450385	17
R-MMU-450408_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	R-MMU-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	https://reactome.org/PathwayBrowser/#/R-MMU-450408	43
R-MMU-450513_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA	R-MMU-450513	Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	https://reactome.org/PathwayBrowser/#/R-MMU-450513	17
R-MMU-450520_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA	R-MMU-450520	HuR (ELAVL1) binds and stabilizes mRNA	https://reactome.org/PathwayBrowser/#/R-MMU-450520	7
R-MMU-450531_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	R-MMU-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	https://reactome.org/PathwayBrowser/#/R-MMU-450531	72
R-MMU-450604_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	R-MMU-450604	KSRP (KHSRP) binds and destabilizes mRNA	https://reactome.org/PathwayBrowser/#/R-MMU-450604	15
R-MMU-451306_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	R-MMU-451306	Ionotropic activity of kainate receptors	https://reactome.org/PathwayBrowser/#/R-MMU-451306	12
R-MMU-451307_ACTIVATION_OF_NA_PERMEABLE_KAINATE_RECEPTORS	R-MMU-451307	Activation of Na-permeable kainate receptors	https://reactome.org/PathwayBrowser/#/R-MMU-451307	2
R-MMU-451308_ACTIVATION_OF_CA_PERMEABLE_KAINATE_RECEPTOR	R-MMU-451308	Activation of Ca-permeable Kainate Receptor	https://reactome.org/PathwayBrowser/#/R-MMU-451308	12
R-MMU-451326_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	R-MMU-451326	Activation of kainate receptors upon glutamate binding	https://reactome.org/PathwayBrowser/#/R-MMU-451326	32
R-MMU-451927_INTERLEUKIN_2_FAMILY_SIGNALING	R-MMU-451927	Interleukin-2 family signaling	https://reactome.org/PathwayBrowser/#/R-MMU-451927	35
R-MMU-453274_MITOTIC_G2_G2_M_PHASES	R-MMU-453274	Mitotic G2-G2/M phases	https://reactome.org/PathwayBrowser/#/R-MMU-453274	175
R-MMU-453276_REGULATION_OF_MITOTIC_CELL_CYCLE	R-MMU-453276	Regulation of mitotic cell cycle	https://reactome.org/PathwayBrowser/#/R-MMU-453276	74
R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	R-MMU-453279	Mitotic G1 phase and G1/S transition	https://reactome.org/PathwayBrowser/#/R-MMU-453279	121
R-MMU-4551638_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS	R-MMU-4551638	SUMOylation of chromatin organization proteins	https://reactome.org/PathwayBrowser/#/R-MMU-4551638	66
R-MMU-456926_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	R-MMU-456926	Thrombin signalling through proteinase activated receptors (PARs)	https://reactome.org/PathwayBrowser/#/R-MMU-456926	31
R-MMU-4570464_SUMOYLATION_OF_RNA_BINDING_PROTEINS	R-MMU-4570464	SUMOylation of RNA binding proteins	https://reactome.org/PathwayBrowser/#/R-MMU-4570464	47
R-MMU-4608870_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	R-MMU-4608870	Asymmetric localization of PCP proteins	https://reactome.org/PathwayBrowser/#/R-MMU-4608870	49
R-MMU-4615885_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	R-MMU-4615885	SUMOylation of DNA replication proteins	https://reactome.org/PathwayBrowser/#/R-MMU-4615885	43
R-MMU-4641257_DEGRADATION_OF_AXIN	R-MMU-4641257	Degradation of AXIN	https://reactome.org/PathwayBrowser/#/R-MMU-4641257	42
R-MMU-4641258_DEGRADATION_OF_DVL	R-MMU-4641258	Degradation of DVL	https://reactome.org/PathwayBrowser/#/R-MMU-4641258	44
R-MMU-4641262_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE	R-MMU-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	https://reactome.org/PathwayBrowser/#/R-MMU-4641262	30
R-MMU-4641263_REGULATION_OF_FZD_BY_UBIQUITINATION	R-MMU-4641263	Regulation of FZD by ubiquitination	https://reactome.org/PathwayBrowser/#/R-MMU-4641263	21
R-MMU-4641265_REPRESSION_OF_WNT_TARGET_GENES	R-MMU-4641265	Repression of WNT target genes	https://reactome.org/PathwayBrowser/#/R-MMU-4641265	10
R-MMU-4655427_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS	R-MMU-4655427	SUMOylation of DNA methylation proteins	https://reactome.org/PathwayBrowser/#/R-MMU-4655427	4
R-MMU-4755510_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS	R-MMU-4755510	SUMOylation of immune response proteins	https://reactome.org/PathwayBrowser/#/R-MMU-4755510	11
R-MMU-480985_SYNTHESIS_OF_DOLICHYL_PHOSPHATE_GLUCOSE	R-MMU-480985	Synthesis of dolichyl-phosphate-glucose	https://reactome.org/PathwayBrowser/#/R-MMU-480985	2
R-MMU-4839726_CHROMATIN_ORGANIZATION	R-MMU-4839726	Chromatin organization	https://reactome.org/PathwayBrowser/#/R-MMU-4839726	252
R-MMU-499943_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	R-MMU-499943	Interconversion of nucleotide di- and triphosphates	https://reactome.org/PathwayBrowser/#/R-MMU-499943	29
R-MMU-500657_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS	R-MMU-500657	Presynaptic function of Kainate receptors	https://reactome.org/PathwayBrowser/#/R-MMU-500657	21
R-MMU-500753_PYRIMIDINE_BIOSYNTHESIS	R-MMU-500753	Pyrimidine biosynthesis	https://reactome.org/PathwayBrowser/#/R-MMU-500753	3
R-MMU-500792_GPCR_LIGAND_BINDING	R-MMU-500792	GPCR ligand binding	https://reactome.org/PathwayBrowser/#/R-MMU-500792	412
R-MMU-5099900_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4	R-MMU-5099900	WNT5A-dependent internalization of FZD4	https://reactome.org/PathwayBrowser/#/R-MMU-5099900	14
R-MMU-512988_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	R-MMU-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	https://reactome.org/PathwayBrowser/#/R-MMU-512988	42
R-MMU-5140745_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2	R-MMU-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	https://reactome.org/PathwayBrowser/#/R-MMU-5140745	12
R-MMU-5173105_O_LINKED_GLYCOSYLATION	R-MMU-5173105	O-linked glycosylation	https://reactome.org/PathwayBrowser/#/R-MMU-5173105	120
R-MMU-5173214_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	R-MMU-5173214	O-glycosylation of TSR domain-containing proteins	https://reactome.org/PathwayBrowser/#/R-MMU-5173214	39
R-MMU-5205647_MITOPHAGY	R-MMU-5205647	Mitophagy	https://reactome.org/PathwayBrowser/#/R-MMU-5205647	40
R-MMU-5205685_PINK1_PRKN_MEDIATED_MITOPHAGY	R-MMU-5205685	PINK1-PRKN Mediated Mitophagy	https://reactome.org/PathwayBrowser/#/R-MMU-5205685	33
R-MMU-5213460_RIPK1_MEDIATED_REGULATED_NECROSIS	R-MMU-5213460	RIPK1-mediated regulated necrosis	https://reactome.org/PathwayBrowser/#/R-MMU-5213460	32
R-MMU-5218859_REGULATED_NECROSIS	R-MMU-5218859	Regulated Necrosis	https://reactome.org/PathwayBrowser/#/R-MMU-5218859	54
R-MMU-5218900_CASP8_ACTIVITY_IS_INHIBITED	R-MMU-5218900	CASP8 activity is inhibited	https://reactome.org/PathwayBrowser/#/R-MMU-5218900	10
R-MMU-5218920_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	R-MMU-5218920	VEGFR2 mediated vascular permeability	https://reactome.org/PathwayBrowser/#/R-MMU-5218920	30
R-MMU-5218921_VEGFR2_MEDIATED_CELL_PROLIFERATION	R-MMU-5218921	VEGFR2 mediated cell proliferation	https://reactome.org/PathwayBrowser/#/R-MMU-5218921	12
R-MMU-5221030_TET1_2_3_AND_TDG_DEMETHYLATE_DNA	R-MMU-5221030	TET1,2,3 and TDG demethylate DNA	https://reactome.org/PathwayBrowser/#/R-MMU-5221030	1
R-MMU-5223345_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS	R-MMU-5223345	Miscellaneous transport and binding events	https://reactome.org/PathwayBrowser/#/R-MMU-5223345	29
R-MMU-5250913_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	R-MMU-5250913	Positive epigenetic regulation of rRNA expression	https://reactome.org/PathwayBrowser/#/R-MMU-5250913	30
R-MMU-5250924_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	R-MMU-5250924	B-WICH complex positively regulates rRNA expression	https://reactome.org/PathwayBrowser/#/R-MMU-5250924	30
R-MMU-525793_MYOGENESIS	R-MMU-525793	Myogenesis	https://reactome.org/PathwayBrowser/#/R-MMU-525793	24
R-MMU-5263617_METABOLISM_OF_INGESTED_MESEO2H_INTO_MESEH	R-MMU-5263617	Metabolism of ingested MeSeO2H into MeSeH	https://reactome.org/PathwayBrowser/#/R-MMU-5263617	1
R-MMU-532668_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	R-MMU-532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	https://reactome.org/PathwayBrowser/#/R-MMU-532668	16
R-MMU-5357769_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	R-MMU-5357769	Caspase activation via extrinsic apoptotic signalling pathway	https://reactome.org/PathwayBrowser/#/R-MMU-5357769	19
R-MMU-5357786_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING	R-MMU-5357786	TNFR1-induced proapoptotic signaling	https://reactome.org/PathwayBrowser/#/R-MMU-5357786	23
R-MMU-5357801_PROGRAMMED_CELL_DEATH	R-MMU-5357801	Programmed Cell Death	https://reactome.org/PathwayBrowser/#/R-MMU-5357801	136
R-MMU-5357905_REGULATION_OF_TNFR1_SIGNALING	R-MMU-5357905	Regulation of TNFR1 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-5357905	49
R-MMU-5357956_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY	R-MMU-5357956	TNFR1-induced NF-kappa-B signaling pathway	https://reactome.org/PathwayBrowser/#/R-MMU-5357956	34
R-MMU-5358346_HEDGEHOG_LIGAND_BIOGENESIS	R-MMU-5358346	Hedgehog ligand biogenesis	https://reactome.org/PathwayBrowser/#/R-MMU-5358346	51
R-MMU-5358351_SIGNALING_BY_HEDGEHOG	R-MMU-5358351	Signaling by Hedgehog	https://reactome.org/PathwayBrowser/#/R-MMU-5358351	127
R-MMU-5358493_SYNTHESIS_OF_DIPHTHAMIDE_EEF2	R-MMU-5358493	Synthesis of diphthamide-EEF2	https://reactome.org/PathwayBrowser/#/R-MMU-5358493	7
R-MMU-5358508_MISMATCH_REPAIR	R-MMU-5358508	Mismatch Repair	https://reactome.org/PathwayBrowser/#/R-MMU-5358508	15
R-MMU-5358565_MISMATCH_REPAIR_MMR_DIRECTED_BY_MSH2_MSH6_MUTSALPHA	R-MMU-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	https://reactome.org/PathwayBrowser/#/R-MMU-5358565	14
R-MMU-5358606_MISMATCH_REPAIR_MMR_DIRECTED_BY_MSH2_MSH3_MUTSBETA	R-MMU-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	https://reactome.org/PathwayBrowser/#/R-MMU-5358606	10
R-MMU-5362517_SIGNALING_BY_RETINOIC_ACID	R-MMU-5362517	Signaling by Retinoic Acid	https://reactome.org/PathwayBrowser/#/R-MMU-5362517	48
R-MMU-5362798_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL	R-MMU-5362798	Release of Hh-Np from the secreting cell	https://reactome.org/PathwayBrowser/#/R-MMU-5362798	7
R-MMU-5365859_RA_BIOSYNTHESIS_PATHWAY	R-MMU-5365859	RA biosynthesis pathway	https://reactome.org/PathwayBrowser/#/R-MMU-5365859	29
R-MMU-5368287_MITOCHONDRIAL_TRANSLATION	R-MMU-5368287	Mitochondrial translation	https://reactome.org/PathwayBrowser/#/R-MMU-5368287	106
R-MMU-5389840_MITOCHONDRIAL_TRANSLATION_ELONGATION	R-MMU-5389840	Mitochondrial translation elongation	https://reactome.org/PathwayBrowser/#/R-MMU-5389840	86
R-MMU-5419276_MITOCHONDRIAL_TRANSLATION_TERMINATION	R-MMU-5419276	Mitochondrial translation termination	https://reactome.org/PathwayBrowser/#/R-MMU-5419276	102
R-MMU-5423646_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	R-MMU-5423646	Aflatoxin activation and detoxification	https://reactome.org/PathwayBrowser/#/R-MMU-5423646	27
R-MMU-549127_SLC_MEDIATED_TRANSPORT_OF_ORGANIC_CATIONS	R-MMU-549127	SLC-mediated transport of organic cations	https://reactome.org/PathwayBrowser/#/R-MMU-549127	12
R-MMU-556833_METABOLISM_OF_LIPIDS	R-MMU-556833	Metabolism of lipids	https://reactome.org/PathwayBrowser/#/R-MMU-556833	628
R-MMU-5576886_PHASE_4_RESTING_MEMBRANE_POTENTIAL	R-MMU-5576886	Phase 4 - resting membrane potential	https://reactome.org/PathwayBrowser/#/R-MMU-5576886	18
R-MMU-5576890_PHASE_3_RAPID_REPOLARISATION	R-MMU-5576890	Phase 3 - rapid repolarisation	https://reactome.org/PathwayBrowser/#/R-MMU-5576890	8
